rmax,interaction_strength_flux
0.58,1.3666666666666665
0.581,1.3733333333333333
0.582,1.3800000000000003
0.583,1.3866666666666667
0.584,1.3933333333333335
0.585,1.4
0.586,1.4066666666666667
0.587,1.4133333333333336
0.588,1.42
0.589,1.426666666666667
0.59,1.4333333333333333
0.591,1.4400000000000002
0.592,1.446666666666667
0.593,1.4533333333333334
0.594,1.4600000000000002
0.595,1.4666666666666666
0.596,1.4733333333333334
0.597,1.4800000000000004
0.598,1.4866666666666668
0.599,1.4933333333333336
0.6,1.5
0.601,1.5066666666666668
0.602,1.5133333333333336
0.603,1.52
0.604,1.526666666666667
0.605,1.5333333333333334
0.606,1.5400000000000003
0.607,1.546666666666667
0.608,1.5533333333333335
0.609,1.5600000000000003
0.61,1.5666666666666667
0.611,1.5733333333333337
0.612,1.5800000000000005
0.613,1.586666666666667
0.614,1.5933333333333337
0.615,1.6
0.616,1.606666666666667
0.617,1.6133333333333337
0.618,1.62
0.619,1.6266666666666671
0.62,1.6333333333333335
0.621,1.6400000000000003
0.622,1.6466666666666672
0.623,1.6533333333333335
0.624,1.6600000000000004
0.625,1.6666666666666667
0.626,1.6733333333333338
0.627,1.6800000000000006
0.628,1.6866666666666674
0.629,1.6933333333333334
0.63,1.7000000000000002
0.631,1.706666666666667
0.632,1.7133333333333338
0.633,1.7200000000000009
0.634,1.7266666666666668
0.635,1.7333333333333336
0.636,1.7400000000000004
0.637,1.7466666666666673
0.638,1.753333333333334
0.639,1.76
0.64,1.7666666666666668
0.641,1.7733333333333339
0.642,1.7800000000000007
0.643,1.7866666666666675
0.644,1.7933333333333334
0.645,1.8000000000000003
0.646,1.806666666666667
0.647,1.813333333333334
0.648,1.820000000000001
0.649,1.8266666666666669
0.65,1.8333333333333337
0.651,1.8400000000000005
0.652,1.8466666666666673
0.653,1.8533333333333342
0.654,1.86
0.655,1.866666666666667
0.656,1.873333333333334
0.657,1.8800000000000008
0.658,1.8866666666666676
0.659,1.8933333333333335
0.66,1.9000000000000004
0.661,1.9066666666666672
0.662,1.913333333333334
0.663,1.920000000000001
0.664,1.926666666666667
0.665,1.9333333333333338
0.666,1.9400000000000006
0.667,1.9466666666666674
0.668,1.9533333333333343
0.669,1.9600000000000002
0.67,1.966666666666667
0.671,1.973333333333334
0.672,1.9800000000000009
0.673,1.9866666666666677
0.674,1.9933333333333336
0.675,2.0000000000000004
0.676,2.0066666666666673
0.677,2.013333333333334
0.678,2.020000000000001
0.679,2.026666666666667
0.68,2.0333333333333337
0.681,2.0400000000000005
0.682,2.0466666666666677
0.683,2.0533333333333346
0.684,2.0600000000000005
0.685,2.0666666666666673
0.686,2.073333333333334
0.687,2.080000000000001
0.688,2.086666666666667
0.689,2.0933333333333337
0.69,2.0999999999999996
0.691,2.1066666666666665
0.692,2.1133333333333333
0.693,2.12
