"ls" "ly" "bm" "long" "gest" "wea" "fmat" "General_system" "Eigen.1" "Eigen.2" "Eigen.3" "Eigen.4" "Eigen.5" "Eigen.6" "Eigen.7" "Eigen.8" "Eigen.9" "Eigen.10"
"Ornithorhynchus_anatinus" 0.301029995663981 0.0413926851582251 3.08813608870055 1.23044892137827 1.16849748352303 2.05493846198963 2.80971455172927 "SA" -6.42055942889206 -0.0116273707634759 0.417121468398095 0.0131682572665948 0.341941151488725 -0.054961196756059 -0.353033836594422 -0.147992304603909 0.635541636046178 0.45858053566201
"Zaglossus_bruijni" 0 -0.00254709478932757 4 1.49136169383427 1 2.18184358794477 2.767576863898 "T" -6.42097791098787 -0.0116286968035862 0.417214873155324 0.0131717809464634 0.342065815179813 -0.0549829580424559 -0.353208156943624 -0.148098907447822 0.636085187251549 0.459023677740556
"Zaglossus_bartoni" 0 0 3.95190600432461 1.49136169383427 1 2.18184358794477 2.76360314888235 "T" -6.42097791098582 -0.0116286968036008 0.417214873154984 0.0131717809464723 0.342065815179151 -0.054982958042348 -0.353208156942743 -0.148098907447114 0.636085187249035 0.45902367773849
"Tachyglossus_aculeatus" 0 -0.236572006437063 3.50099075610799 1.69460519893357 1.29797924415936 2.26726561976256 2.74227332435331 "T" -6.4208893330889 -0.0116284161318821 0.417195103638251 0.0131710351546694 0.342039430727399 -0.054978352418839 -0.35317126438522 -0.14807634797497 0.635970164847775 0.458929906425628
"Hydrodamalis_gigas" 0 -0.299580687848542 6.82607480270083 1.47211138193913 2.56259022460633 2.63623355161344 3.15821255386651 "W" -0.0232234562533673 -0.716081410185635 0.997082002998083 0.0286470355742438 0.667118236851122 -0.104841276481635 -0.638573513167601 -0.246360473456834 1.01399977260044 0.704954701325539
"Trichechus_manatus" 0 -0.397940008672038 5.58827170684233 1.47712125471966 2.5244999768259 2.65896484266443 3.17632257795965 "W" -0.0232353369285091 -0.716722477529959 0.99883519353724 0.0287072346136615 0.669028723959133 -0.105167375323935 -0.641051181667544 -0.247755751033882 1.02082078441153 0.710314276328592
"Trichechus_senegalensis" 0 -0.132100493109068 5.67851837904011 1.35514809135401 2.58878695065918 2.20130042705154 3.039711479326 "W" -0.0232353751712225 -0.716724540765281 0.998840834250975 0.0287074282732083 0.669034868223131 -0.105168423984879 -0.641059147013564 -0.247760233682064 1.02084268985551 0.710331482856736
"Trichechus_inunguis" 0 -0.301029995663981 5.46834820934058 1.47712125471966 2.51587384371168 2.73878055848437 3.03981055414835 "W" -0.0232353751712226 -0.716724540765448 0.998840834250915 0.0287074282731272 0.669034868223179 -0.105168423984871 -0.641059147014054 -0.247760233682001 1.02084268985553 0.710331482856786
"Dugong_dugon" 0 -0.657577319177794 5.55630250076729 1.84509804001426 2.57114959428288 2.73866008053182 3.54032947479087 "W" -0.0232271975980363 -0.716283294276225 0.997634149301113 0.0286659949999105 0.667719968947216 -0.104943987231744 -0.639353942292302 -0.246800020635479 1.01614872180243 0.706643330910495
"Loxodonta_africana" 0 -0.677780705266081 6.65321251377534 1.81291335664286 2.82586732892074 3.03694811219528 3.6287777999626 "T" -0.023213335766616 -0.715533792288167 0.995574936967414 0.0285951582953274 0.665462692767698 -0.104558186229775 -0.636410549716963 -0.24512653127091 1.00792072223248 0.700147660448777
"Loxodonta_cyclotis" 0 -0.677780705266081 6.66558099101795 1.81291335664286 2.82586732892074 3.03694811219528 3.6287777999626 "T" -0.023213335766627 -0.71553379228882 0.995574936969193 0.0285951582953134 0.665462692769636 -0.104558186230151 -0.63641054971948 -0.245126531272322 1.00792072223928 0.700147660454119
"Elephas_maximus" 0 -0.638272163982407 6.50785587169583 1.86628733908419 2.80810289242048 2.73878055848437 3.55255062925812 "T" -0.0232127559209862 -0.715502530959586 0.99548960661816 0.0285922305502677 0.665369934901311 -0.104542362208908 -0.636290527183885 -0.24505921270323 1.00759241945671 0.699890213457643
"Procavia_capensis" 0.387389826338729 0 3.43933269383026 1.14612803567824 2.35497121267134 1.94575201503215 2.69897000433602 "T" -0.0232247734721434 -0.71615166893904 0.997269091619193 0.0286533902158122 0.667314989364253 -0.104874587009558 -0.638820100629287 -0.246490745791015 1.014611243619 0.705418576580482
"Heterohyrax_brucei" 0.276461804173244 0 3.30102999566398 1.10932538777049 2.35833467097468 2.1107243543809 2.69784633498794 "T" -0.0232247734721435 -0.716151668939042 0.997269091619194 0.0286533902158227 0.667314989364232 -0.104874587009828 -0.638820100629248 -0.246490745791022 1.01461124361908 0.705418576580468
"Dendrohyrax_dorsalis" 0.133538908370218 0.0346312165447646 3.42542579636801 0.88930170250631 2.35181755744161 1.95332057143985 2.62568374776715 "T" -0.0232246891694496 -0.716147121616527 0.997256665187806 0.0286529636625595 0.667301461480502 -0.104872278464915 -0.638802572745673 -0.246480891184866 1.0145631152054 0.705380790665533
"Dendrohyrax_arboreus" 0.244277120801843 0.026244156640515 3.4743780013636 1.0899051114394 2.35983548233989 2.18195786093107 2.56229286445647 "T" -0.0232246891694496 -0.716147121616526 0.997256665187805 0.0286529636625605 0.667301461480502 -0.104872278464943 -0.638802572745665 -0.246480891185007 1.01456311520536 0.705380790665448
"Orycteropus_afer" 0.0128372247051722 0 4.7495446273082 1.38021124171161 2.34645077750969 2.01101747629985 2.878033226731 "T" -0.0231145468897997 -0.710228245749249 0.981227499078897 0.0281048446221191 0.650074772654288 -0.101941619882605 -0.616778096665727 -0.234436348432373 0.956886750479028 0.660926281867447
"Rhynchocyon_petersi" 0.285557309007774 0.615163778239752 2.62735561367756 0.652407519171343 1.79499712745126 1.42205474842002 1.75347326142611 "T" -0.0232497604609495 -0.717552023541199 1.00143593686144 0.0288013032649636 0.672366683180256 -0.105757466839838 -0.646039302120007 -0.251306455610921 1.04065824039943 0.727673063022952
"Rhynchocyon_chrysopygus" 0 0.653212513775344 2.73045926004577 0.698970004336019 1.62464299825726 1.16007277370999 1.58004066856599 "T" -0.0232507624411795 -0.717606113098351 1.00158404314383 0.0288063917523062 0.672528417616653 -0.10578508850972 -0.646249582197946 -0.251425590722489 1.04124342664455 0.728135029281092
"Rhynchocyon_cirnei" 0.285557309007774 0.653212513775344 2.62830717280574 0.603346600800164 1.78501378810192 1.42573494105975 1.74784119125816 "T" -0.0232507624411795 -0.717606113098351 1.00158404314382 0.0288063917523069 0.672528417616653 -0.105785088509719 -0.646249582197946 -0.251425590722486 1.04124342664456 0.728135029281048
"Elephantulus_edwardii" 0.255272505103306 0.549520086312096 1.69766516264767 0.752688528207292 1.75588445804235 1.43584436598444 1.78226048179731 "T" -0.0233336355493278 -0.722103990974644 1.01405113448651 0.0292368186365837 0.686359284517946 -0.108155572754454 -0.664497694861923 -0.262038027599537 1.09420317594838 0.770498208706196
"Elephantulus_myurus" 0.264817823009536 0.477121254719662 1.79228660554035 0.0413926851582251 1.74345018233708 1.42533854827963 1.73482126385201 "T" -0.0233336355493278 -0.722103990974643 1.01405113448651 0.029236818636583 0.686359284517947 -0.108155572754453 -0.664497694861924 -0.262038027599538 1.09420317594839 0.770498208706157
"Elephantulus_rozeti" 0.397940008672038 0.301029995663981 1.68124123737559 0.477121254719662 1.88081359228079 1.53483653291318 2.19918062759374 "T" -0.0233465187415602 -0.722801855937938 1.01597698047609 0.0293031923487687 0.688483775415645 -0.108519231930303 -0.667286142060304 -0.263644867772947 1.1021778921424 0.776848359465422
