UniqueID,Plot,Plot2,Major_taxa,Order,Species,Mass_g,Productivity_g_yr,Growth_rate_per_yr,Trophic,Group,Family,Genus,Reference,Notes,Notes_measure,,
1,1,2,Mammal,Afrosoricida,Echinops telfairi,180,1.45E+02,0.802980556,Carnivore,Eutherian,Tenrecidae,Echinops,AnAge Data,HAGRID: 1542; Refs: 3;614;843;445;554;260;000;000;000;000;000;000;000,captivity; medium sample size; acceptable quality,,
2,1,2,Mammal,Afrosoricida,Echinops telfairi,180,247.2916667,1.373842593,Carnivore,Eutherian,Tenrecidae,Echinops,Ernest et al. 2003,,,,
3,1,2,Mammal,Afrosoricida,Hemicentetes semispinosus,180,2.57E+02,1.42597,Carnivore,Eutherian,Tenrecidae,Hemicentetes,AnAge Data,HAGRID: 1544; Refs: 36;420;434;436;455;500;000;000;000;000,captivity; small sample size; questionable quality,,
4,1,9,Mammal,Afrosoricida,Setifer setosus,225,1.54E+02,0.686039111,Omnivore,Eutherian,Tenrecidae,Setifer,AnAge Data,HAGRID: 1547; Refs: 364;204;344;556;106;000;000;000;000;000,captivity; medium sample size; acceptable quality,,
5,1,2,Mammal,Afrosoricida,Tenrec ecaudatus,868,4577.34375,5.2734375,Carnivore,Eutherian,Tenrecidae,Tenrec,Ernest et al. 2003,,,,
6,1,2,Mammal,Afrosoricida,Tenrec ecaudatus,900,1.74E+03,1.932714444,Carnivore,Eutherian,Tenrecidae,Tenrec,AnAge Data,HAGRID: 1548; Refs: 36;420;434;436;455;500;000;000;000;000;000,captivity; small sample size; acceptable quality,,
7,1,1,Mammal,Artiodactyla,Addax nasomaculatus,92500,1.93E+04,0.208366919,Herbivore,Eutherian,Bovidae,Addax,AnAge Data,HAGRID: 1550; Refs: 434;455;538;610;671;000,captivity; large sample size; high quality,,
8,1,1,Mammal,Artiodactyla,Aepyceros melampus,41850,14310,0.341935484,Herbivore,Eutherian,Bovidae,Aepyceros,Ernest et al. 2003,African ecosystems,,,
9,1,1,Mammal,Artiodactyla,Aepyceros melampus,45150,15802.5,0.35,Herbivore,Eutherian,Bovidae,Aepyceros,Fagan et. al. 2009,African ecosystems,,,
10,1,1,Mammal,Artiodactyla,Aepyceros melampus,44000,10235.24392,0.23261918,Herbivore,Eutherian,Bovidae,Aepyceros,Hatton et al 2015; from life history,African ecosystems,,,
11,1,1,Mammal,Artiodactyla,Aepyceros melampus,52500,1.42E+04,0.269873905,Herbivore,Eutherian,Bovidae,Aepyceros,AnAge Data,HAGRID: 1551; Refs: 4;344;556;106;716;760;000;000;000;000,captivity; large sample size; high quality,,
12,1,1,Mammal,Artiodactyla,Alcelaphus buselaphus,125000,25414.81875,0.20331855,Herbivore,Eutherian,Bovidae,Alcelaphus,Hatton et al 2015; from life history,African ecosystems,,,
13,1,1,Mammal,Artiodactyla,Alcelaphus buselaphus,159000,3.75E+04,0.235551195,Herbivore,Eutherian,Bovidae,Alcelaphus,AnAge Data,HAGRID: 1552; Refs: 455;671,captivity; medium sample size; acceptable quality,,
14,1,1,Mammal,Artiodactyla,Alces alces,369000,109772.7076,0.297487012,Herbivore,Eutherian,Cervidae,Alces,Ernest et al. 2003,,,,
15,1,1,Mammal,Artiodactyla,Alces alces,320000,68892.2912,0.21528841,Herbivore,Eutherian,Cervidae,Alces,Hatton et al 2015; from life history,,,,
16,1,1,Mammal,Artiodactyla,Ammotragus lervia,92500,4.57E+04,0.49411427,Herbivore,Eutherian,Bovidae,Ammotragus,AnAge Data,HAGRID: 1554; Refs: 434;455;610;671;677;000;000,captivity; large sample size; acceptable quality,,
17,1,1,Mammal,Artiodactyla,Antidorcas marsupialis,27900,15624,0.56,Herbivore,Eutherian,Bovidae,Antidorcas,Fagan et. al. 2009,African ecosystems,,,
18,1,1,Mammal,Artiodactyla,Antidorcas marsupialis,31900,9166.198635,0.28734165,Herbivore,Eutherian,Bovidae,Antidorcas,Hatton et al 2015; from life history,African ecosystems,,,
19,1,1,Mammal,Artiodactyla,Antidorcas marsupialis,39000,1.20E+04,0.308834103,Herbivore,Eutherian,Bovidae,Antidorcas,AnAge Data,HAGRID: 1555; Refs: 4;344;484;555;426;710;000;000,captivity; large sample size; high quality,,
20,1,1,Mammal,Artiodactyla,Antilocapra americana,42599.05843,19169.57629,0.45,Herbivore,Eutherian,Antilocapridae,Antilocapra,"Singer and Norland 1994; after Duncan et al. 2007, method: count",,,,
21,1,1,Mammal,Artiodactyla,Antilocapra americana,42599.05843,20447.54805,0.48,Herbivore,Eutherian,Antilocapridae,Antilocapra,"Hennemann 1983; after Duncan et al. 2007, method: Cole 1954",,,,
22,1,1,Mammal,Artiodactyla,Antilocapra americana,48000,16485.53846,0.343448718,Herbivore,Eutherian,Antilocapridae,Antilocapra,Ernest et al. 2003,,,,
23,1,1,Mammal,Artiodactyla,Antilocapra americana,44240,18138.4,0.41,Herbivore,Eutherian,Antilocapridae,Antilocapra,Fagan et. al. 2009,,,,
24,1,1,Mammal,Artiodactyla,Antilocapra americana,46100,1.72E+04,0.372399566,Herbivore,Eutherian,Antilocapridae,Antilocapra,AnAge Data,HAGRID: 1549; Refs: 3;642;043;444;145;550;000;000;000;000;000;000;000;000;000;000,captivity; medium sample size; acceptable quality,,
25,1,1,Mammal,Artiodactyla,Antilope cervicapra,32000,11141.96768,0.34818649,Herbivore,Eutherian,Bovidae,Antilope,Hatton et al 2015; from life history,,,,
26,1,1,Mammal,Artiodactyla,Antilope cervicapra,37500,1.48E+04,0.3957104,Herbivore,Eutherian,Bovidae,Antilope,AnAge Data,HAGRID: 1556; Refs: 434;455;610;671;951,captivity; large sample size; high quality,,
27,1,1,Mammal,Artiodactyla,Axis axis,53000,12354.73195,0.23310815,Herbivore,Eutherian,Cervidae,Axis,Hatton et al 2015; from life history,,,,
28,1,1,Mammal,Artiodactyla,Axis axis,36000,8.03E+03,0.223023278,Herbivore,Eutherian,Cervidae,Axis,AnAge Data,HAGRID: 1666; Refs: 455;671;951;996,captivity; large sample size; high quality,,
29,1,1,Mammal,Artiodactyla,Axis porcinus,27000,9157.90806,0.33918178,Herbivore,Eutherian,Cervidae,Axis,Hatton et al 2015; from life history,,,,
30,1,1,Mammal,Artiodactyla,Babyrousa babyrussa,71500,3.17E+04,0.443884196,Herbivore,Eutherian,Suidae,Babyrousa,AnAge Data,HAGRID: 1706; Refs: 1;434;455;610;671,captivity; medium sample size; acceptable quality,,
31,1,1,Mammal,Artiodactyla,Bison bison,590201.0802,188864.3457,0.32,Herbivore,Eutherian,Bovidae,Bison,"Larter 1994; after Duncan et al. 2007, method: count",,,,
32,1,1,Mammal,Artiodactyla,Bison bison,590201.0802,174109.3187,0.295,Herbivore,Eutherian,Bovidae,Bison,"Singer and Norland 1994; after Duncan et al. 2007, method: count",,,,
33,1,1,Mammal,Artiodactyla,Bison bison,590201.0802,137516.8517,0.233,Herbivore,Eutherian,Bovidae,Bison,"Calef 1984; after Duncan et al. 2007, method: count",,,,
34,1,1,Mammal,Artiodactyla,Bison bison,159272.5,101663.2203,0.638297385,Herbivore,Eutherian,Bovidae,Bison,Ernest et al. 2003,,,,
35,1,1,Mammal,Artiodactyla,Bison bison,420000,79221.87,0.1886235,Herbivore,Eutherian,Bovidae,Bison,Hatton et al 2015; from life history,,,,
36,1,1,Mammal,Artiodactyla,Bison bison,630000,1.38E+05,0.219675714,Herbivore,Eutherian,Bovidae,Bison,AnAge Data,HAGRID: 1558; Refs: 80;82;434;441;455;542;610;671;680;951;1058;1142;1143,captivity; large sample size; high quality,,
37,1,1,Mammal,Artiodactyla,Bison bonasus,610000,1.43E+05,0.234130164,Herbivore,Eutherian,Bovidae,Bison,AnAge Data,HAGRID: 1559; Refs: 4;344;555;426;106;710;000,captivity; medium sample size; acceptable quality,,
38,1,1,Mammal,Artiodactyla,Bos frontalis,825000,1.91E+05,0.231619758,Herbivore,Eutherian,Bovidae,Bos,AnAge Data,HAGRID: 1560; Refs: 4;344;556;716;801;130,captivity; medium sample size; acceptable quality,,
39,1,1,Mammal,Artiodactyla,Bos gaurus,850000,129751.5565,0.15264889,Herbivore,Eutherian,Bovidae,Bos,Hatton et al 2015; from life history,,,,
40,1,1,Mammal,Artiodactyla,Bos grunniens,667000,1.36E+05,0.204082009,Herbivore,Eutherian,Bovidae,Bos,AnAge Data,HAGRID: 1561; Refs: 1;061;074;344;555;410;000;000;000,captivity; large sample size; high quality,,
41,1,1,Mammal,Artiodactyla,Bos javanicus,700000,1.62E+05,0.231947714,Herbivore,Eutherian,Bovidae,Bos,AnAge Data,HAGRID: 1562; Refs: 43;445;567;168;010;400;000,captivity; medium sample size; acceptable quality,,
