Species,Study Measured Resting Metabolic Rate,Resting Metabolic Rate (Watts),Mass Specific Metabolic Rate,Body Size (g),Inverse Specific Metabolism,Source
Felis silvestris          ,546 kj/day,6.319,0.0021063,3000,474.7586643,https://www.sciencedirect.com/science/article/pii/S0303264706001481
Glaucomys sabrinus        ,1.86 ml O2/min,0.62,0.0060766,102.03,164.5645161,https://www.sciencedirect.com/science/article/pii/S0306456517300931
Myotis daubentonii        ,0.1225 ml02/min,0.04083,0.0051848,7.875,192.8728876,https://www.journals.uchicago.edu/doi/epdf/10.1086/670527
Myotis myotis             ,25 ml02/hr,0.1389,0.005556,25,179.9856012,https://pdf.sciencedirectassets.com/271085/1-s2.0-S0031938416X00108/1-s2.0-S0031938416304103/main.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEBwaCXVzLWVhc3QtMSJHMEUCIQDI%2B4230EfLWr6so69dY9GbZP%2F2fpUx%2FAgea5Y1KcI01wIgSy4foX2HRMQplCIXBO83%2FnJwcOl9t%2BIh0UqioVF6MZ8qvAUIxP%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FARAFGgwwNTkwMDM1NDY4NjUiDMGeTuGepkcDBebrpCqQBbQCLgQDkKJ1yF5B87a8E7IH55IQyV2HkoTvVLO4wapEyADotO%2FYuC05IprL5fp7Z8jRlrbnNAJmYSg53ua5z1aXGeipfUVdsO5bbia5z6Wj6oXtsPv7mdQlSPIvLWAaviE0mnvY21XvNvHygOmlWq8OXp4FzbcX9AB7%2F%2FJ1%2F5BVo0P8MFOAq0rGaC46x%2BLsSd1wD22z62YwKjZ3UHOQVz3jiStsHgjtzkIGJIEcZYNgdiML%2B%2BVGwN5hBNPYuOp0ZBDMSqwPrz%2FMTQ2cAbfHrsP4tF9WN9ChyuJQbEPEQqUPQRJbdpEhyMJliAqqczeB7CfsilbNSTGu8EeH%2Bwg0W4zA9bB7pFTC6B2A5oVsq2UFkthdImGbNy2aEngTp0vscoKo2fF7n0%2F4iVOdi8VvCE30JOZ%2BLcTEitGBVzrGyFCB5HaZRdB6E120qcJV9OpeBlotm5rsZ0coFZHdMuL7EiixW%2F3v%2BHcKJCIbema7Ggss20ty8DtAkFGc9PGhSVZieyALvo6RgiAiOV8yvVfcqab7JTkaOuNNPAEBvdzY1xjfXBK5wrLR66TNqPplzK1cO99GcZA7nDUAdxaCEgtNZjkXstvGXNAjnYTRkuxAg2QW53S%2B2zc9EHnl1oWPqqg54Ch2N6bxCuXQkGXOicqmhIOKKoAZdWRyH5%2BDxnzQf887xiUc6rTFCFPFYVHY4Z2o0Yh3NwTMxCQBQqC5af4IBfqbVcz1FwK5RbhUFflnbb%2B8PGWOt2uP85fugWaAosmBJgMS0%2F6QzvgbmVQHNy2nmu0L1Vu4fATWeNKV5z2Aob0pctleOseE%2FoEkggwhLf06oBuojKN9zgAmdKDni%2FkXPzNUfT7dc4u%2BxAzI6P5RgM9KMOLOoK0GOrEBVeoIpdYl6zqebvY4Kis1qLcSp3Hq6YMApvUPb7oGbpHVJZ4Pga5DQjO5Dqv2kr55Dx6bl1rTBHf3XMLbwZuVzHj5DkWV0e%2Fuv8T%2BDrYn47ty4Hf5Y4XUJ3R%2FJGFNrjzSDhY%2BBHhFCk%2BUX%2B%2F4tNc6CbaDfTHPzszLdudMjtHyiFyqVEc4I7315nsqYd3Hn0moq7oUjP8W12DpafpMI11FtLLc8E%2FIeKT%2FF%2F95uTwCw11k&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20240117T195620Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAQ3PHCVTY36KWHWFE%2F20240117%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=b93cf2f747096b8403a30f5a03e4ab5e73969ddf02db49b94a84c25374337eac&hash=651dbd08dcac26acd731a507fcb0645265074d1323716a313dcdf5c83f76b5b3&host=68042c943591013ac2b2430a89b270f6af2c76d8dfd086a07176afe7c76c2c61&pii=S0031938416304103&tid=spdf-1363192c-1245-445c-8f94-6efe44a3d67b&sid=50d8de6973d0994c2c28c104699fdc7c49e4gxrqa&type=client&tsoh=d3d3LnNjaWVuY2VkaXJlY3QuY29t&ua=19075d5154535059515602&rr=84712932eeb136c5&cc=ca
Myotis nattereri          ,8.7 ml02/hr,0.04833,0.0063592,7.6,157.2522243,https://link.springer.com/content/pdf/10.1007/s11284-012-1010-0.pdf 
Neotamias amoenus         ,1.686 ml02/gh,0.53,0.009282,57.1,107.7358491,https://www.sciencedirect.com/science/article/pii/0300962985909041?ref=pdf_download&fr=RR-2&rr=84789b1458b938e1
Rhinolophus ferrumequinum,46.5 ml02/hr,0.2583,0.01435,18,69.68641115,https://pdf.sciencedirectassets.com/271085/1-s2.0-S0031938416X00108/1-s2.0-S0031938416304103/main.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEBwaCXVzLWVhc3QtMSJHMEUCIQDI%2B4230EfLWr6so69dY9GbZP%2F2fpUx%2FAgea5Y1KcI01wIgSy4foX2HRMQplCIXBO83%2FnJwcOl9t%2BIh0UqioVF6MZ8qvAUIxP%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FARAFGgwwNTkwMDM1NDY4NjUiDMGeTuGepkcDBebrpCqQBbQCLgQDkKJ1yF5B87a8E7IH55IQyV2HkoTvVLO4wapEyADotO%2FYuC05IprL5fp7Z8jRlrbnNAJmYSg53ua5z1aXGeipfUVdsO5bbia5z6Wj6oXtsPv7mdQlSPIvLWAaviE0mnvY21XvNvHygOmlWq8OXp4FzbcX9AB7%2F%2FJ1%2F5BVo0P8MFOAq0rGaC46x%2BLsSd1wD22z62YwKjZ3UHOQVz3jiStsHgjtzkIGJIEcZYNgdiML%2B%2BVGwN5hBNPYuOp0ZBDMSqwPrz%2FMTQ2cAbfHrsP4tF9WN9ChyuJQbEPEQqUPQRJbdpEhyMJliAqqczeB7CfsilbNSTGu8EeH%2Bwg0W4zA9bB7pFTC6B2A5oVsq2UFkthdImGbNy2aEngTp0vscoKo2fF7n0%2F4iVOdi8VvCE30JOZ%2BLcTEitGBVzrGyFCB5HaZRdB6E120qcJV9OpeBlotm5rsZ0coFZHdMuL7EiixW%2F3v%2BHcKJCIbema7Ggss20ty8DtAkFGc9PGhSVZieyALvo6RgiAiOV8yvVfcqab7JTkaOuNNPAEBvdzY1xjfXBK5wrLR66TNqPplzK1cO99GcZA7nDUAdxaCEgtNZjkXstvGXNAjnYTRkuxAg2QW53S%2B2zc9EHnl1oWPqqg54Ch2N6bxCuXQkGXOicqmhIOKKoAZdWRyH5%2BDxnzQf887xiUc6rTFCFPFYVHY4Z2o0Yh3NwTMxCQBQqC5af4IBfqbVcz1FwK5RbhUFflnbb%2B8PGWOt2uP85fugWaAosmBJgMS0%2F6QzvgbmVQHNy2nmu0L1Vu4fATWeNKV5z2Aob0pctleOseE%2FoEkggwhLf06oBuojKN9zgAmdKDni%2FkXPzNUfT7dc4u%2BxAzI6P5RgM9KMOLOoK0GOrEBVeoIpdYl6zqebvY4Kis1qLcSp3Hq6YMApvUPb7oGbpHVJZ4Pga5DQjO5Dqv2kr55Dx6bl1rTBHf3XMLbwZuVzHj5DkWV0e%2Fuv8T%2BDrYn47ty4Hf5Y4XUJ3R%2FJGFNrjzSDhY%2BBHhFCk%2BUX%2B%2F4tNc6CbaDfTHPzszLdudMjtHyiFyqVEc4I7315nsqYd3Hn0moq7oUjP8W12DpafpMI11FtLLc8E%2FIeKT%2FF%2F95uTwCw11k&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20240117T195620Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAQ3PHCVTY36KWHWFE%2F20240117%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=b93cf2f747096b8403a30f5a03e4ab5e73969ddf02db49b94a84c25374337eac&hash=651dbd08dcac26acd731a507fcb0645265074d1323716a313dcdf5c83f76b5b3&host=68042c943591013ac2b2430a89b270f6af2c76d8dfd086a07176afe7c76c2c61&pii=S0031938416304103&tid=spdf-1363192c-1245-445c-8f94-6efe44a3d67b&sid=50d8de6973d0994c2c28c104699fdc7c49e4gxrqa&type=client&tsoh=d3d3LnNjaWVuY2VkaXJlY3QuY29t&ua=19075d5154535059515602&rr=84712932eeb136c5&cc=ca
Rupicapra rupicapra       ,3140 kJ/day,36.3426,0.0009086,40000,1100.636718,https://www.sciencedirect.com/science/article/pii/S0303264706001481
Sciurus vulgaris          ,0.46 ml/gh,0.9016,0.0025556,352.8,391.3043478,https://www.nature.com/articles/s41598-023-28624-x/tables/1
Sorex caecutiens          ,15 kJ/day,0.17,0.0472222,3.6,21.17647059,https://www.sciencedirect.com/science/article/pii/S0303264706001481
