"","Plot","Plot2","Major_taxa","Order","Species","Mass_g","CombAll","CombPlot2","CombOrder","CombSpecies","Density_Nm2","Trophic","Group"
"1",1,1,"Mammal","Artiodactyla","Adenota kob",83400,0.000786975802827803,0.000574504539007121,0.000786975802827803,NA,7.76e-06,"Herbivore","Eutherian"
"73",1,1,"Mammal","Artiodactyla","Aepyceros melampus",44200,0.000561832466894918,0.000416179826045821,0.000561832466894918,NA,8.91331523809524e-06,"Herbivore","Eutherian"
"76",1,1,"Mammal","Artiodactyla","Alcelaphus buselaphus",126178.571428571,0.000119579908067584,8.64678081727112e-05,0.000119579908067584,NA,8.64716428571429e-07,"Herbivore","Eutherian"
"77",1,1,"Mammal","Artiodactyla","Alces alces",324673.076923077,0.000139104246134615,9.63086426465752e-05,0.000136116139200785,0.000139104246134615,4.84942307692308e-07,"Herbivore","Eutherian"
"124",1,1,"Mammal","Artiodactyla","Ammodorcas clarkei",31000,4.01101500972021e-05,2.99551757761028e-05,4.01101500972021e-05,NA,8.3e-07,"Herbivore","Eutherian"
"81",1,1,"Mammal","Artiodactyla","Antidorcas marsupialis",31875,6.80165202995839e-05,5.07637807272505e-05,6.80165202995839e-05,NA,1.3784275e-06,"Herbivore","Eutherian"
"129",1,1,"Mammal","Artiodactyla","Antilocapra americana",46500,4.740489e-05,4.50525090536163e-05,6.08907742592266e-05,4.740489e-05,9.3e-07,"Herbivore","Eutherian"
"82",1,1,"Mammal","Artiodactyla","Antilope cervicapra",31900,1.26646207164854e-05,9.45200420985262e-06,1.26646207164854e-05,NA,2.56511405454545e-07,"Herbivore","Eutherian"
"84",1,1,"Mammal","Artiodactyla","Axis axis",52942.3529411765,0.000547101171280635,0.000403588770810387,0.000547101171280635,NA,7.58215629411765e-06,"Herbivore","Eutherian"
"85",1,1,"Mammal","Artiodactyla","Axis porcinus",27800,0.000321603938690073,0.000240783782618663,0.000321603938690073,NA,7.2208034e-06,"Herbivore","Eutherian"
"86",1,1,"Mammal","Artiodactyla","Bison bison",485500,8.97290702312552e-05,6.29027625906624e-05,8.97290702312552e-05,NA,2.365e-07,"Herbivore","Eutherian"
"244",1,1,"Mammal","Artiodactyla","Bison bonasus",850000,0.000577139848972557,0.000399414043152202,0.000577139848972557,NA,1e-06,"Herbivore","Eutherian"
"245",1,1,"Mammal","Artiodactyla","Blastocerus dichotomus",125000,2.00486318779732e-05,1.450022414042e-05,2.00486318779732e-05,NA,1.46e-07,"Herbivore","Eutherian"
"246",1,1,"Mammal","Artiodactyla","Bos banteng",263000,0.000203756779370119,0.000144867841535526,0.000203756779370119,NA,8.5e-07,"Herbivore","Eutherian"
"87",1,1,"Mammal","Artiodactyla","Bos gaurus",845913.043478261,0.000426884583486017,0.000295461489932531,0.000426884583486017,NA,7.42330354202899e-07,"Herbivore","Eutherian"
"88",1,1,"Mammal","Artiodactyla","Boselaphus tragocamelus",168714.285714286,0.00027499255823836,0.000197521944649465,0.00027499255823836,NA,1.59969767571428e-06,"Herbivore","Eutherian"
"89",1,1,"Mammal","Artiodactyla","Bubalus arnee",8e+05,0.000743521181827986,0.000515277500989525,0.000743521181827986,NA,1.34813275e-06,"Herbivore","Eutherian"
"390",1,1,"Mammal","Artiodactyla","Bubalus bubalis",274000,0.000296621552546083,0.000210694570853681,0.000296621552546083,NA,1.2e-06,"Herbivore","Eutherian"
"391",1,1,"Mammal","Artiodactyla","Capra aegagrus",50000,8.29575782574556e-06,6.12771643067613e-06,8.29575782574556e-06,NA,1.2e-07,"Herbivore","Eutherian"
"392",1,1,"Mammal","Artiodactyla","Capra hircus",75000,0.00029035470389915,0.000212481616318087,0.00029035470389915,NA,3.1e-06,"Herbivore","Eutherian"
"393",1,1,"Mammal","Artiodactyla","Capra waalie",1e+05,0.000534446352939766,0.00038852862572449,0.000534446352939766,NA,4.6e-06,"Herbivore","Eutherian"
"90",1,1,"Mammal","Artiodactyla","Capreolus capreolus",21850,0.000199413333312,0.000134384188786694,0.00017849935577236,0.000199413333312,4.8e-06,"Herbivore","Eutherian"
"396",1,1,"Mammal","Artiodactyla","Cephalophus callipygus",20100,0.000524000126918644,0.00039525446714439,0.000524000126918644,NA,1.5e-05,"Herbivore","Eutherian"
"397",1,1,"Mammal","Artiodactyla","Cephalophus dorsalis",20350,0.000133981436086131,0.000101033768245104,0.000133981436086131,NA,3.8e-06,"Herbivore","Eutherian"
"398",1,1,"Mammal","Artiodactyla","Cephalophus leucogaster",12700,0.000101549813425917,7.74124029217456e-05,0.000101549813425917,NA,4.1e-06,"Herbivore","Eutherian"
"399",1,1,"Mammal","Artiodactyla","Cephalophus monticola",4900,0.000274291019815507,0.000213725323695299,0.000274291019815507,NA,2.26e-05,"Herbivore","Eutherian"
"400",1,1,"Mammal","Artiodactyla","Cephalophus natalensis",14000,0.000213150409737934,0.000162122813208431,0.000213150409737934,NA,8e-06,"Herbivore","Eutherian"
"401",1,1,"Mammal","Artiodactyla","Cephalophus nigrifrons",13900,6.89029346662079e-05,5.24164112573093e-05,6.89029346662079e-05,NA,2.6e-06,"Herbivore","Eutherian"
"402",1,1,"Mammal","Artiodactyla","Cephalophus ogilbyi",19500,0.000443941313156031,0.00033509941557983,0.000443941313156031,NA,1.3e-05,"Herbivore","Eutherian"
"91",1,1,"Mammal","Artiodactyla","Cephalophus rufilatus",16250,0.000123629910101619,9.37114872023815e-05,0.000123629910101619,NA,4.15e-06,"Herbivore","Eutherian"
"405",1,1,"Mammal","Artiodactyla","Cephalophus sylvicultor",52500,6.4533930020497e-05,4.76149523413795e-05,6.4533930020497e-05,NA,9e-07,"Herbivore","Eutherian"
"93",1,1,"Mammal","Artiodactyla","Cervus canadensis",250000,0.000202319548135967,0.000144013806744357,0.000202319548135967,NA,8.76666666666667e-07,"Herbivore","Eutherian"
"409",1,1,"Mammal","Artiodactyla","Cervus duvauceli",170000,0.00219561530357351,0.00157679352596248,0.00219561530357351,NA,1.27e-05,"Herbivore","Eutherian"
"94",1,1,"Mammal","Artiodactyla","Cervus duvaucelii",159000,0.000518117731165648,0.000372662098655832,0.000518117731165648,NA,3.150908e-06,"Herbivore","Eutherian"
"415",1,1,"Mammal","Artiodactyla","Cervus elaphus",175000,0.0004963966666484,0.00069485049636988,0.00096819390216905,0.0004963966666484,5.48e-06,"Herbivore","Eutherian"
"95",1,1,"Mammal","Artiodactyla","Cervus unicolor",211159.090909091,0.000524567071488483,0.000374846883446331,0.000524567071488483,NA,2.57941969318182e-06,"Herbivore","Eutherian"
"504",1,1,"Mammal","Artiodactyla","Connochaetes taurinus",203000,0.001185389333502,0.00107188721204537,0.00149865820034892,0.001185389333502,7.59e-06,"Herbivore","Eutherian"
"102",1,1,"Mammal","Artiodactyla","Connochaetus taurinus",163000,0.00111798325731126,0.000803662842197366,0.00111798325731126,NA,6.673605e-06,"Herbivore","Eutherian"
"543",1,1,"Mammal","Artiodactyla","Damaliscus dorcas",70000,0.00167217823873474,0.00122564364174177,0.00167217823873474,NA,1.88e-05,"Herbivore","Eutherian"
"103",1,1,"Mammal","Artiodactyla","Damaliscus lunatus",108666.666666667,0.000198118599326598,0.000143752013718054,0.000198118599326598,NA,1.60229619047619e-06,"Herbivore","Eutherian"
"110",1,1,"Mammal","Artiodactyla","Gazella bennettii",23000,1.77899934140385e-05,1.33774997406811e-05,1.77899934140385e-05,NA,4.60357636829268e-07,"Herbivore","Eutherian"
"111",1,1,"Mammal","Artiodactyla","Gazella granti",45627.2727272727,0.000127862203660099,9.4645272392622e-05,0.000127862203660099,NA,1.98078227272727e-06,"Herbivore","Eutherian"
"112",1,1,"Mammal","Artiodactyla","Gazella thomsoni",18166.6666666667,0.000166695189886565,0.000126031365466265,0.000166695189886565,NA,5.14730166666667e-06,"Herbivore","Eutherian"
"113",1,1,"Mammal","Artiodactyla","Giraffa camelopardalis",754378.378378378,0.000186932716671671,0.000129723802210374,0.000186932716671671,NA,3.54180540540541e-07,"Herbivore","Eutherian"
"683",1,1,"Mammal","Artiodactyla","Hemitragus hylocrius",90000,0.00105328424796114,0.000767568097327996,0.00105328424796114,NA,9.81006e-06,"Herbivore","Eutherian"
"115",1,1,"Mammal","Artiodactyla","Hippopotamus amphibius",1401283.33333333,0.000375502520614451,0.00025689855636281,0.000375502520614451,NA,4.47423333333333e-07,"Herbivore","Eutherian"
"116",1,1,"Mammal","Artiodactyla","Hippotragus equinus",257941.176470588,1.52073945276933e-05,1.08170476209846e-05,1.52073945276933e-05,NA,6.43694117647059e-08,"Herbivore","Eutherian"
"117",1,1,"Mammal","Artiodactyla","Hippotragus niger",218083.333333333,2.43885585383371e-05,1.74147289662686e-05,2.43885585383371e-05,NA,1.17060833333333e-07,"Herbivore","Eutherian"
"118",1,1,"Mammal","Artiodactyla","Hyemoschus aquaticus",14150,0.000261858982047216,0.00019912187876552,0.000261858982047216,NA,9.75e-06,"Herbivore","Eutherian"
"745",1,1,"Mammal","Artiodactyla","Kobus defassa",211000,0.001851621530594,0.00132316081158484,0.001851621530594,NA,9.11e-06,"Herbivore","Eutherian"
"119",1,1,"Mammal","Artiodactyla","Kobus ellipsiprymnus",180000,3.30150936131135e-05,2.86899540514095e-05,4.00020470356247e-05,3.30150936131135e-05,2.21685263157895e-07,"Herbivore","Eutherian"
"784",1,1,"Mammal","Artiodactyla","Kobus ellipsiprymus",194000,0.000322549584246676,0.000230938292701678,0.000322549584246676,NA,1.69e-06,"Herbivore","Eutherian"
"785",1,1,"Mammal","Artiodactyla","Kobus leche",90600,0.00167250338086636,0.00121863026557871,0.00167250338086636,NA,1.55e-05,"Herbivore","Eutherian"
"786",1,1,"Mammal","Artiodactyla","Kobus vardoni",69300,1.32417912719506e-05,9.70797786973968e-06,1.32417912719506e-05,NA,1.5e-07,"Herbivore","Eutherian"
"787",1,1,"Mammal","Artiodactyla","Lama guanacoe",89000,5.4301218759365e-05,3.95815239482632e-05,5.4301218759365e-05,NA,5.1e-07,"Herbivore","Eutherian"
"788",1,1,"Mammal","Artiodactyla","Litocranius walleri",42000,6.24880869817344e-05,4.63427071400167e-05,6.24880869817344e-05,NA,1.03e-06,"Herbivore","Eutherian"
"123",1,1,"Mammal","Artiodactyla","Madoqua kirkii",5077.14285714286,0.000174691826702686,0.000157285332174848,0.000202021953146605,0.000174691826702686,1.620852e-05,"Herbivore","Eutherian"
"125",1,1,"Mammal","Artiodactyla","Mazama americana",23050,0.000396744283443694,0.000298323970542896,0.000396744283443694,NA,1.025e-05,"Herbivore","Eutherian"
"798",1,1,"Mammal","Artiodactyla","Mazama gouazoubira",17350,0.000325398041942921,0.000246280457343597,0.000325398041942921,NA,1.04e-05,"Herbivore","Eutherian"
"1291",1,1,"Mammal","Artiodactyla","Moschiola meminna",5000,1.32141587999304e-05,1.02915814534034e-05,1.32141587999304e-05,NA,1.0724195e-06,"Herbivore","Eutherian"
"801",1,1,"Mammal","Artiodactyla","Moschus moschiferus",15000,2.46900125846155e-05,1.87495183811847e-05,2.46900125846155e-05,NA,8.8e-07,"Herbivore","Eutherian"
"130",1,1,"Mammal","Artiodactyla","Muntiacus muntjak",16562.5,2.76712638455981e-05,2.09656341950364e-05,2.76712638455981e-05,NA,9.157088609375e-07,"Herbivore","Eutherian"
"131",1,1,"Mammal","Artiodactyla","Naemorhedus goral",26000,1.40024265316212e-05,1.04997224682856e-05,1.40024265316212e-05,NA,3.30553666666667e-07,"Herbivore","Eutherian"
"869",1,1,"Mammal","Artiodactyla","Neotragus batesi",2650,1.14881131585882e-05,9.07889417231164e-06,1.14881131585882e-05,NA,1.5e-06,"Herbivore","Eutherian"
