"","Plot","Plot2","Major_taxa","Order","Species","Mass_g","Density_Nm2","Trophic","Group","Biomass_g_m2"
"1",1,1,"Mammal","Artiodactyla","Adenota kob",83400,7.76e-06,"Herbivore","Eutherian",0.647184
"73",1,1,"Mammal","Artiodactyla","Aepyceros melampus",44200,8.91331523809524e-06,"Herbivore","Eutherian",0.39396853352381
"76",1,1,"Mammal","Artiodactyla","Alcelaphus buselaphus",126178.571428571,8.64716428571429e-07,"Herbivore","Eutherian",0.109108683647959
"77",1,1,"Mammal","Artiodactyla","Alces alces",324673.076923077,4.84942307692308e-07,"Herbivore","Eutherian",0.157447711168639
"124",1,1,"Mammal","Artiodactyla","Ammodorcas clarkei",31000,8.3e-07,"Herbivore","Eutherian",0.02573
"81",1,1,"Mammal","Artiodactyla","Antidorcas marsupialis",31875,1.3784275e-06,"Herbivore","Eutherian",0.0439373765625
"129",1,1,"Mammal","Artiodactyla","Antilocapra americana",46500,9.3e-07,"Herbivore","Eutherian",0.043245
"82",1,1,"Mammal","Artiodactyla","Antilope cervicapra",31900,2.56511405454545e-07,"Herbivore","Eutherian",0.008182713834
"84",1,1,"Mammal","Artiodactyla","Axis axis",52942.3529411765,7.58215629411765e-06,"Herbivore","Eutherian",0.401417194578339
"85",1,1,"Mammal","Artiodactyla","Axis porcinus",27800,7.2208034e-06,"Herbivore","Eutherian",0.20073833452
"86",1,1,"Mammal","Artiodactyla","Bison bison",485500,2.365e-07,"Herbivore","Eutherian",0.11482075
"244",1,1,"Mammal","Artiodactyla","Bison bonasus",850000,1e-06,"Herbivore","Eutherian",0.85
"245",1,1,"Mammal","Artiodactyla","Blastocerus dichotomus",125000,1.46e-07,"Herbivore","Eutherian",0.01825
"246",1,1,"Mammal","Artiodactyla","Bos banteng",263000,8.5e-07,"Herbivore","Eutherian",0.22355
"87",1,1,"Mammal","Artiodactyla","Bos gaurus",845913.043478261,7.42330354202899e-07,"Herbivore","Eutherian",0.627946929190069
"88",1,1,"Mammal","Artiodactyla","Boselaphus tragocamelus",168714.285714286,1.59969767571428e-06,"Herbivore","Eutherian",0.269891850716939
"89",1,1,"Mammal","Artiodactyla","Bubalus arnee",8e+05,1.34813275e-06,"Herbivore","Eutherian",1.0785062
"390",1,1,"Mammal","Artiodactyla","Bubalus bubalis",274000,1.2e-06,"Herbivore","Eutherian",0.3288
"391",1,1,"Mammal","Artiodactyla","Capra aegagrus",50000,1.2e-07,"Herbivore","Eutherian",0.006
"392",1,1,"Mammal","Artiodactyla","Capra hircus",75000,3.1e-06,"Herbivore","Eutherian",0.2325
"393",1,1,"Mammal","Artiodactyla","Capra waalie",1e+05,4.6e-06,"Herbivore","Eutherian",0.46
"90",1,1,"Mammal","Artiodactyla","Capreolus capreolus",21850,4.8e-06,"Herbivore","Eutherian",0.10488
"396",1,1,"Mammal","Artiodactyla","Cephalophus callipygus",20100,1.5e-05,"Herbivore","Eutherian",0.3015
"397",1,1,"Mammal","Artiodactyla","Cephalophus dorsalis",20350,3.8e-06,"Herbivore","Eutherian",0.07733
"398",1,1,"Mammal","Artiodactyla","Cephalophus leucogaster",12700,4.1e-06,"Herbivore","Eutherian",0.05207
"399",1,1,"Mammal","Artiodactyla","Cephalophus monticola",4900,2.26e-05,"Herbivore","Eutherian",0.11074
