,Plot,Plot2,Major_taxa,Order,Species,Mass_g,Metabolism_W,Trophic,Group,Mass_Spec_Meta_Watt,Inverse_Mass_Spec_Meta_Watt
1,1,2,Mammal,Afrosoricida,Amblysomus hottentotus,70,0.472222222,Carnivore,Eutherian,0.006746032,148.2352942
2,1,2,Mammal,Afrosoricida,Chrysochloris asiatica,34,0.227777778,Carnivore,Eutherian,0.006699346,149.2682925
3,1,2,Mammal,Afrosoricida,Echinops telfairi,116.4,0.75,Carnivore,Eutherian,0.006443299,155.2
4,1,2,Mammal,Afrosoricida,Eremitalpa granti,26.1,0.086111111,Carnivore,Eutherian,0.003299276,303.0967746
3211,1,2,Mammal,Afrosoricida,Geogale aurita,6.9,0.043,Carnivore,Eutherian,0.006231884,160.4651163
7,1,2,Mammal,Afrosoricida,Hemicentetes nigriceps,101.9,0.405555556,Carnivore,Eutherian,0.003979937,251.2602737
351,1,2,Mammal,Afrosoricida,Hemicentetes semispinosus,133,0.358333333,Carnivore,Eutherian,0.002694236,371.162791
10,1,2,Mammal,Afrosoricida,Limnogale mergulus,77.7,0.402777778,Carnivore,Eutherian,0.005183755,192.9103447
11,1,2,Mammal,Afrosoricida,Microgale cowani,10.3,0.15,Carnivore,Eutherian,0.014563107,68.66666667
474,1,2,Mammal,Afrosoricida,Microgale dobsoni,44.6,0.233333333,Carnivore,Eutherian,0.005231689,191.1428574
14,1,2,Mammal,Afrosoricida,Microgale drouhardi,11.9,0.158333333,Carnivore,Eutherian,0.013305322,75.1578949
47510,1,2,Mammal,Afrosoricida,Microgale talazaci,44,0.241666667,Carnivore,Eutherian,0.005492424,182.0689653
17,1,2,Mammal,Afrosoricida,Oryzorictes hova,44.4,0.247222222,Carnivore,Eutherian,0.005568068,179.5955058
7791,1,9,Mammal,Afrosoricida,Setifer setosus,427.6,0.573,Omnivore,Eutherian,0.001340037,746.2478185
843,1,2,Mammal,Afrosoricida,Tenrec ecaudatus,650,0.729,Carnivore,Eutherian,0.001121538,891.6323731
22,1,1,Mammal,Artiodactyla,Alces alces,325000,286.847,Herbivore,Eutherian,0.000882606,1133.008189
23,1,1,Mammal,Artiodactyla,Alces americanus,350000,318.4316358,Herbivore,Eutherian,0.000909805,1099.137022
5710,1,1,Mammal,Artiodactyla,Antilocapra americana,34779.3,50.973,Herbivore,Eutherian,0.001465613,682.3082809
26,1,1,Mammal,Artiodactyla,Bos taurus,347000,306.77,Herbivore,Eutherian,0.000884063,1131.140594
131,1,1,Mammal,Artiodactyla,Camelus dromedarius,407000,224.7444444,Herbivore,Eutherian,0.000552198,1810.945766
138,1,1,Mammal,Artiodactyla,Capreolus capreolus,19000,41.54444444,Herbivore,Eutherian,0.00218655,457.3415352
15610,1,1,Mammal,Artiodactyla,Cervus elaphus,58000,90.58333333,Herbivore,Eutherian,0.001561782,640.2943882
1841,1,1,Mammal,Artiodactyla,Connochaetes taurinus,140000,156.1777778,Herbivore,Eutherian,0.001115556,896.4143425
35,1,1,Mammal,Artiodactyla,Gazella subgutturosa,17100,25.65833333,Herbivore,Eutherian,0.001500487,666.4501462
394,1,1,Mammal,Artiodactyla,Kobus ellipsiprymnus,1e+05,148.9277778,Herbivore,Eutherian,0.001489278,671.4664079
38,1,1,Mammal,Artiodactyla,Lama glama,115000,148.94,Herbivore,Eutherian,0.00129513,772.1230026
445,1,1,Mammal,Artiodactyla,Madoqua kirkii,4600,10.77777778,Herbivore,Eutherian,0.002342995,426.8041236
555,1,1,Mammal,Artiodactyla,Odocoileus virginianus,67625,94.3,Herbivore,Eutherian,0.001394455,717.126193
5691,1,1,Mammal,Artiodactyla,Oreamnos americanus,32000,46.40833333,Herbivore,Eutherian,0.00145026,689.5313342
45,1,1,Mammal,Artiodactyla,Oryx leucoryx,84100,103.9361111,Herbivore,Eutherian,0.001235863,809.1509208
46,1,1,Mammal,Artiodactyla,Ovibos moschatus,224500,139.1888889,Herbivore,Eutherian,0.000619995,1612.916101
575,1,1,Mammal,Artiodactyla,Ovis canadensis,67030.8,114.674,Herbivore,Eutherian,0.001710766,584.5335473
614,1,1,Mammal,Artiodactyla,Pecari tajacu,20200,32.45,Herbivore,Eutherian,0.001606436,622.4961479
64310,1,1,Mammal,Artiodactyla,Philantomba monticola,4200,10.075,Herbivore,Eutherian,0.00239881,416.8734491
7323,1,1,Mammal,Artiodactyla,Rangifer tarandus,85000,119.66,Herbivore,Eutherian,0.001407765,710.3459803
733,1,1,Mammal,Artiodactyla,Raphicerus campestris,8500,18.25277778,Herbivore,Eutherian,0.002147386,465.6825445
57,1,1,Mammal,Artiodactyla,Sus scrofa,135000,104.15,Herbivore,Eutherian,0.000771481,1296.207393
8391,1,1,Mammal,Artiodactyla,Taurotragus oryx,141404,190.209,Herbivore,Eutherian,0.001345146,743.4138237
864,1,1,Mammal,Artiodactyla,Tragulus javanicus,1615.5,4.883,Herbivore,Eutherian,0.003022594,330.8416957
16,1,2,Mammal,Carnivora,Acinonyx jubatus,37900,50.10277778,Carnivore,Eutherian,0.001321973,756.4450851
28,1,2,Mammal,Carnivora,Ailurus fulgens,5740,4.898,Carnivore,Eutherian,0.00085331,1171.906901
67,1,2,Mammal,Carnivora,Arctictis binturong,14280,6.291666667,Carnivore,Eutherian,0.000440593,2269.668874
69,1,2,Mammal,Carnivora,Arctogalidia trivirgata,2010,3.083333333,Carnivore,Eutherian,0.001533997,651.891892
931,1,2,Mammal,Carnivora,Bassariscus sumichrasti,1280,3.537,Carnivore,Eutherian,0.002763281,361.8886062
135,1,2,Mammal,Carnivora,Canis latrans,10000,15,Carnivore,Eutherian,0.0015,666.6666667
74,1,2,Mammal,Carnivora,Canis lupus,33000,45.09722222,Carnivore,Eutherian,0.001366582,731.7523869
136,1,2,Mammal,Carnivora,Canis mesomelas,7720,21.05555556,Carnivore,Eutherian,0.002727404,366.6490764
