"","Plot","Plot2","Major_taxa","Order","Species","Mass_g","Mortality_per_yr","Trophic","Group","Lifespan_yr"
"27",1,2,"Mammal","Afrosoricida","Echinops telfairi",180,1.3817894735,"Carnivore","Eutherian",0.723699245925685
"37",1,2,"Mammal","Afrosoricida","Hemicentetes semispinosus",146,0.972962963,"Carnivore","Eutherian",1.02778835169289
"5010",1,2,"Mammal","Afrosoricida","Microgale dobsoni",38.4,0.4567142855,"Carnivore","Eutherian",2.18955270668887
"51",1,2,"Mammal","Afrosoricida","Microgale talazaci",50,0.4405172415,"Carnivore","Eutherian",2.27005870779294
"9",1,9,"Mammal","Afrosoricida","Setifer setosus",225,0.177304965,"Omnivore","Eutherian",5.639999985336
"10",1,2,"Mammal","Afrosoricida","Tenrec ecaudatus",900,0.287356322,"Carnivore","Eutherian",3.4799999980512
"11",1,1,"Mammal","Artiodactyla","Addax nasomaculatus",92500,0.089285714,"Herbivore","Eutherian",11.20000003584
"991",1,1,"Mammal","Artiodactyla","Aepyceros melampus",52500,0.15421875,"Herbivore","Eutherian",6.48429584599797
"101",1,1,"Mammal","Artiodactyla","Alcelaphus buselaphus",165000,0.1190555555,"Herbivore","Eutherian",8.39944004125032
"102",1,1,"Mammal","Artiodactyla","Alces alces",359000,0.126,"Herbivore","Eutherian",7.93650793650794
"1053",1,1,"Mammal","Artiodactyla","Ammotragus lervia",88150,0.1856036865,"Herbivore","Eutherian",5.38782401824761
"106",1,1,"Mammal","Artiodactyla","Antidorcas marsupialis",39000,0.126631313,"Herbivore","Eutherian",7.89694094066607
"107",1,1,"Mammal","Artiodactyla","Antilocapra americana",46100,0.224430107666667,"Herbivore","Eutherian",4.45573016203888
"108",1,1,"Mammal","Artiodactyla","Antilope cervicapra",37166.6666666667,0.138200836666667,"Herbivore","Eutherian",7.23584620845638
"29",1,1,"Mammal","Artiodactyla","Axis axis",36000,0.120192308,"Herbivore","Eutherian",8.3199999787008
"30",1,1,"Mammal","Artiodactyla","Axis calamianensis",40500,0.145348837,"Herbivore","Eutherian",6.8800000099072
"31",1,1,"Mammal","Artiodactyla","Axis kuhlii",55000,0.140449438,"Herbivore","Eutherian",7.1200000102528
"32",1,1,"Mammal","Artiodactyla","Axis porcinus",43000,0.109170306,"Herbivore","Eutherian",9.1599999728864
"111",1,1,"Mammal","Artiodactyla","Babyrousa babyrussa",85750,0.107085153,"Herbivore","Eutherian",9.33836271401695
"112",1,1,"Mammal","Artiodactyla","Bison bison",596000,0.083875622,"Herbivore","Eutherian",11.9224153115669
"1131",1,1,"Mammal","Artiodactyla","Bison bonasus",705000,0.093848485,"Herbivore","Eutherian",10.6554730212214
"40",1,1,"Mammal","Artiodactyla","Bos frontalis",825000,0.095419847,"Herbivore","Eutherian",10.4800000360512
"114",1,1,"Mammal","Artiodactyla","Bos grunniens",833500,0.098028517,"Herbivore","Eutherian",10.2011132128011
"43",1,1,"Mammal","Artiodactyla","Bos javanicus",7e+05,0.092250923,"Herbivore","Eutherian",10.8399999423312
"44",1,1,"Mammal","Artiodactyla","Bos taurus",750000,0.125,"Herbivore","Eutherian",8
"45",1,1,"Mammal","Artiodactyla","Boselaphus tragocamelus",180000,0.115207373,"Herbivore","Eutherian",8.6800000204848
"46",1,1,"Mammal","Artiodactyla","Bubalus bubalis",725000,0.071633238,"Herbivore","Eutherian",13.9599999653792
