"","Binomial","Order","Family","Genus","Species"
"1","Abrothrix_longipilis","Rodentia","Cricetidae","Abrothrix","longipilis"
"4","Abrothrix_olivaceus","Rodentia","Cricetidae","Abrothrix","olivaceus"
"10","Acinonyx_jubatus","Carnivora","Felidae","Acinonyx","jubatus"
"16","Aeorestes_cinereus","Chiroptera","Vespertilionidae","Lasiurus","cinereus"
"19","Aepyceros_melampus","Artiodactyla","Bovidae","Aepyceros","melampus"
"37","Akodon_azarae","Rodentia","Cricetidae","Akodon","azarae"
"43","Akodon_cursor","Rodentia","Cricetidae","Akodon","cursor"
"49","Alcelaphus_buselaphus","Artiodactyla","Bovidae","Alcelaphus","buselaphus"
"55","Alces_alces","Artiodactyla","Cervidae","Alces","alces"
"106","Alces_americanus","Artiodactyla","Cervidae","Alces","americanus"
"130","Alouatta_palliata","Primates","Atelidae","Alouatta","palliata"
"133","Alouatta_seniculus","Primates","Atelidae","Alouatta","seniculus"
"136","Antilocapra_americana","Artiodactyla","Antilocapridae","Antilocapra","americana"
"142","Apodemus_flavicollis","Rodentia","Muridae","Apodemus","flavicollis"
"148","Apodemus_sylvaticus","Rodentia","Muridae","Apodemus","sylvaticus"
"151","Arctocephalus_australis","Carnivora","Otariidae","Arctocephalus","australis"
"154","Arctocephalus_gazella","Carnivora","Otariidae","Arctocephalus","gazella"
"157","Arctocephalus_philippii","Carnivora","Otariidae","Arctocephalus","townsendi"
"160","Arctocephalus_pusillus","Carnivora","Otariidae","Arctocephalus","pusillus"
"163","Arctocephalus_tropicalis","Carnivora","Otariidae","Arctocephalus","tropicalis"
"166","Arvicola_amphibius","Rodentia","Cricetidae","Arvicola","amphibius"
"172","Ateles_geoffroyi","Primates","Atelidae","Ateles","geoffroyi"
"175","Balaenoptera_acutorostrata","Cetacea","Balaenopteridae","Balaenoptera","acutorostrata"
"178","Balaenoptera_musculus","Cetacea","Balaenopteridae","Balaenoptera","musculus"
"184","Balaenoptera_physalus","Cetacea","Balaenopteridae","Balaenoptera","physalus"
"190","Bison_bison","Artiodactyla","Bovidae","Bison","bison"
"232","Bison_bonasus","Artiodactyla","Bovidae","Bison","bonasus"
"286","Blarina_brevicauda","Soricomorpha","Soricidae","Blarina","brevicauda"
"295","Bos_frontalis","Artiodactyla","Bovidae","Bos","frontalis"
"298","Brachyteles_arachnoides","Primates","Atelidae","Brachyteles","arachnoides"
"301","Callorhinus_ursinus","Carnivora","Otariidae","Callorhinus","ursinus"
"307","Calomys_venustus","Rodentia","Cricetidae","Calomys","venustus"
"310","Canis_aureus","Carnivora","Canidae","Canis","aureus"
"319","Canis_latrans","Carnivora","Canidae","Canis","latrans"
"340","Canis_lupus","Carnivora","Canidae","Canis","lupus"
"433","Canis_simensis","Carnivora","Canidae","Canis","simensis"
"439","Capra_ibex","Artiodactyla","Bovidae","Capra","ibex"
"472","Capra_pyrenaica","Artiodactyla","Bovidae","Capra","pyrenaica"
"481","Capreolus_capreolus","Artiodactyla","Cervidae","Capreolus","capreolus"
"565","Capreolus_pygargus","Artiodactyla","Cervidae","Capreolus","pygargus"
"568","Capricornis_sumatraensis","Artiodactyla","Bovidae","Capricornis","sumatraensis"
"571","Castor_canadensis","Rodentia","Castoridae","Castor","canadensis"
"574","Castor_fiber","Rodentia","Castoridae","Castor","fiber"
"595","Cebus_capucinus","Primates","Cebidae","Cebus","capucinus"
"598","Ceratotherium_simum","Perissodactyla","Rhinocerotidae","Ceratotherium","simum"
