Binomial,Order,Family,Genus,Species,Group
Coleura_seychellensis,Chiroptera,Emballonuridae,Coleura,Coleura seychellensis,Bats
Pteropus_conspicillatus,Chiroptera,Pteropodidae,Pteropus,Pteropus conspicillatus,Bats
Pteropus_poliocephalus,Chiroptera,Pteropodidae,Pteropus,Pteropus poliocephalus,Bats
Pteropus_samoensis,Chiroptera,Pteropodidae,Pteropus,Pteropus samoensis,Bats
Pteropus_tonganus,Chiroptera,Pteropodidae,Pteropus,Pteropus tonganus,Bats
Rhinolophus_euryale,Chiroptera,Rhinolophidae,Rhinolophus,Rhinolophus euryale,Bats
Rhinolophus_ferrumequinum,Chiroptera,Rhinolophidae,Rhinolophus,Rhinolophus ferrumequinum,Bats
Rhinolophus_hipposideros,Chiroptera,Rhinolophidae,Rhinolophus,Rhinolophus hipposideros,Bats
Rhinolophus_mehelyi,Chiroptera,Rhinolophidae,Rhinolophus,Rhinolophus mehelyi,Bats
Aeorestes_cinereus,Chiroptera,Vespertilionidae,Aeorestes,Aeorestes cinereus,Bats
Corynorhinus_townsendii,Chiroptera,Vespertilionidae,Corynorhinus,Corynorhinus townsendii,Bats
Eptesicus_serotinus,Chiroptera,Vespertilionidae,Eptesicus,Eptesicus serotinus,Bats
Lasionycteris_noctivagans,Chiroptera,Vespertilionidae,Lasionycteris,Lasionycteris noctivagans,Bats
Lasiurus_borealis,Chiroptera,Vespertilionidae,Lasiurus,Lasiurus borealis,Bats
Miniopterus_schreibersii,Chiroptera,Vespertilionidae,Miniopterus,Miniopterus schreibersii,Bats
Myotis_capaccinii,Chiroptera,Vespertilionidae,Myotis,Myotis capaccinii,Bats
Myotis_dasycneme,Chiroptera,Vespertilionidae,Myotis,Myotis dasycneme,Bats
Myotis_daubentonii,Chiroptera,Vespertilionidae,Myotis,Myotis daubentonii,Bats
Myotis_emarginatus,Chiroptera,Vespertilionidae,Myotis,Myotis emarginatus,Bats
Myotis_escalerai,Chiroptera,Vespertilionidae,Myotis,Myotis escalerai,Bats
Myotis_lucifugus,Chiroptera,Vespertilionidae,Myotis,Myotis lucifugus,Bats
Myotis_myotis,Chiroptera,Vespertilionidae,Myotis,Myotis myotis,Bats
Myotis_nattereri,Chiroptera,Vespertilionidae,Myotis,Myotis nattereri,Bats
Myotis_septentrionalis,Chiroptera,Vespertilionidae,Myotis,Myotis septentrionalis,Bats
Nyctalus_noctula,Chiroptera,Vespertilionidae,Nyctalus,Nyctalus noctula,Bats
Pipistrellus_pipistrellus,Chiroptera,Vespertilionidae,Pipistrellus,Pipistrellus pipistrellus,Bats
Pipistrellus_pygmaeus,Chiroptera,Vespertilionidae,Pipistrellus,Pipistrellus pygmaeus,Bats
Plecotus_auritus,Chiroptera,Vespertilionidae,Plecotus,Plecotus auritus,Bats
Plecotus_austriacus,Chiroptera,Vespertilionidae,Plecotus,Plecotus austriacus,Bats
Canis_aureus,Carnivora,Canidae,Canis,Canis aureus,Carnivores
Canis_latrans,Carnivora,Canidae,Canis,Canis latrans,Carnivores
Canis_lupus,Carnivora,Canidae,Canis,Canis lupus,Carnivores
Canis_simensis,Carnivora,Canidae,Canis,Canis simensis,Carnivores
Lycalopex_gymnocercus,Carnivora,Canidae,Lycalopex,Lycalopex gymnocercus,Carnivores
Lycaon_pictus,Carnivora,Canidae,Lycaon,Lycaon pictus,Carnivores
Vulpes_lagopus,Carnivora,Canidae,Vulpes,Vulpes lagopus,Carnivores
Vulpes_vulpes,Carnivora,Canidae,Vulpes,Vulpes vulpes,Carnivores
Acinonyx_jubatus,Carnivora,Felidae,Acinonyx,Acinonyx jubatus,Carnivores
Felis_silvestris,Carnivora,Felidae,Felis,Felis silvestris,Carnivores
Lynx_canadensis,Carnivora,Felidae,Lynx,Lynx canadensis,Carnivores
Lynx_lynx,Carnivora,Felidae,Lynx,Lynx lynx,Carnivores
Lynx_pardinus,Carnivora,Felidae,Lynx,Lynx pardinus,Carnivores
Panthera_leo,Carnivora,Felidae,Panthera,Panthera leo,Carnivores
Panthera_onca,Carnivora,Felidae,Panthera,Panthera onca,Carnivores
Uncia_uncia,Carnivora,Felidae,Panthera,Panthera uncia,Carnivores
Puma_concolor,Carnivora,Felidae,Puma,Puma concolor,Carnivores
Galerella_sanguinea,Carnivora,Herpestidae,Galerella,Galerella sanguinea,Carnivores
Helogale_parvula,Carnivora,Herpestidae,Helogale,Helogale parvula,Carnivores
Mungos_mungo,Carnivora,Herpestidae,Mungos,Mungos mungo,Carnivores
Mephitis_mephitis,Carnivora,Mephitidae,Mephitis,Mephitis mephitis,Carnivores
Enhydra_lutris,Carnivora,Mustelidae,Enhydra,Enhydra lutris,Carnivores
Gulo_gulo,Carnivora,Mustelidae,Gulo,Gulo gulo,Carnivores
Lutra_lutra,Carnivora,Mustelidae,Lutra,Lutra lutra,Carnivores
Martes_americana,Carnivora,Mustelidae,Martes,Martes americana,Carnivores
Martes_foina,Carnivora,Mustelidae,Martes,Martes foina,Carnivores
Martes_martes,Carnivora,Mustelidae,Martes,Martes martes,Carnivores
Meles_meles,Carnivora,Mustelidae,Meles,Meles meles,Carnivores
Mustela_erminea,Carnivora,Mustelidae,Mustela,Mustela erminea,Carnivores
Mustela_frenata,Carnivora,Mustelidae,Mustela,Mustela frenata,Carnivores
Mustela_nivalis,Carnivora,Mustelidae,Mustela,Mustela nivalis,Carnivores
Mustela_vison,Carnivora,Mustelidae,Mustela,Mustela vison,Carnivores
Pekania_pennanti,Carnivora,Mustelidae,Pekania,Pekania pennanti,Carnivores
Pteronura_brasiliensis,Carnivora,Mustelidae,Pteronura,Pteronura brasiliensis,Carnivores
Procyon_lotor,Carnivora,Procyonidae,Procyon,Procyon lotor,Carnivores
Ursus_americanus,Carnivora,Ursidae,Ursus,Ursus americanus,Carnivores
Ursus_arctos,Carnivora,Ursidae,Ursus,Ursus arctos,Carnivores
Ursus_maritimus,Carnivora,Ursidae,Ursus,Ursus maritimus,Carnivores
Genetta_genetta,Carnivora,Viverridae,Genetta,Genetta genetta,Carnivores
Loxodonta_africana,Proboscidea,Elephantidae,Loxodonta,Loxodonta africana,Elephants
Loxodonta_cyclotis,Proboscidea,Elephantidae,Loxodonta,Loxodonta cyclotis,Elephants
Lepus_americanus,Lagomorpha,Leporidae,Lepus,Lepus americanus,Glires
Lepus_timidus,Lagomorpha,Leporidae,Lepus,Lepus timidus,Glires
Oryctolagus_cuniculus,Lagomorpha,Leporidae,Oryctolagus,Oryctolagus cuniculus,Glires
Ochotona_collaris,Lagomorpha,Ochotonidae,Ochotona,Ochotona collaris,Glires
Dromiciops_gliroides,Microbiotheria,Microbiotheriidae,Dromiciops,Dromiciops gliroides,Glires
Castor_canadensis,Rodentia,Castoridae,Castor,Castor canadensis,Glires
Castor_fiber,Rodentia,Castoridae,Castor,Castor fiber,Glires
Abrothrix_longipilis,Rodentia,Cricetidae,Abrothrix,Abrothrix longipilis,Glires
Abrothrix_olivaceus,Rodentia,Cricetidae,Abrothrix,Abrothrix olivaceus,Glires
Akodon_azarae,Rodentia,Cricetidae,Akodon,Akodon azarae,Glires
Akodon_cursor,Rodentia,Cricetidae,Akodon,Akodon cursor,Glires
Microtus_oeconomus,Rodentia,Cricetidae,Alexandromys,Alexandromys oeconomus,Glires
Arvicola_amphibius,Rodentia,Cricetidae,Arvicola,Arvicola amphibius,Glires
Calomys_venustus,Rodentia,Cricetidae,Calomys,Calomys venustus,Glires
Myodes_gapperi,Rodentia,Cricetidae,Clethrionomys,Clethrionomys gapperi,Glires
Cricetus_cricetus,Rodentia,Cricetidae,Cricetus,Cricetus cricetus,Glires
Dicrostonyx_groenlandicus,Rodentia,Cricetidae,Dicrostonyx,Dicrostonyx groenlandicus,Glires
Dicrostonyx_torquatus,Rodentia,Cricetidae,Dicrostonyx,Dicrostonyx torquatus,Glires
Lemmus_lemmus,Rodentia,Cricetidae,Lemmus,Lemmus lemmus,Glires
Lemmus_portenkoi,Rodentia,Cricetidae,Lemmus,Lemmus portenkoi,Glires
Lemmus_trimucronatus,Rodentia,Cricetidae,Lemmus,Lemmus trimucronatus,Glires
Microtus_agrestis,Rodentia,Cricetidae,Microtus,Microtus agrestis,Glires
Microtus_arvalis,Rodentia,Cricetidae,Microtus,Microtus arvalis,Glires
Microtus_californicus,Rodentia,Cricetidae,Microtus,Microtus californicus,Glires
Microtus_longicaudus,Rodentia,Cricetidae,Microtus,Microtus longicaudus,Glires
Microtus_montanus,Rodentia,Cricetidae,Microtus,Microtus montanus,Glires
Microtus_pennsylvanicus,Rodentia,Cricetidae,Microtus,Microtus pennsylvanicus,Glires
Myodes_glareolus,Rodentia,Cricetidae,Myodes,Myodes glareolus,Glires
Myodes_rufocanus,Rodentia,Cricetidae,Myodes,Myodes rufocanus,Glires
Myodes_rutilus,Rodentia,Cricetidae,Myodes,Myodes rutilus,Glires
Nectomys_squamipes,Rodentia,Cricetidae,Nectomys,Nectomys squamipes,Glires
Neotoma_albigula,Rodentia,Cricetidae,Neotoma,Neotoma albigula,Glires
Neotoma_magister,Rodentia,Cricetidae,Neotoma,Neotoma magister,Glires
Nyctomys_sumichrasti,Rodentia,Cricetidae,Nyctomys,Nyctomys sumichrasti,Glires
Oligoryzomys_longicaudatus,Rodentia,Cricetidae,Oligoryzomys,Oligoryzomys longicaudatus,Glires
Oligoryzomys_nigripes,Rodentia,Cricetidae,Oligoryzomys,Oligoryzomys nigripes,Glires
Onychomys_leucogaster,Rodentia,Cricetidae,Onychomys,Onychomys leucogaster,Glires
Onychomys_torridus,Rodentia,Cricetidae,Onychomys,Onychomys torridus,Glires
Oryzomys_couesi,Rodentia,Cricetidae,Oryzomys,Oryzomys couesi,Glires
Osgoodomys_banderanus,Rodentia,Cricetidae,Osgoodomys,Osgoodomys banderanus,Glires
Oxymycterus_rufus,Rodentia,Cricetidae,Oxymycterus,Oxymycterus rufus,Glires
Peromyscus_eremicus,Rodentia,Cricetidae,Peromyscus,Peromyscus eremicus,Glires
Peromyscus_maniculatus,Rodentia,Cricetidae,Peromyscus,Peromyscus maniculatus,Glires
Peromyscus_perfulvus,Rodentia,Cricetidae,Peromyscus,Peromyscus perfulvus,Glires
Phenacomys_intermedius,Rodentia,Cricetidae,Phenacomys,Phenacomys intermedius,Glires
Phyllotis_darwini,Rodentia,Cricetidae,Phyllotis,Phyllotis darwini,Glires
Reithrodontomys_megalotis,Rodentia,Cricetidae,Reithrodontomys,Reithrodontomys megalotis,Glires
Napaeozapus_insignis,Rodentia,Dipodidae,Napaeozapus,Napaeozapus insignis,Glires
Erethizon_dorsatus,Rodentia,Erethizontidae,Erethizon,Erethizon dorsatus,Glires
Muscardinus_avellanarius,Rodentia,Gliridae,Muscardinus,Muscardinus avellanarius,Glires
Chaetodipus_intermedius,Rodentia,Heteromyidae,Chaetodipus,Chaetodipus intermedius,Glires
Chaetodipus_penicillatus,Rodentia,Heteromyidae,Chaetodipus,Chaetodipus penicillatus,Glires
Dipodomys_merriami,Rodentia,Heteromyidae,Dipodomys,Dipodomys merriami,Glires
Dipodomys_ordii,Rodentia,Heteromyidae,Dipodomys,Dipodomys ordii,Glires
Dipodomys_spectabilis,Rodentia,Heteromyidae,Dipodomys,Dipodomys spectabilis,Glires
