"","species_names","X","ID","Binomial","Common_name","Location","Country","Region","Latitude","Longitude","Class","Order","System","T_realm","T_biome","FW_realm","FW_biome","M_realm","M_biome","minyear","maxyear","duration","points","taxa","first_order_coefficient","first_order_pvalue","second_order_coefficient","second_order_pvalue","strd_error","intercept","x_m","p1","p2","p3","CV","MSE","D","r.sq","derivative","intercept_derivative","derivated_curvature","direction","acceleration","shape_class","linear_slope","linear_slope_pvalue","linear_intercept","first_X_value","last_X_value","magnitude","lin_class","gnbn","dir2","full_realm","LoNL","redlistCategory","populationTrend","GBIF_ID"
"1","Abrothrix longipilis",2518,4887,"Abrothrix_longipilis","Long-haired grass mouse","Experimental San Mart?ínWood Station, 72kmnorth of Valdivia City, Chile","Chile","Latin America and Caribbean",-39.63333,"-73.11667","Mammalia","Rodentia","Terrestrial","Neotropical","Temperate broadleaf and mixed forests","NULL","NULL","NULL","NULL",1980,1998,19,19,"Mammals",-0.12139654908675,3.12094770793521e-05,0,0.170984691624518,0.50611287271765,244.491247817983,1989,NA,NA,NA,0.280417471810895,0.215705465204642,0.228545009904869,0.646008133251387,-0.12139654908675,244.491247817983,NA,"decrease","constant","decrease_constant",-0.12139654908675,3.47833738791465e-05,244.491247817983,1980,1998,0,"negative","bad","Decrease
linear","Neotropical","linear","Least Concern","Decreasing","4265092"
"2","Abrothrix olivaceus",2420,4600,"Abrothrix_olivaceus","Olive grass mouse","Las Chinchillas National Reserve, Auco'","Chile","Latin America and Caribbean",-31.5,"-71.1","Mammalia","Rodentia","Terrestrial","Neotropical","Temperate broadleaf and mixed forests","NULL","NULL","NULL","NULL",1987,1997,11,11,"Mammals",-0.136230178626286,0.125000487720617,0,0.715162150625023,0.83392065994904,272.714590492003,1992,NA,NA,NA,0.653044341325377,0.505762666974431,0.792048565083023,0.0973542672620682,-0.136230178626286,272.714590492003,NA,"stable","constant","stable_constant",-0.136230178626289,0.105182204520236,272.714590492008,1987,1997,0,"no trend","no","No trend
linear","Neotropical","linear","Least Concern","Stable","4265094"
"3","Abrothrix olivaceus",2421,4601,"Abrothrix_olivaceus","Olive grass mouse","Las Chinchillas National Reserve, Auco'","Chile","Latin America and Caribbean",-31.5,"-71.1","Mammalia","Rodentia","Terrestrial","Neotropical","Temperate broadleaf and mixed forests","NULL","NULL","NULL","NULL",1987,1997,11,11,"Mammals",-0.0936766573673209,0.18206570840985,0,0.725776039900762,0.672334272735864,187.951728506217,1992,NA,NA,NA,0.505454441790779,0.32875154494201,0.601557248026192,0.0260466803413197,-0.0936766573673209,187.951728506217,NA,"stable","constant","stable_constant",-0.0936766573673212,0.158592904835707,187.951728506218,1987,1997,0,"no trend","no","No trend
linear","Neotropical","linear","Least Concern","Stable","4265094"
"4","Acinonyx jubatus",4,28,"Acinonyx_jubatus","Cheetah","Serengeti National Park","Tanzania, United Republic Of","Africa",-2.33333,"34.58333","Mammalia","Carnivora","Terrestrial","Afrotropical","Tropical and subtropical grasslands, savannas and shrublands","NULL","NULL","NULL","NULL",1969,1994,26,26,"Mammals",23.9573515175794,1.67792907105284e-11,-0.00602896831576116,1.00909486459547e-07,0.202898472110519,-23795.9324330477,1981.5,1986.85332737188,1979.70562033452,1994.00103440928,0.1791166648525,0.0364176603711541,0.0513156957299929,0.890769493645571,NA,NA,2.78643872038726e-05,"stable","concave","stable_concave",0.0645500822178994,7.41690415079707e-07,-124.478540431094,1969,1994,0.0120579366315223,"positive","bad","No trend
non linear","Afrotropical","non linear","Vulnerable","Decreasing","2435270"
"5","Acinonyx jubatus",4362,9864,"Acinonyx_jubatus","Cheetah","Lewa Wildlife Conservancy, Kenya","Kenya","Africa",0.22139,"37.44806","Mammalia","Carnivora","Terrestrial","Afrotropical","Tropical and subtropical grasslands, savannas and shrublands","NULL","NULL","NULL","NULL",1977,2007,31,19,"Mammals",-19.8862801276056,0.0110098097677887,0.00499605906260373,0.0486280770207526,0.757176805981658,19789.8377218448,1992,1990.1966608499,1996.83344020051,1976.21023555988,0.624922400103771,0.482793023592914,1.53639013314916,0.375390638463949,NA,NA,-5.39285661339314e-06,"stable","convex","stable_convex",0.0716610751113786,0.0181458214782889,-141.600480865529,1977,2007,0.00999211812520747,"positive","good","No trend
non linear","Afrotropical","non linear","Vulnerable","Decreasing","2435270"
"6","Aepyceros melampus",2415,4593,"Aepyceros_melampus","Impala / Black-faced impala","Kruger National Park, South Africa","South Africa","Africa",-23.755,"31.31111","Mammalia","Artiodactyla","Terrestrial","Afrotropical","Tropical and subtropical grasslands, savannas and shrublands","NULL","NULL","NULL","NULL",1980,1993,14,14,"Mammals",17.2388642571993,0.394760887358776,-0.00434032790785148,0.0240295696067082,0.0895566625052622,-17116.546081591,1986.5,1985.89422541265,1982.70770035968,1989.08075046574,0.16185216942199,0.00630173955642112,0.105374119419024,0.301980137984972,NA,NA,-1.18866614538777e-06,"stable","concave","stable_concave",-0.00525852069469602,0.481546071145536,11.108337223627,1980,1993,0.00868065581570297,"no trend","bad","No trend
non linear","Afrotropical","non linear","Least Concern","Stable","2441144"
"7","Aepyceros melampus",4370,9884,"Aepyceros_melampus","Impala / Black-faced impala","Lewa Nature Conservancy, Kenya","Kenya","Africa",0.22139,"37.44806","Mammalia","Artiodactyla","Terrestrial","Afrotropical","Tropical and subtropical grasslands, savannas and shrublands","NULL","NULL","NULL","NULL",1977,2007,31,19,"Mammals",0.0406217309804974,2.19397808576884e-07,0,0.0526473201835698,0.143709667445349,-74.7140900845426,1992,NA,NA,NA,0.0511563362489018,0.0173915524355812,0.0298811706084986,0.808676382399491,0.0406217309804974,-74.7140900845426,NA,"increase","constant","increase_constant",0.0406217309804975,4.79433339710067e-07,-74.7140900845429,1977,2007,0,"positive","good","Increase
linear","Afrotropical","linear","Least Concern","Stable","2441144"
"8","Aepyceros melampus",4384,10020,"Aepyceros_melampus","Impala / Black-faced impala","Hluhluwe Umfolozi Provincial Nature Reserve, South Africa","South Africa","Africa",-28.22361,"31.90167","Mammalia","Artiodactyla","Terrestrial","Afrotropical","Montane grasslands and shrublands","NULL","NULL","NULL","NULL",1973,2006,34,13,"Mammals",0.031340136783558,0.00243969230482356,0,0.0722553949241135,0.287770718878914,-52.9357823537535,1989.5,NA,NA,NA,0.0481191178217872,0.0637015281877592,0.022904581846347,0.602586689547344,0.031340136783558,-52.9357823537535,NA,"increase","constant","increase_constant",0.0313401367835582,0.00448607583733574,-52.9357823537538,1973,2006,0,"positive","good","Increase
linear","Afrotropical","linear","Least Concern","Stable","2441144"
"9","Aepyceros melampus",3886,8523,"Aepyceros_melampus","Impala / Black-faced impala","Artificial waterholes, northern Hwange National Park, Zimbabwe","Zimbabwe","Africa",-19,"26.5","Mammalia","Artiodactyla","Terrestrial","Afrotropical","Tropical and subtropical grasslands, savannas and shrublands","NULL","NULL","NULL","NULL",1973,2005,33,24,"Mammals",-0.0170416326962945,0.225666270668808,0,0.0728515043081148,0.570671436299488,41.2931541972727,1989,NA,NA,NA,0.0828230565032706,0.284957652182106,0.0900348069568236,0.119604994194385,-0.0170416326962945,41.2931541972727,NA,"stable","constant","stable_constant",-0.0170416326962947,0.25010402699197,41.293154197273,1973,2005,0,"no trend","no","No trend
linear","Afrotropical","linear","Least Concern","Stable","2441144"
"10","Aepyceros melampus",2566,5026,"Aepyceros_melampus","Impala / Black-faced impala","Kruger National Park, South Africa","South Africa","Africa",-24.01139,"31.48417","Mammalia","Artiodactyla","Terrestrial","Afrotropical","Tropical and subtropical grasslands, savannas and shrublands","NULL","NULL","NULL","NULL",1981,1993,13,13,"Mammals",18.3526437488876,0.30350697454787,-0.00461999003964422,0.0435434974185423,0.0895061103153002,-18214.4726724485,1987,1986.2211380764,1982.86009241004,1989.58218374277,0.00900081891853292,0.00616257214136515,0.00658977297195596,0.2731876018266,NA,NA,-1.84305629777975e-06,"stable","concave","stable_concave",-0.00719666865854086,0.377945077423946,25.9641025230893,1981,1993,0.00923998007928845,"no trend","bad","No trend
non linear","Afrotropical","non linear","Least Concern","Stable","2441144"
