"Ref_N","Reference"
1,"Čeirāns, A., Pupina, A., & Pupins, M. (2020). A new method for the estimation of minimum adult frog density from a large-scale audial survey. Scientific Reports, 10(1), 1-12."
2,"Rocha, C. F. D., Sluys, M. V., Alves, M. A. S., Bergallo, H. G., & Vrcibradic, D. (2001). Estimates of forest floor litter frog communities: a comparison of two methods. Austral Ecology, 26(1), 14-21."
3,"Siqueira, C. C., Vrcibradic, D., Almeida-Gomes, M., Borges-Junior, V. N., Almeida-Santos, P., Almeida-Santos, M., Ariani, C.V., Guedes, D., Goyannes-Araújo, P., Dorigo, T.A., & Van Sluys, M. (2009). Density and richness of leaf litter frogs (Amphibia: Anura) of an Atlantic Rainforest area in the Serra dos Órgãos, Rio de Janeiro State, Brazil. Zoologia (Curitiba), 26(1), 97-102."
4,"Van Sluys, M., Vrcibradic, D., Alves, M. A. S., Bergallo, H. G., & Rocha, C. F. D. (2007). Ecological parameters of the leaf‐litter frog community of an Atlantic Rainforest area at Ilha Grande, Rio de Janeiro state, Brazil. Austral Ecology, 32(3), 254-260."
5,"Santos-Pereira, M., Candaten, A., Milani, D., Oliveira, F. B., Gardelin, J., & da Rocha, C. F. (2011). Seasonal variation in the leaf-litter frog community (Amphibia: Anura) from an Atlantic Forest Area in the Salto Morato Natural Reserve, southern Brazil. Zoologia (Curitiba), 28(6), 755-761."
6,"Rocha et al. (2007). A survey of the leaf-litter frog assembly from an Atlantic forest area (Reserva Ecológica de Guapiaçu) in Rio de Janeiro State, Brazil, with an estimate of frog densities. Tropical Zoology, 20(1), 99-108."
7,"Almeida-Gomes, M., et al. (2008). Herpetofauna of an Atlantic Rainforest area (Morro São João) in Rio de Janeiro State, Brazil. Anais da Academia Brasileira de Ciências, 80(2), 291-300."
8,"Rocha, C. F., Vrcibradic, D., Kiefer, M. C., Siqueira, C. C., Almeida-Gomes, M., Borges Júnior, V. N., Hatano, F.H., Fontes, A.F., Pontes, J.A.L., Klaion, T., Gil, L.O., Van Sluys M. (2011). Parameters from the community of leaf-litter frogs from Estação Ecológica Estadual Paraíso, Guapimirim, Rio de Janeiro State, southeastern Brazil. Anais da Academia Brasileira de Ciências, 83(4), 1259-1268."
9,"Lampo, M., Celsa, S.J., Rodriguez-Contreras, A., Rojas-Runjaic, F., Garcia, C.Z., (2012). High Turnover Rates in Remnant Populations of the Harlequin Frog Atelopus cruciger (Bufonidae): Low Risk of Extinction? Biotropica 44, 420-426."
10,"Gomez-Hoyos, D. A., Suarez-Joaqui, T., Bolívar, W., & García, J. L. (2017). Population assessment strategy for Atelopus elegans (Bufonidae) in the Gorgona National Natural Park, Colombia. North-Western Journal of Zoology, 13(1), 154-158."
11,"Luger, M., Garner, T.W.J., Ernst, R., Hoedl, W., Loetters, S., (2008). No evidence for precipitous declines of harlequin frogs (Atelopus) in the Guyanas. Studies on Neotropical Fauna and Environment 43, 177-180."
12,"La Marca E. et al. (2005). Catastrophic population declines and extinctions in neotropical harlequin frogs (Bufonidae : Atelopus). Biotropica 37, 190-201."
13,"Gómez-Hoyos, D., Bolívar-García, W., Burbano-Yandi, C. E., & García, J. L. (2014). Evaluación poblacional y estrategia de monitoreo para Atelopus spurrelli en el Parque Nacional Natural Utría, Colombia. Revista Biodiversidad Neotropical, 4(2), 104-112."
14,"Licata, F., Ficetola, G. F., Freeman, K., Mahasoa, R. H., Ravololonarivo, V., Fidy, J., JFSN, Koto-Jean, A.B, Nahavitatsara, E.R., Andreone, F., Crottini, A. (2019). Abundance, distribution and spread of the invasive Asian toad Duttaphrynus melanostictus in eastern Madagascar. Biological Invasions, 21(5), 1615-1626."
15,"Beebee, T. J., Denton, J. S., & Buckley, J. (1996). Factors affecting population densities of adult natterjack toads Bufo calamita in Britain. Journal of Applied Ecology 33(2): 263-268."
16,"Syarif, R., Satria, R., Nugraha, F. A. D., & Putri, I. L. E. (2023, May). Density and Diversity of Herpetofauna Using a Transect Method Implemented in a Coconut Plantation (Cocos nucifera L.). In 3rd International Conference on Biology, Science and Education (IcoBioSE 2021) (pp. 240-248). Atlantis Press."
17,"Siqueira, C. C., Vrcibradic, D., Kiefer, M. C., Almeida-Gomes, M., Nogueira-Costa, P., Borges-Junior, V. N. T., Van Sluys, M., Rocha, C. F. D. (2022). Anuran species composition and density estimates from an Atlantic Forest area within the APA Serra da Mantiqueira, Rio de Janeiro state, Brazil. Biota Neotropica, 22, e20211265."
18,"Courtois, E.A., Devillechabrolle, J., Dewynter, M., Pineau, K., Gaucher, P., Chave, J. (2013). Monitoring Strategy for Eight Amphibian Species in French Guiana, South America. PLoS ONE 8."
19,"Rios-López, N., & Mitchell Aide, T. (2007). Herpetofaunal dynamics during secondary succession. Herpetologica, 63(1), 35-50."
20,"Furlani, D., Ficetola, G.F., Colombo, G., Ugurlcan, M., De Bernardi, F., (2009). Deforestation and the structure of frog communities in the Humedale Terraba-Sierpe, Costa Rica. Zoological Science 26, 197-202."
21,"Funk, W.C., Almeida-Reinoso, D., Nogales-Sornosa, F., Bustamante, M.R., (2003). Monitoring population trends of Eleutherodactylus frogs. Journal of Herpetology 37, 245-256."
22,"Courtois, E., Michel, E., Martinez, Q., Pineau, K., Dewynter, M., Ficetola, G.F., Fouquet, A. (2015). Taking the lead on climate change: Modeling and monitoring the fate of an Amazonian frog. Oryx, 50(3), 450–459"
23,"Van Sluys, M., Rocha, C. F. D., & Souza, M. B. (2001). Diet, reproduction, and density of the leptodactylid litter frog Zachaenus parvulus in an Atlantic rain forest of southeastern Brazil. Journal of Herpetology 35(2): 322-325"
24,"Cove, M.V., Spinola, M., (2013). Pairing noninvasive surveys with capture-recapture analysis to estimate demographic parameters for Dendrobates auratus (Anura: Dendrobatidae) from an altered habitat in Costa Rica. Phyllomedusa 12, 107-115."
25,"廖常乐,张平,陈冬洋,胡建平,华华 & 苏勇.(2019).棘胸蛙种群分布和景观生态稳定性相关性研究. 热带林业(02),26-30+36."
26,"Tabassum, F., Rais, M., Anwar, M., Mehmood, T., Hussain, I., & Khan, S. A. (2011). Abundance and breeding of the common skittering frog (Euphlyctis cyanophlyctis) and bull frog (Hoplobatrachus tigerinus) at Rawal Lake, Islamabad, Pakistan. Asian Herpetological Research, 2, 245-250."
27,"Beard, K. H., Al-Chokhachy, R., Tuttle, N. C., & O'Neill, E. M. (2008). Population density estimates and growth rates of Eleutherodactylus coqui in Hawaii. Journal of Herpetology, 42(4): 626-636"
28,"Fogarty, J. H., & Vilella, F. J. (2002). Population dynamics of Eleutherodactylus coqui in Cordillera forest reserves of Puerto Rico. Journal of Herpetology, 36(2), 193-201."
29,"Woolbright, L.L., Hara, A.H., Jacobsen, C.M., Mautz, W.J., Benevides, F.L., (2006). Population Densities of the Coquí, Eleutherodactylus coqui (Anura: Leptodactylidae) in Newly Invaded Hawaii and in Native Puerto Rico. Journal of Herpetology 40, 122-126."
30,"Stewart & Pough. (1983). Population Density of Tropical Forest Frogs: Relation to Retreat Sites. Science 22: 570-572"
31,"Stewart, M.M., Rand, A.S., (1991). Vocalizations and the Defense of Retreat Sites by Male and Female Frogs, Eleutherodactylus coqui. Copeia 1991, 1013-1024."
32,"Park, S. H., Cho, H., Jin, S. N., & Cho, K. H. (2017). Effects of habitat environment and land use on the abundance of Japanese tree frog (Hyla japonica) in Incheon, Korea. Ecology and Resilient Infrastructure, 4(4), 200-206."
33,"Rice, K.G., Waddle, J.H., Miller, M.W., Crockett, M.E., Mazzotti, F.J., Percival, H.F., (2011). Recovery of native treefrogs after removal of nonindigenous cuban treefrogs, Osteopilus septentrionalis. Herpetologica 67, 105-117."
34,"Gerhardt, H. C., Daniel, R. E., Perrill, S. A., & Schramm, S. (1987). Mating behaviour and male mating success in the green treefrog. Animal Behaviour, 35(5), 1490-1503."
35,"张勇.(2021).秦岭雨蛙（Hyla tsinlingensis）种群生态学研究(硕士学位论文,西北师范大学). https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_Yj4CGM-F3lU8IH-aNn8vue126X0A4f8FQCPgApBtBpvc0zuqhjnds8q-QOMT-F-gx-fGMa3ObYv1Q7lWEv0alGIGS8WwPQUCrqEb2qyTkUhQuoKCoumRQ9-2AR7nn5bRs=&uniplatform=NZKPT&language=CHS"
36,"Mageski, M., Ferreira, R. B., Jesus, P. R., Costa, L. C. D., Roper, J. J., & Ferreira, P. D. (2015). The island rule in the Brazilian frog Phyllodytes luteolus (Anura: Hylidae): incipient gigantism?. Zoologia (Curitiba), 32(5), 329-333."
37,"Bell, B.D., Pledger, S.A., (2010). How has the remnant population of the threatened frog Leiopelma pakeka (Anura: Leiopelmatidae) fared on Maud Island, New Zealand, over the past 25 years? Austral Ecology 35, 241-256."
38,"Secretariat of the Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES). (2013). Studies on the Mantella viridis amphibian for the purpose of reopening international trade in the species. Report prepared by Madagasikara Voakajy. Geneva, Switzerland, 27 pages."
