Unique_ID,Ref,Reference,Region,Taxa,Group,Species,Mean_gm2,Variance,CV,CV_k,Count,Units,ts1,ts2,ts3,ts4,ts5,ts6,ts7,ts8,ts9,ts10,ts11,ts12,ts13,ts14,ts15,ts16,ts17,ts18,ts19,ts20,ts21,ts22,ts23,ts24,ts25,ts26,ts27,ts28,ts29,ts30,ts31,ts32,ts33,ts34,ts35,ts36,ts37,ts38,ts39,ts40,ts41,ts42,ts43,ts44,ts45,ts46,ts47,ts48,ts49,ts50,ts51,ts52,ts53,ts54,ts55,ts56,ts57,ts58,ts59,ts60,ts61,ts62,ts63,ts64,ts65,ts66,ts67,ts68,ts69,ts70,ts71,ts72,ts73,ts74,ts75,ts76,ts77,ts78,ts79,ts80,ts81,ts82,ts83,ts84,ts85,ts86,ts87,ts88,ts89,ts90,ts91,ts92,ts93,ts94,ts95,ts96,ts97,ts98,ts99,ts100,ts101,ts102,ts103,ts104,ts105,ts106,ts107,ts108,ts109,ts110,ts111,ts112,ts113,ts114,ts115,ts116,ts117,ts118,ts119,ts120,ts121,ts122,ts123,ts124,ts125,ts126,ts127,ts128,ts129,ts130,ts131,ts132,ts133,ts134,ts135
1,African timeseries,From Hatton 2015,Ngorongoro crater,Mammal,Carnivore,Lion,0.034414714,0.000173679,0.382938904,0.357614837,49,g/m2,,0.046057858,0.006354562,0.006684042,0.014538116,0.015134809,0.022244949,0.025781724,0.034427949,0.028667976,0.032223531,0.036513443,,,0.059076263,0.053457323,0.052443841,0.046801549,0.049039604,0.053173957,0.05273033,0.060359046,0.045055668,0.046189209,0.042499582,0.04335013,0.046987017,0.047031027,0.048235732,0.043493631,0.038431411,0.040349543,0.033032602,0.027512865,0.024582632,0.026649085,0.024594332,0.015456093,0.024157407,0.029433309,0.025652388,0.019208567,0.020240281,0.02735834,0.036270772,0.038152361,0.029153161,0.030455084,0.031628096,0.031220268,0.029740119,0.024489384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,African timeseries,From Hatton 2015,Hluhluwe-iMfolozi NP,Mammal,Carnivore,Lion,0.012121748,2.38E-05,0.402158509,0.37311644,23,g/m2,,,,,,,,,,0.003664332,0.007408712,,,0.015077223,0.013407988,0.009008924,,,,,,,,0.012726693,0.011923544,,0.009067842,0.018695804,0.014125747,,,,,0.007856365,0.007171139,0.008551154,,,,0.01053457,0.012318579,0.014125747,0.011769106,0.010954755,0.008169727,,,0.011026399,0.014979258,0.019825457,0.026411137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,African timeseries,From Hatton 2015,Serengeti ecosystem,Mammal,Carnivore,Lion,0.015792208,1.89E-05,0.275028368,0.265181912,43,g/m2,,,,,,0.00629365,0.008306002,0.009363325,0.008565688,,,,,0.011487004,0.013017627,0.014235014,0.012907966,0.01300991,0.012106307,0.011906168,0.012587173,0.01319753,0.01409613,0.016803893,0.015269934,0.016257988,0.016354882,0.014801718,0.013189415,0.013450229,0.01531266,0.015987476,0.016431715,0.012768078,0.011820913,0.013144364,0.016264643,0.015610134,0.019085678,0.019748064,0.019189321,0.020920196,0.021118041,0.021868081,0.022871663,0.022091979,0.022275347,0.021892865,0.023451961,0.02034307,0.020376233,0.019284917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,African timeseries,From Hatton 2015,Ngorongoro crater,Mammal,Herbivore,Buffalo,3.503205882,6.533210229,0.729621554,0.589412046,34,g/m2,,,,0.022,0.016,0.134,,0.05,,0.215,0.163,0.560666667,1.089,0.826666667,0.658,1.955,1.100666667,2.341,,2.996,,,,,,2.91,5.569,3.657,3.71,4.951,5.822,7.053,4.824,8.011,5.696,5.786,4.828,4.942,8.353,6.787,3.858,4.583,5.432,4.259,5.951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,African timeseries,From Hatton 2015,Kruger NP,Mammal,Herbivore,Buffalo,0.692985553,0.042952903,0.299069469,0.286529877,30,g/m2,,0.275896572,,0.290656696,,,,0.434506293,0.521834746,0.578958344,0.541797883,0.576466375,0.602864816,,0.649144241,,,0.812546211,0.790200642,0.767855074,0.956039813,0.89984728,0.80748012,0.673242403,0.795431039,0.79351414,0.904338301,0.864631102,0.881390279,0.820871031,0.85206172,0.644954447,0.44556954,0.4240455,0.410490284,,,,,,,,,,,,,,0.739375428,1.016778135,1.016778135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,African timeseries,From Hatton 2015,Hluhluwe-iMfolozi NP,Mammal,Herbivore,Buffalo,2.313646763,1.237497556,0.480811804,0.4333256,19,g/m2,,,,,,,0.745875,,,,,1.188958333,,,,1.315166667,,,,,,1.030791667,,,,1.775662281,1.689569548,2.668874184,1.474,1.421,3.432947126,3.02400651,4.541390994,4.423013286,3.798841107,2.302980203,2.539735088,2.442880695,2.21688747,,,,,,,1.926708333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,African timeseries,From Hatton 2015,Serengeti ecosystem,Mammal,Herbivore,Buffalo,0.993353884,0.145231596,0.383642366,0.358187561,22,g/m2,0.613944012,,,,0.85528755,0.944203569,0.995012688,1.0923952,1.164384,1.282931325,1.270229025,1.2617696,1.342208644,1.5835521,,1.5623816,,1.4,,,,,,1.083928788,,0.901862569,,,1.4006512,,,0.762137431,,0.444580134,,0.42,,0.398005075,,0.444580134,,,0.6297408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,African timeseries,From Hatton 2015,Ngorongoro crater,Mammal,Herbivore,Zebra,3.344552015,0.411294981,0.191751491,0.188320598,35,g/m2,,,,4.702923077,3.507307692,3.329615385,,2.587538462,4.096230769,2.811205128,4.623384615,3.741974359,3.252826923,3.508717949,4.189307692,3.995961538,3.531846154,3.065615385,,3.602923077,,,,,,3.635923077,3.155730769,3.158057692,2.519423077,3.434538462,2.668346154,2.845192308,2.726307692,3.890192308,2.616307692,2.112,3.048692308,2.064192308,3.976923077,4.218923077,2.928961538,3.274192308,3.077038462,3.506038462,3.654961538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,African timeseries,From Hatton 2015,Kruger NP,Mammal,Herbivore,Zebra,0.283904927,0.006213277,0.277643447,0.267523699,30,g/m2,,0.147717099,,0.16683343,,,,0.170424983,0.225514772,0.234343041,0.19568171,0.192715783,0.191163305,,0.181894781,,,0.216651746,0.232095424,0.248558639,0.28935173,0.325788614,0.300914213,0.350755701,0.344244563,0.384226658,0.373069672,0.350744115,0.366083522,0.369698246,0.378885671,0.35958397,0.337130971,0.361877929,0.325661172,,,,,,,,,,,,,,0.206189899,0.347569646,0.341776818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,African timeseries,From Hatton 2015,Hluhluwe-iMfolozi NP,Mammal,Herbivore,Zebra,0.520826992,0.028292009,0.322952321,0.307323116,19,g/m2,,,,,,,0.627916667,,,,,0.514708333,,,,0.4015,,,,,,0.409291667,,,,0.331473219,0.220982142,0.480840791,0.389,0.426,0.501302083,0.38262648,0.380580344,0.542224726,0.581101208,0.69159227,0.622023793,0.752976208,0.787760417,,,,,,,0.8518125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
