"","ID","cv_window","cv_value","k_cv_value","full_length","species_names","Binomial","Replicate","Excluded_LPR_2022","Citation","Class","Order","Family","Genus","Species","Subspecies","Authority","Common_name","Location","Country","All_countries","Region","IPBES_region","IPBES_subregion","Latitude","Longitude","Specific_location","System","T_realm","T_biome","FW_realm","FW_biome","M_realm","M_ocean","M_biome","Migratory_fw_fish","Units","Method","start_year","end_year","unique_years","is_continuous","new_species","PValue_lm","PValue_mk","DetrendNeeded_lm","DetrendNeeded_mk","GBIF_ID"
"1",28,5,0.170131439726679,0.166287288042836,FALSE,"Acinonyx jubatus","Acinonyx_jubatus",0,0,"Kelly, M. J., M. K. Laurenson, et al. (1998). ""Demography of the Serengeti cheetah (Acinonyx jubatus) population: the first 25 years."" Journal of Zoology 244: 473-488.","Mammalia","Carnivora","Felidae","Acinonyx","jubatus","","Schreber, 1775","Cheetah","Serengeti National Park","Tanzania, United Republic Of","Tanzania, United Republic Of","Africa","Africa","East Africa and adjacent islands",-2.33333,34.58333,1,"Terrestrial","Afrotropical","Tropical and subtropical grasslands, savannas and shrublands","NULL","NULL","NULL","NULL","NULL",0,"Number of females","Observation",1969,1994,26,TRUE,"Acinonyx jubatus",0.00000209350884971559,0.00000746852747120861,TRUE,TRUE,2435270
"2",42,6,0.313845130132459,0.297289941947677,FALSE,"Canis simensis","Canis_simensis",0,0," Stephens, P. A., C. A. d'Sa, et al. (2001). ""Impact of livestock and settlement on the large mammalian wildlife of Bale Mountains National Park, southern Ethiopia."" Biological Conservation 100: 307-322.","Mammalia","Carnivora","Canidae","Canis","simensis","NULL","R??ppell, 1835","Ethiopian wolf","Sanetti Plateau, Bale Mountains National Park","Ethiopia","Ethiopia","Africa","Africa","East Africa and adjacent islands",7,39.75,1,"Terrestrial","Afrotropical","Montane grasslands and shrublands","NULL","NULL","NULL","NULL","NULL",0,"mean encounter rate/km","road counts",1986,1992,7,TRUE,"Canis simensis",0.5578138209453,0.879257207124831,FALSE,FALSE,5219143
"3",57,4,0.161228394559604,0.157662040451282,FALSE,"Connochaetes taurinus","Connochaetes_taurinus",1,0," Runyoro, V. R., H. Hofer, et al. (1995). Long term trends in the herbivore populations of the Ngorongoro Crater, Tanzania. Serengeti II: Dynamics, Management and Conservation of an Ecosystem. A. R. E. Sinclair and P. Arcese, University of Chicago Press pp 146 - 168.| NERC Centre for Population Biology (1999). The Global Populations Dynamics Database. http://cpbnts1.bio.ic.ac.uk/gpdd/, Imperial College,.","Mammalia","Artiodactyla","Bovidae","Connochaetes","taurinus","NULL","(Burchell, 1824)","White-bearded wildebeest / Blue wildebeest","Ngorongoro Crater","Tanzania, United Republic Of","Tanzania, United Republic Of","Africa","Africa","East Africa and adjacent islands",-3.18333,35.53333,1,"Terrestrial","Afrotropical","Tropical and subtropical grasslands, savannas and shrublands","NULL","NULL","NULL","NULL","NULL",0,"Number of individuals - Wet season","Estimate of entire population",1963,1978,16,TRUE,"Connochaetes taurinus",0.571275158110181,0.786421625447655,FALSE,FALSE,2441105
"4",58,4,0.092548086027339,0.0920238301985391,FALSE,"Connochaetes taurinus","Connochaetes_taurinus",1,0," Runyoro, V. R., H. Hofer, et al. (1995). Long term trends in the herbivore populations of the Ngorongoro Crater, Tanzania. Serengeti II: Dynamics, Management and Conservation of an Ecosystem. A. R. E. Sinclair and P. Arcese, University of Chicago Press pp 146 - 168.| NERC Centre for Population Biology (1999). The Global Populations Dynamics Database. http://cpbnts1.bio.ic.ac.uk/gpdd/, Imperial College,.","Mammalia","Artiodactyla","Bovidae","Connochaetes","taurinus","NULL","(Burchell, 1824)","White-bearded wildebeest / Blue wildebeest","Ngorongoro Crater","Tanzania, United Republic Of","Tanzania, United Republic Of","Africa","Africa","East Africa and adjacent islands",-3.18333,35.53333,1,"Terrestrial","Afrotropical","Tropical and subtropical grasslands, savannas and shrublands","NULL","NULL","NULL","NULL","NULL",0,"Number of individuals - Dry season","Estimate of entire population",1971,1977,7,TRUE,"Connochaetes taurinus",0.942869459075021,0.772,FALSE,FALSE,2441105
"5",102,6,0.221259778673111,0.213352628060368,FALSE,"Hippotragus equinus","Hippotragus_equinus",1,0," Nicholls, A. O., P. C. Viljoen, et al. (1996). ""Evaluating population persistence of censused and unmanaged herbivore populations from the Kruger National Park, South Africa."" Biological Conservation 76(1): 57-67.","Mammalia","Artiodactyla","Bovidae","Hippotragus","equinus","NULL","?Ù. Geoffroy Saint-Hilaire, 1803","Roan antelope","Kruger National Park, South Africa","South Africa","South Africa","Africa","Africa","Southern Africa",-23.83333,31.5,1,"Terrestrial","Afrotropical","Tropical and subtropical grasslands, savannas and shrublands","NULL","NULL","NULL","NULL","NULL",0,"Population number","Aerial census",1983,1992,10,TRUE,"Hippotragus equinus",0.00128278195563651,0.00683025586304409,TRUE,TRUE,2441030
"6",111,35,0.105018101996578,0.104386137854168,FALSE,"Loxodonta africana","Loxodonta_africana",0,0,"Whyte, I. (2004). Ecosystem resources influencing elephant populations:History of the KNP elephant population. Elephant effects on biodiversity: An assessment of curretn knowledge and understanding as a basis for elephant management in SANparks.","Mammalia","Proboscidea","Elephantidae","Loxodonta","africana","NULL","(Blumenbach, 1797)","African elephant","Kruger National Park","South Africa","South Africa","Africa","Africa","Southern Africa",-23.83333,31.5,1,"Terrestrial","Afrotropical","Tropical and subtropical grasslands, savannas and shrublands","NULL","NULL","NULL","NULL","NULL",0,"Individuals","Helicopter count",1967,2004,38,TRUE,"Loxodonta africana",0.0000154597714777412,0.000587161367101688,TRUE,TRUE,2435350
"7",128,9,0.101935573973322,0.101324919711524,FALSE,"Panthera leo","Panthera_leo",1,0," Hanby, J. P., J. D. Boycott, et al. (1995). Ecology, demograpghy and behaviour of lions in two contrasting habitats: Ngorongoro Crater and the Serengeti Plains. Serengeti II: Dynamics, Management and Conservation of an Ecosystem. A. R. E. Sinclair and P. Arcese, University of Chicago Press pp 315 - 331.| NERC Centre for Population Biology (1999). The Global Populations Dynamics Database. http://cpbnts1.bio.ic.ac.uk/gpdd/, Imperial College,.","Mammalia","Carnivora","Felidae","Panthera","leo","","Linnaeus, 1758","African lion / Asiatic lion","Serengeti Plains, Tanzania","Tanzania, United Republic Of","Tanzania, United Republic Of","Africa","Africa","East Africa and adjacent islands",-3.16667,35.58333,1,"Terrestrial","Afrotropical","Tropical and subtropical grasslands, savannas and shrublands","NULL","NULL","NULL","NULL","NULL",0,"Number of individuals","Count of resident females over 4 years old",1974,1990,17,TRUE,"Panthera leo",0.000215307084614074,0.00243616104770866,TRUE,TRUE,5219404
"8",130,5,0.274565573562563,0.263282309760916,FALSE,"Phacochoerus africanus","Phacochoerus_africanus",0,0," Stephens, P. A., C. A. d'Sa, et al. (2001). ""Impact of livestock and settlement on the large mammalian wildlife of Bale Mountains National Park, southern Ethiopia."" Biological Conservation 100: 307-322.","Mammalia","Artiodactyla","Suidae","Phacochoerus","africanus","NULL","Gmelin, 1788","Common warthog / Desert warthog","Gaysay, Bale Mountains National Park, Ethiopia","Ethiopia","Ethiopia","Africa","Africa","East Africa and adjacent islands",7.16667,39.71667,1,"Terrestrial","Afrotropical","Montane grasslands and shrublands","NULL","NULL","NULL","NULL","NULL",0,"Mean encounter rate /km-1","Road count",1983,1993,11,TRUE,"Phacochoerus africanus",0.184600341246185,0.241476919938532,FALSE,FALSE,2441212
"9",139,3,0.341989691043003,0.24437463066926,FALSE,"Sylvicapra grimmia","Sylvicapra_grimmia",0,0," Stephens, P. A., C. A. d'Sa, et al. (2001). ""Impact of livestock and settlement on the large mammalian wildlife of Bale Mountains National Park, southern Ethiopia."" Biological Conservation 100: 307-322.","Mammalia","Artiodactyla","Bovidae","Sylvicapra","grimmia","NULL","Linnaeus, 1758","Common duiker / Grey duiker","Gaysay, Bale Mountains National Park, Ethiopia","Ethiopia","Ethiopia","Africa","Africa","East Africa and adjacent islands",7.16667,39.71667,1,"Terrestrial","Afrotropical","Montane grasslands and shrublands","NULL","NULL","NULL","NULL","NULL",0,"Mean encounter rate /km-1","Road count",1983,1993,11,TRUE,"Sylvicapra grimmia",0.0156875099978436,0.00386205414075069,TRUE,TRUE,2441187
"10",163,6,0.171213080543148,0.167489284856008,FALSE,"Tragelaphus buxtoni","Tragelaphus_buxtoni",1,0," Stephens, P. A., C. A. d'Sa, et al. (2001). ""Impact of livestock and settlement on the large mammalian wildlife of Bale Mountains National Park, southern Ethiopia."" Biological Conservation 100: 307-322.","Mammalia","Artiodactyla","Bovidae","Tragelaphus","buxtoni","NULL","Lydekker, 1910","Mountain nayala","Gaysay, Bale Mountains National Park, Ethiopia","Ethiopia","Ethiopia","Africa","Africa","East Africa and adjacent islands",7.16667,39.71667,1,"Terrestrial","Afrotropical","Montane grasslands and shrublands","NULL","NULL","NULL","NULL","NULL",0,"Mean encounter rate /km-1","Road count",1983,1993,11,TRUE,"Tragelaphus buxtoni",0.0000495725773341442,0.00013010637040631,TRUE,TRUE,5220178
