"","Binomial","Class","Family","Genus","Order","Species","X","ID","cv_window","cv_value","Replicate","Excluded_LPR_2022","Citation","Subspecies","Authority","Common_name","Location","Country","All_countries","Region","IPBES_region","IPBES_subregion","Latitude","Longitude","Specific_location","System","T_realm","T_biome","FW_realm","FW_biome","M_realm","M_ocean","M_biome","Migratory_fw_fish","Units","Method","start_year","end_year","unique_years","is_continuous","new_species","PValue_lm","PValue_mk","DetrendNeeded_lm","DetrendNeeded_mk"
"1","Abrothrix_longipilis","Mammalia","Cricetidae","Abrothrix","Rodentia","Abrothrix longipilis",517,4887,3,0.368736725690374,0,0," Murúa, R., L. A. González, et al. (2003). ""Second-order feedback and climatic effects determine the dynamics of a small rodent population in a temperate forest of South America."" Population Ecology 45: 19-24.","","Waterhouse, 1837","Long-haired grass mouse","Experimental San Mart?ínWood Station, 72kmnorth of Valdivia City, Chile","Chile","Chile","Latin America and Caribbean","Americas","South America",-39.63333,-73.11667,1,"Terrestrial","Neotropical","Temperate broadleaf and mixed forests","NULL","NULL","NULL","NULL","NULL",0,"number of individuals","live-trapping",1980,1998,19,TRUE,"Abrothrix longipilis",1.40415421717632e-05,0.000135762639778246,TRUE,TRUE
"2","Abrothrix_longipilis","Mammalia","Cricetidae","Abrothrix","Rodentia","Abrothrix longipilis",519,4887,5,0.363695677523267,0,0," Murúa, R., L. A. González, et al. (2003). ""Second-order feedback and climatic effects determine the dynamics of a small rodent population in a temperate forest of South America."" Population Ecology 45: 19-24.","","Waterhouse, 1837","Long-haired grass mouse","Experimental San Mart?ínWood Station, 72kmnorth of Valdivia City, Chile","Chile","Chile","Latin America and Caribbean","Americas","South America",-39.63333,-73.11667,1,"Terrestrial","Neotropical","Temperate broadleaf and mixed forests","NULL","NULL","NULL","NULL","NULL",0,"number of individuals","live-trapping",1980,1998,19,TRUE,"Abrothrix longipilis",1.40415421717632e-05,0.000135762639778246,TRUE,TRUE
"3","Abrothrix_longipilis","Mammalia","Cricetidae","Abrothrix","Rodentia","Abrothrix longipilis",518,4887,4,0.351829314432226,0,0," Murúa, R., L. A. González, et al. (2003). ""Second-order feedback and climatic effects determine the dynamics of a small rodent population in a temperate forest of South America."" Population Ecology 45: 19-24.","","Waterhouse, 1837","Long-haired grass mouse","Experimental San Mart?ínWood Station, 72kmnorth of Valdivia City, Chile","Chile","Chile","Latin America and Caribbean","Americas","South America",-39.63333,-73.11667,1,"Terrestrial","Neotropical","Temperate broadleaf and mixed forests","NULL","NULL","NULL","NULL","NULL",0,"number of individuals","live-trapping",1980,1998,19,TRUE,"Abrothrix longipilis",1.40415421717632e-05,0.000135762639778246,TRUE,TRUE
"4","Abrothrix_olivaceus","Mammalia","Cricetidae","Abrothrix","Rodentia","Abrothrix olivaceus",447,4600,5,0.935048304866934,0,0," Lima, M., and Jaksic, F.M. (1998). ""Population dynamics of three Neotropical small mammals: Time series models and the role of delayed density-dependence in population irruptions."" Australian Journal of Ecology 24(1): 25-34.","NULL","Waterhouse, 1837","Olive grass mouse","Las Chinchillas National Reserve, Auco'","Chile","Chile","Latin America and Caribbean","Americas","South America",-31.5,-71.1,1,"Terrestrial","Neotropical","Temperate broadleaf and mixed forests","NULL","NULL","NULL","NULL","NULL",0,"Population abundance","Live-traps",1987,1997,11,TRUE,"Abrothrix olivaceus",0.0556436929406643,0.107418695781126,FALSE,FALSE
"5","Abrothrix_olivaceus","Mammalia","Cricetidae","Abrothrix","Rodentia","Abrothrix olivaceus",449,4601,4,0.738307524808648,0,0," Lima, M., and Jaksic, F.M. (1998). ""Population dynamics of three Neotropical small mammals: Time series models and the role of delayed density-dependence in population irruptions."" Australian Journal of Ecology 24(1): 25-34.","NULL","Waterhouse, 1837","Olive grass mouse","Las Chinchillas National Reserve, Auco'","Chile","Chile","Latin America and Caribbean","Americas","South America",-31.5,-71.1,1,"Terrestrial","Neotropical","Temperate broadleaf and mixed forests","NULL","NULL","NULL","NULL","NULL",0,"Population abundance","Live-traps",1987,1997,11,TRUE,"Abrothrix olivaceus",0.246608717571597,0.234702477955161,FALSE,FALSE
"6","Abrothrix_olivaceus","Mammalia","Cricetidae","Abrothrix","Rodentia","Abrothrix olivaceus",448,4601,3,0.663351121543913,0,0," Lima, M., and Jaksic, F.M. (1998). ""Population dynamics of three Neotropical small mammals: Time series models and the role of delayed density-dependence in population irruptions."" Australian Journal of Ecology 24(1): 25-34.","NULL","Waterhouse, 1837","Olive grass mouse","Las Chinchillas National Reserve, Auco'","Chile","Chile","Latin America and Caribbean","Americas","South America",-31.5,-71.1,1,"Terrestrial","Neotropical","Temperate broadleaf and mixed forests","NULL","NULL","NULL","NULL","NULL",0,"Population abundance","Live-traps",1987,1997,11,TRUE,"Abrothrix olivaceus",0.246608717571597,0.234702477955161,FALSE,FALSE
"7","Abrothrix_olivaceus","Mammalia","Cricetidae","Abrothrix","Rodentia","Abrothrix olivaceus",450,4601,5,0.747983100454117,0,0," Lima, M., and Jaksic, F.M. (1998). ""Population dynamics of three Neotropical small mammals: Time series models and the role of delayed density-dependence in population irruptions."" Australian Journal of Ecology 24(1): 25-34.","NULL","Waterhouse, 1837","Olive grass mouse","Las Chinchillas National Reserve, Auco'","Chile","Chile","Latin America and Caribbean","Americas","South America",-31.5,-71.1,1,"Terrestrial","Neotropical","Temperate broadleaf and mixed forests","NULL","NULL","NULL","NULL","NULL",0,"Population abundance","Live-traps",1987,1997,11,TRUE,"Abrothrix olivaceus",0.246608717571597,0.234702477955161,FALSE,FALSE
"8","Abrothrix_olivaceus","Mammalia","Cricetidae","Abrothrix","Rodentia","Abrothrix olivaceus",446,4600,4,0.922685339969636,0,0," Lima, M., and Jaksic, F.M. (1998). ""Population dynamics of three Neotropical small mammals: Time series models and the role of delayed density-dependence in population irruptions."" Australian Journal of Ecology 24(1): 25-34.","NULL","Waterhouse, 1837","Olive grass mouse","Las Chinchillas National Reserve, Auco'","Chile","Chile","Latin America and Caribbean","Americas","South America",-31.5,-71.1,1,"Terrestrial","Neotropical","Temperate broadleaf and mixed forests","NULL","NULL","NULL","NULL","NULL",0,"Population abundance","Live-traps",1987,1997,11,TRUE,"Abrothrix olivaceus",0.0556436929406643,0.107418695781126,FALSE,FALSE
"9","Abrothrix_olivaceus","Mammalia","Cricetidae","Abrothrix","Rodentia","Abrothrix olivaceus",445,4600,3,0.781903586461498,0,0," Lima, M., and Jaksic, F.M. (1998). ""Population dynamics of three Neotropical small mammals: Time series models and the role of delayed density-dependence in population irruptions."" Australian Journal of Ecology 24(1): 25-34.","NULL","Waterhouse, 1837","Olive grass mouse","Las Chinchillas National Reserve, Auco'","Chile","Chile","Latin America and Caribbean","Americas","South America",-31.5,-71.1,1,"Terrestrial","Neotropical","Temperate broadleaf and mixed forests","NULL","NULL","NULL","NULL","NULL",0,"Population abundance","Live-traps",1987,1997,11,TRUE,"Abrothrix olivaceus",0.0556436929406643,0.107418695781126,FALSE,FALSE
"10","Acinonyx_jubatus","Mammalia","Felidae","Acinonyx","Carnivora","Acinonyx jubatus",3,28,5,0.170131439726679,0,0,"Kelly, M. J., M. K. Laurenson, et al. (1998). ""Demography of the Serengeti cheetah (Acinonyx jubatus) population: the first 25 years."" Journal of Zoology 244: 473-488.","","Schreber, 1775","Cheetah","Serengeti National Park","Tanzania, United Republic Of","Tanzania, United Republic Of","Africa","Africa","East Africa and adjacent islands",-2.33333,34.58333,1,"Terrestrial","Afrotropical","Tropical and subtropical grasslands, savannas and shrublands","NULL","NULL","NULL","NULL","NULL",0,"Number of females","Observation",1969,1994,26,TRUE,"Acinonyx jubatus",2.09350884971559e-06,7.46852747120861e-06,TRUE,TRUE
