"","ID","cv_window","cv_value","Binomial","Replicate","Excluded_LPR_2022","Citation","Class","Order","Family","Genus","Species","Subspecies","Authority","Common_name","Location","Country","All_countries","Region","IPBES_region","IPBES_subregion","Latitude","Longitude","Specific_location","System","T_realm","T_biome","FW_realm","FW_biome","M_realm","M_ocean","M_biome","Migratory_fw_fish","Units","Method","start_year","end_year","unique_years","is_continuous","new_species","PValue_lm","PValue_mk","DetrendNeeded_lm","DetrendNeeded_mk"
"1",28,3,0.139014353290202,"Acinonyx_jubatus",0,0,"Kelly, M. J., M. K. Laurenson, et al. (1998). ""Demography of the Serengeti cheetah (Acinonyx jubatus) population: the first 25 years."" Journal of Zoology 244: 473-488.","Mammalia","Carnivora","Felidae","Acinonyx","jubatus","","Schreber, 1775","Cheetah","Serengeti National Park","Tanzania, United Republic Of","Tanzania, United Republic Of","Africa","Africa","East Africa and adjacent islands",-2.33333,34.58333,1,"Terrestrial","Afrotropical","Tropical and subtropical grasslands, savannas and shrublands","NULL","NULL","NULL","NULL","NULL",0,"Number of females","Observation",1969,1994,26,TRUE,"Acinonyx jubatus",2.09350884971559e-06,7.46852747120861e-06,TRUE,TRUE
"2",28,4,0.162781029890358,"Acinonyx_jubatus",0,0,"Kelly, M. J., M. K. Laurenson, et al. (1998). ""Demography of the Serengeti cheetah (Acinonyx jubatus) population: the first 25 years."" Journal of Zoology 244: 473-488.","Mammalia","Carnivora","Felidae","Acinonyx","jubatus","","Schreber, 1775","Cheetah","Serengeti National Park","Tanzania, United Republic Of","Tanzania, United Republic Of","Africa","Africa","East Africa and adjacent islands",-2.33333,34.58333,1,"Terrestrial","Afrotropical","Tropical and subtropical grasslands, savannas and shrublands","NULL","NULL","NULL","NULL","NULL",0,"Number of females","Observation",1969,1994,26,TRUE,"Acinonyx jubatus",2.09350884971559e-06,7.46852747120861e-06,TRUE,TRUE
"3",28,5,0.170131439726679,"Acinonyx_jubatus",0,0,"Kelly, M. J., M. K. Laurenson, et al. (1998). ""Demography of the Serengeti cheetah (Acinonyx jubatus) population: the first 25 years."" Journal of Zoology 244: 473-488.","Mammalia","Carnivora","Felidae","Acinonyx","jubatus","","Schreber, 1775","Cheetah","Serengeti National Park","Tanzania, United Republic Of","Tanzania, United Republic Of","Africa","Africa","East Africa and adjacent islands",-2.33333,34.58333,1,"Terrestrial","Afrotropical","Tropical and subtropical grasslands, savannas and shrublands","NULL","NULL","NULL","NULL","NULL",0,"Number of females","Observation",1969,1994,26,TRUE,"Acinonyx jubatus",2.09350884971559e-06,7.46852747120861e-06,TRUE,TRUE
"4",42,3,0.294680314337543,"Canis_simensis",0,0," Stephens, P. A., C. A. d'Sa, et al. (2001). ""Impact of livestock and settlement on the large mammalian wildlife of Bale Mountains National Park, southern Ethiopia."" Biological Conservation 100: 307-322.","Mammalia","Carnivora","Canidae","Canis","simensis","NULL","R??ppell, 1835","Ethiopian wolf","Sanetti Plateau, Bale Mountains National Park","Ethiopia","Ethiopia","Africa","Africa","East Africa and adjacent islands",7,39.75,1,"Terrestrial","Afrotropical","Montane grasslands and shrublands","NULL","NULL","NULL","NULL","NULL",0,"mean encounter rate/km","road counts",1986,1992,7,TRUE,"Canis simensis",0.5578138209453,0.879257207124831,FALSE,FALSE
"5",42,4,0.323005549304096,"Canis_simensis",0,0," Stephens, P. A., C. A. d'Sa, et al. (2001). ""Impact of livestock and settlement on the large mammalian wildlife of Bale Mountains National Park, southern Ethiopia."" Biological Conservation 100: 307-322.","Mammalia","Carnivora","Canidae","Canis","simensis","NULL","R??ppell, 1835","Ethiopian wolf","Sanetti Plateau, Bale Mountains National Park","Ethiopia","Ethiopia","Africa","Africa","East Africa and adjacent islands",7,39.75,1,"Terrestrial","Afrotropical","Montane grasslands and shrublands","NULL","NULL","NULL","NULL","NULL",0,"mean encounter rate/km","road counts",1986,1992,7,TRUE,"Canis simensis",0.5578138209453,0.879257207124831,FALSE,FALSE
"6",42,5,0.29842835336374,"Canis_simensis",0,0," Stephens, P. A., C. A. d'Sa, et al. (2001). ""Impact of livestock and settlement on the large mammalian wildlife of Bale Mountains National Park, southern Ethiopia."" Biological Conservation 100: 307-322.","Mammalia","Carnivora","Canidae","Canis","simensis","NULL","R??ppell, 1835","Ethiopian wolf","Sanetti Plateau, Bale Mountains National Park","Ethiopia","Ethiopia","Africa","Africa","East Africa and adjacent islands",7,39.75,1,"Terrestrial","Afrotropical","Montane grasslands and shrublands","NULL","NULL","NULL","NULL","NULL",0,"mean encounter rate/km","road counts",1986,1992,7,TRUE,"Canis simensis",0.5578138209453,0.879257207124831,FALSE,FALSE
"7",57,3,0.165199309033013,"Connochaetes_taurinus",1,0," Runyoro, V. R., H. Hofer, et al. (1995). Long term trends in the herbivore populations of the Ngorongoro Crater, Tanzania. Serengeti II: Dynamics, Management and Conservation of an Ecosystem. A. R. E. Sinclair and P. Arcese, University of Chicago Press pp 146 - 168.| NERC Centre for Population Biology (1999). The Global Populations Dynamics Database. http://cpbnts1.bio.ic.ac.uk/gpdd/, Imperial College,.","Mammalia","Artiodactyla","Bovidae","Connochaetes","taurinus","NULL","(Burchell, 1824)","White-bearded wildebeest / Blue wildebeest","Ngorongoro Crater","Tanzania, United Republic Of","Tanzania, United Republic Of","Africa","Africa","East Africa and adjacent islands",-3.18333,35.53333,1,"Terrestrial","Afrotropical","Tropical and subtropical grasslands, savannas and shrublands","NULL","NULL","NULL","NULL","NULL",0,"Number of individuals - Wet season","Estimate of entire population",1963,1978,16,TRUE,"Connochaetes taurinus",0.571275158110181,0.786421625447655,FALSE,FALSE
"8",57,4,0.161228394559604,"Connochaetes_taurinus",1,0," Runyoro, V. R., H. Hofer, et al. (1995). Long term trends in the herbivore populations of the Ngorongoro Crater, Tanzania. Serengeti II: Dynamics, Management and Conservation of an Ecosystem. A. R. E. Sinclair and P. Arcese, University of Chicago Press pp 146 - 168.| NERC Centre for Population Biology (1999). The Global Populations Dynamics Database. http://cpbnts1.bio.ic.ac.uk/gpdd/, Imperial College,.","Mammalia","Artiodactyla","Bovidae","Connochaetes","taurinus","NULL","(Burchell, 1824)","White-bearded wildebeest / Blue wildebeest","Ngorongoro Crater","Tanzania, United Republic Of","Tanzania, United Republic Of","Africa","Africa","East Africa and adjacent islands",-3.18333,35.53333,1,"Terrestrial","Afrotropical","Tropical and subtropical grasslands, savannas and shrublands","NULL","NULL","NULL","NULL","NULL",0,"Number of individuals - Wet season","Estimate of entire population",1963,1978,16,TRUE,"Connochaetes taurinus",0.571275158110181,0.786421625447655,FALSE,FALSE
"9",57,5,0.175891895951354,"Connochaetes_taurinus",1,0," Runyoro, V. R., H. Hofer, et al. (1995). Long term trends in the herbivore populations of the Ngorongoro Crater, Tanzania. Serengeti II: Dynamics, Management and Conservation of an Ecosystem. A. R. E. Sinclair and P. Arcese, University of Chicago Press pp 146 - 168.| NERC Centre for Population Biology (1999). The Global Populations Dynamics Database. http://cpbnts1.bio.ic.ac.uk/gpdd/, Imperial College,.","Mammalia","Artiodactyla","Bovidae","Connochaetes","taurinus","NULL","(Burchell, 1824)","White-bearded wildebeest / Blue wildebeest","Ngorongoro Crater","Tanzania, United Republic Of","Tanzania, United Republic Of","Africa","Africa","East Africa and adjacent islands",-3.18333,35.53333,1,"Terrestrial","Afrotropical","Tropical and subtropical grasslands, savannas and shrublands","NULL","NULL","NULL","NULL","NULL",0,"Number of individuals - Wet season","Estimate of entire population",1963,1978,16,TRUE,"Connochaetes taurinus",0.571275158110181,0.786421625447655,FALSE,FALSE
"10",58,3,0.0844796772647058,"Connochaetes_taurinus",1,0," Runyoro, V. R., H. Hofer, et al. (1995). Long term trends in the herbivore populations of the Ngorongoro Crater, Tanzania. Serengeti II: Dynamics, Management and Conservation of an Ecosystem. A. R. E. Sinclair and P. Arcese, University of Chicago Press pp 146 - 168.| NERC Centre for Population Biology (1999). The Global Populations Dynamics Database. http://cpbnts1.bio.ic.ac.uk/gpdd/, Imperial College,.","Mammalia","Artiodactyla","Bovidae","Connochaetes","taurinus","NULL","(Burchell, 1824)","White-bearded wildebeest / Blue wildebeest","Ngorongoro Crater","Tanzania, United Republic Of","Tanzania, United Republic Of","Africa","Africa","East Africa and adjacent islands",-3.18333,35.53333,1,"Terrestrial","Afrotropical","Tropical and subtropical grasslands, savannas and shrublands","NULL","NULL","NULL","NULL","NULL",0,"Number of individuals - Dry season","Estimate of entire population",1971,1977,7,TRUE,"Connochaetes taurinus",0.942869459075021,0.772,FALSE,FALSE
