"","Species","UniqueID","Plot","Plot2","Major_taxa","Order","Mass_g","Productivity_g_yr","Growth_rate_per_yr","Trophic","Group","Family","Genus","Reference","Notes","Notes_measure","X","X.1","GBIF_ID"
"1","Antilocapra americana",20,1,1,"Mammal","Artiodactyla",42599.05843,19169.57629,0.45,"Herbivore","Eutherian","Antilocapridae","Antilocapra","Singer and Norland 1994; after Duncan et al. 2007, method: count","","",NA,NA,"2440902"
"2","Apodemus flavicollis",1274,1,9,"Mammal","Rodentia",27,9.45,0.35,"Omnivore","Eutherian","Muridae","Apodemus","From Global Population Dynamics Database (From Fagan et. al. 2001; reporting rmax)","","",NA,NA,"2437756"
"3","Apodemus sylvaticus",1276,1,9,"Mammal","Rodentia",23,31.97,1.39,"Omnivore","Eutherian","Muridae","Apodemus","From Global Population Dynamics Database (From Fagan et. al. 2001; reporting rmax)","","",NA,NA,"2437760"
"4","Arctocephalus gazella",261,1,2,"Mammal","Carnivora",49385.56196,7654.762104,0.155,"Carnivore","Eutherian","Otariidae","Arctocephalus","Skinner and van Aarde 1983; after Duncan et al. 2007, method: count","","",NA,NA,"2433472"
"5","Arctocephalus pusillus",264,1,2,"Mammal","Carnivora",76667,6900.03,0.09,"Carnivore","Eutherian","Otariidae","Arctocephalus","From Global Population Dynamics Database (From Fagan et. al. 2001; reporting rmax)","","",NA,NA,"2433475"
"6","Arctocephalus tropicalis",266,1,2,"Mammal","Carnivora",55004.72529,4125.354397,0.075,"Carnivore","Eutherian","Otariidae","Arctocephalus","Skinner and van Aarde 1983; after Duncan et al. 2007, method: count","","",NA,NA,"2433471"
"7","Balaena mysticetus",540,1,2,"Mammal","Cetacea",69278743.13,2355477.266,0.034,"Carnivore","Eutherian","Balaenidae","Balaena","Best 1993; after Duncan et al. 2007, method: count","Body mass: 10^x, mass in g, then log10(x/1000) --> log10 in kg; 10^x for rmax; *mass for production","",NA,NA,"2440330"
"8","Balaenoptera musculus",547,1,2,"Mammal","Cetacea",149485820.7,9417606.704,0.063,"Carnivore","Eutherian","Balaenopteridae","Balaenoptera","Baskin 1993; after Duncan et al. 2007, method: count","","",NA,NA,"2440735"
"9","Balaenoptera musculus",548,1,2,"Mammal","Cetacea",149485820.7,7623776.856,0.051,"Carnivore","Eutherian","Balaenopteridae","Balaenoptera","Best 1993; after Duncan et al. 2007, method: count","","",NA,NA,"2440735"
"10","Bison bison",31,1,1,"Mammal","Artiodactyla",590201.0802,188864.3457,0.32,"Herbivore","Eutherian","Bovidae","Bison","Larter 1994; after Duncan et al. 2007, method: count","","",NA,NA,"2441176"
"11","Bison bison",32,1,1,"Mammal","Artiodactyla",590201.0802,174109.3187,0.295,"Herbivore","Eutherian","Bovidae","Bison","Singer and Norland 1994; after Duncan et al. 2007, method: count","","",NA,NA,"2441176"
"12","Bison bison",33,1,1,"Mammal","Artiodactyla",590201.0802,137516.8517,0.233,"Herbivore","Eutherian","Bovidae","Bison","Calef 1984; after Duncan et al. 2007, method: count","","",NA,NA,"2441176"
"13","Blarina brevicauda",931,1,2,"Mammal","Eulipotyphla",17,18.7,1.1,"Carnivore","Eutherian","Soricidae","Blarina","From Global Population Dynamics Database (From Fagan et. al. 2001; reporting rmax)","","",NA,NA,"2435862"
"14","Bos taurus",42,1,1,"Mammal","Artiodactyla",526865.7897,284507.5264,0.54,"Herbivore","Eutherian","Bovidae","Bos","Skeat 1990; after Duncan et al. 2007, method: count","","",NA,NA,"2441022"
"15","Bos taurus",43,1,1,"Mammal","Artiodactyla",526865.7897,284507.5264,0.54,"Herbivore","Eutherian","Bovidae","Bos","Skeat 1990; after Duncan et al. 2007, method: count","","",NA,NA,"2441022"
