"","Species","X","Plot","Plot2","Major_taxa","Order","Mass_g","Productivity_g_yr","Trophic","Group","rmax","GBIF_ID"
"1","Acinonyx jubatus",5,1,2,"Mammal","Carnivora",53500,23700,"Carnivore","Eutherian",0.442990654,"2435270"
"2","Acomys cahirinus",6,1,9,"Mammal","Rodentia",40.5,111.3959,"Omnivore","Eutherian",2.750516049,"9800308"
"3","Acrobates pygmaeus",733,1,1,"Mammal","Diprotodontia",12.96283521,23.59236008,"Herbivore","Marsupial",1.82,"5219960"
"4","Acrocodia indica",1025,1,1,"Mammal","Perissodactyla",250000,33500,"Herbivore","Eutherian",0.134,"7818962"
"5","Addax nasomaculatus",7,1,1,"Mammal","Artiodactyla",92500,19300,"Herbivore","Eutherian",0.208648649,"2441101"
"6","Aeorestes cinereus",626,1,2,"Mammal","Chiroptera",25,47.5,"Carnivore","Eutherian",1.9,"11138256"
"7","Aepyceros melampus",10,1,1,"Mammal","Artiodactyla",45150,15802.5,"Herbivore","Eutherian",0.35,"2441144"
"8","Aepyprymnus rufescens",11,1,1,"Mammal","Diprotodontia",2655.216878,3133.155916,"Herbivore","Marsupial",1.18,"2440030"
"9","Agouti paca",13,1,1,"Mammal","Rodentia",8500,6205,"Herbivore","Eutherian",0.73,"2437587"
"10","Ailuropoda melanoleuca",14,1,1,"Mammal","Carnivora",117500,19900,"Herbivore","Eutherian",0.169361702,"2433399"
"11","Ailurus fulgens",15,1,2,"Mammal","Carnivora",4900,2303.676923,"Carnivore","Eutherian",0.470138148,"5219446"
"12","Alcelaphus buselaphus",20,1,1,"Mammal","Artiodactyla",159000,37500,"Herbivore","Eutherian",0.235849057,"5220185"
"13","Alces alces",21,1,1,"Mammal","Artiodactyla",369000,109772.7076,"Herbivore","Eutherian",0.297487012,"2440940"
"14","Allactaga elater",1265,1,1,"Mammal","Rodentia",58.7,83.8,"Herbivore","Eutherian",1.427597956,"2439489"
"15","Alopex lagopus",256,1,2,"Mammal","Carnivora",4238.381058,6060.884913,"Carnivore","Eutherian",1.43,"2434532"
"16","Alouatta caraya",1045,1,1,"Mammal","Primate",5462.5,1140,"Herbivore","Eutherian",0.208695652,"2436652"
"17","Alouatta palliata",22,1,1,"Mammal","Primate",7000,1090,"Herbivore","Eutherian",0.155714286,"2436649"
"18","Alouatta pigra",1050,1,1,"Mammal","Primate",6850,959,"Herbivore","Eutherian",0.14,"2436653"
"19","Alouatta seniculus",23,1,1,"Mammal","Primate",5951.13771,1071.204788,"Herbivore","Eutherian",0.18,"2436648"
"20","Alticola strelzowi",1266,1,9,"Mammal","Rodentia",50,254.1,"Omnivore","Eutherian",5.082,"2438719"
"21","Ammospermophilus harrisii",26,1,9,"Mammal","Rodentia",130,292.5,"Omnivore","Eutherian",2.25,"2437568"
"22","Ammospermophilus leucurus",27,1,9,"Mammal","Rodentia",97.5,689.1428571,"Omnivore","Eutherian",7.068131868,"2437570"
"23","Ammotragus lervia",16,1,1,"Mammal","Artiodactyla",92500,45700,"Herbivore","Eutherian",0.494054054,"2441005"
"24","Anoura geoffroyi",597,1,2,"Mammal","Chiroptera",15,15,"Carnivore","Eutherian",1,"5963041"
"25","Antechinomys laniger",714,1,2,"Mammal","Dasyuromorphia",24,23.3,"Carnivore","Marsupial",0.970833333,"2435419"
"26","Antechinus agilis",715,1,2,"Mammal","Dasyuromorphia",18,18.6,"Carnivore","Marsupial",1.033333333,"2435369"
"27","Antechinus bellus",4010,1,2,"Mammal","Dasyuromorphia",34.00165058,62.56303707,"Carnivore","Marsupial",1.84,"2435372"
"28","Antechinus flavipes",718,1,2,"Mammal","Dasyuromorphia",45,38.6,"Carnivore","Marsupial",0.857777778,"2435366"
"29","Antechinus leo",719,1,2,"Mammal","Dasyuromorphia",54.00077591,96.66138888,"Carnivore","Marsupial",1.79,"2435371"
"30","Antechinus minimus",720,1,2,"Mammal","Dasyuromorphia",41.99523347,66.35246888,"Carnivore","Marsupial",1.58,"2435375"
"31","Antechinus stuartii",4110,1,2,"Mammal","Dasyuromorphia",22.34601058,37.98821799,"Carnivore","Marsupial",1.7,"2435370"
"32","Antechinus swainsonii",42,1,2,"Mammal","Dasyuromorphia",52.37210139,90.08001439,"Carnivore","Marsupial",1.72,"2435377"
"33","Antidorcas marsupialis",44,1,1,"Mammal","Artiodactyla",27900,15624,"Herbivore","Eutherian",0.56,"2441064"
"34","Antilocapra americana",45,1,1,"Mammal","Artiodactyla",42599.05843,20447.54805,"Herbivore","Eutherian",0.48,"2440902"
"35","Antilope cervicapra",46,1,1,"Mammal","Artiodactyla",37500,14800,"Herbivore","Eutherian",0.394666667,"2441065"
"36","Aotus lemurinus",1054,1,9,"Mammal","Primate",900,342,"Omnivore","Eutherian",0.38,"5219591"
"37","Aotus trivirgatus",47,1,9,"Mammal","Primate",847.6176666,296.6661833,"Omnivore","Eutherian",0.35,"5219590"
"38","Aplodontia rufa",49,1,1,"Mammal","Rodentia",774,1233.644762,"Herbivore","Eutherian",1.593856282,"2439690"
"39","Apodemus flavicollis",50,1,9,"Mammal","Rodentia",26.7,136.88232,"Omnivore","Eutherian",5.126678652,"2437756"
"40","Apodemus sylvaticus",5110,1,9,"Mammal","Rodentia",23.4,50.4,"Omnivore","Eutherian",2.153846154,"2437760"
"41","Arctictis binturong",54,1,2,"Mammal","Carnivora",13000,11097.33333,"Carnivore","Eutherian",0.853641025,"2434615"
"42","Arctocebus calabarensis",55,1,9,"Mammal","Primate",255.7996819,166.2697932,"Omnivore","Eutherian",0.65,"2436632"
"43","Arctocephalus australis",259,1,2,"Mammal","Carnivora",110000,23100,"Carnivore","Eutherian",0.21,"2433480"
"44","Arctocephalus gazella",56,1,2,"Mammal","Carnivora",40500,14703.1907,"Carnivore","Eutherian",0.363041746,"2433472"
"45","Arctocephalus pusillus",5710,1,2,"Mammal","Carnivora",127551,24400,"Carnivore","Eutherian",0.191296031,"2433475"
"46","Arctocephalus tropicalis",266,1,2,"Mammal","Carnivora",55004.72529,4125.354397,"Carnivore","Eutherian",0.075,"2433471"
"47","Arctogalidia trivirgata",267,1,2,"Mammal","Carnivora",2250,1050,"Carnivore","Eutherian",0.466666667,"2434742"
"48","Artibeus jamaicensis",598,1,2,"Mammal","Chiroptera",42.2,20.3,"Carnivore","Eutherian",0.481042654,"2433272"
"49","Arvicanthis niloticus",62,1,1,"Mammal","Rodentia",64.5,386.9666667,"Herbivore","Eutherian",5.999483205,"9733997"
"50","Arvicola amphibius",1280,1,9,"Mammal","Rodentia",120,246,"Omnivore","Eutherian",2.05,"4265185"
"51","Arvicola terrestris",1281,1,9,"Mammal","Rodentia",120,686.4316561,"Omnivore","Eutherian",5.720263801,"2438491"
"52","Atelerix albiventris",929,1,9,"Mammal","Eulipotyphla",500,600,"Omnivore","Eutherian",1.2,"2437140"
"53","Ateles belzebuth",6710,1,1,"Mammal","Primate",7535,684,"Herbivore","Eutherian",0.090776377,"2436642"
"54","Ateles fusciceps",6810,1,1,"Mammal","Primate",8369.509372,1088.036218,"Herbivore","Eutherian",0.13,"2436641"
"55","Ateles geoffroyi",6910,1,1,"Mammal","Primate",7179.595885,789.7555474,"Herbivore","Eutherian",0.11,"2436643"
"56","Ateles paniscus",7010,1,1,"Mammal","Primate",7887.5,1000,"Herbivore","Eutherian",0.126782884,"2436645"
"57","Axis axis",7210,1,1,"Mammal","Artiodactyla",53000,12354.73195,"Herbivore","Eutherian",0.23310815,"2440934"
"58","Axis porcinus",29,1,1,"Mammal","Artiodactyla",27000,9157.90806,"Herbivore","Eutherian",0.33918178,"5220128"
"59","Babyrousa babyrussa",30,1,1,"Mammal","Artiodactyla",71500,31700,"Herbivore","Eutherian",0.443356643,"2441209"
"60","Baiomys musculus",1282,1,1,"Mammal","Rodentia",8,23.76,"Herbivore","Eutherian",2.97,"2438865"
"61","Baiomys taylori",1283,1,1,"Mammal","Rodentia",8,20.9,"Herbivore","Eutherian",2.6125,"2438866"
"62","Balaena mysticetus",80,1,2,"Mammal","Cetacea",1e+08,4820000,"Carnivore","Eutherian",0.0482,"2440330"
"63","Balaenoptera acutorostrata",81,1,2,"Mammal","Cetacea",9896918.639,1286599.423,"Carnivore","Eutherian",0.13,"2440728"
"64","Balaenoptera borealis",82,1,2,"Mammal","Cetacea",2e+07,1790000,"Carnivore","Eutherian",0.0895,"2440709"
"65","Balaenoptera edeni",546,1,2,"Mammal","Cetacea",1.6e+07,1530000,"Carnivore","Eutherian",0.095625,"2440714"
"66","Balaenoptera musculus",831,1,2,"Mammal","Cetacea",1.36e+08,1.4e+07,"Carnivore","Eutherian",0.102941176,"2440735"
"67","Balaenoptera physalus",841,1,2,"Mammal","Cetacea",7e+07,6310000,"Carnivore","Eutherian",0.090142857,"2440718"
