"","Species","X","Plot","Plot2","Major_taxa","Order","Mass_g","Mortality_per_yr","Trophic","Group","Lifespan_yr","GBIF_ID"
"1","Abrocoma bennettii",1221,1,1,"Mammal","Rodentia",265.5,1.086956522,"Herbivore","Eutherian",0.9199999997792,"2439416"
"2","Acinonyx jubatus",1,1,2,"Mammal","Carnivora",51166.6666666667,0.16798374,"Carnivore","Eutherian",5.9529571135873,"2435270"
"3","Acomys cahirinus",1222,1,9,"Mammal","Rodentia",45.2,0.423728814,"Omnivore","Eutherian",2.3599999975456,"9800308"
"4","Acomys wilsoni",1223,1,9,"Mammal","Rodentia",20,0.446428571,"Omnivore","Eutherian",2.2400000021504,"2438262"
"5","Acrobates pygmaeus",245,1,1,"Mammal","Diprotodontia",12.5,0.4755454545,"Herbivore","Marsupial",2.10284840394789,"5219960"
"6","Acrocodia indica",965,1,1,"Mammal","Perissodactyla",250000,0.068493151,"Herbivore","Eutherian",14.59999993284,"7818962"
"7","Addax nasomaculatus",11,1,1,"Mammal","Artiodactyla",92500,0.089285714,"Herbivore","Eutherian",11.20000003584,"2441101"
"8","Aeorestes cinereus",649,1,2,"Mammal","Chiroptera",24,0.071428571,"Carnivore","Eutherian",14.000000084,"11138256"
"9","Aepyceros melampus",991,1,1,"Mammal","Artiodactyla",52500,0.15421875,"Herbivore","Eutherian",6.48429584599797,"2441144"
"10","Aepyprymnus rufescens",246,1,1,"Mammal","Diprotodontia",3250,0.31515625,"Herbivore","Marsupial",3.17302925136341,"2440030"
"11","Ailuropoda melanoleuca",100,1,1,"Mammal","Carnivora",118750,0.0824673915,"Herbivore","Eutherian",12.1260049797986,"2433399"
"12","Ailurus fulgens",2,1,2,"Mammal","Carnivora",3912.5,0.1567894735,"Carnivore","Eutherian",6.37797919514029,"5219446"
"13","Alcelaphus buselaphus",101,1,1,"Mammal","Artiodactyla",165000,0.1190555555,"Herbivore","Eutherian",8.39944004125032,"5220185"
"14","Alces alces",102,1,1,"Mammal","Artiodactyla",359000,0.126,"Herbivore","Eutherian",7.93650793650794,"2440940"
"15","Allactaga elater",1224,1,1,"Mammal","Rodentia",58.7,0.480769231,"Herbivore","Eutherian",2.0799999990016,"2439489"
"16","Allactaga euphratica",1225,1,1,"Mammal","Rodentia",232,0.595238095,"Herbivore","Eutherian",1.680000000672,"2439484"
"17","Allactaga major",1226,1,1,"Mammal","Rodentia",350,0.357142857,"Herbivore","Eutherian",2.80000000112,"2439483"
"18","Allactaga sibirica",1227,1,1,"Mammal","Rodentia",117.5,0.555555556,"Herbivore","Eutherian",1.79999999856,"2439490"
"19","Allenopithecus nigroviridis",204,1,9,"Mammal","Primate",4726.25,0.1012962965,"Omnivore","Eutherian",9.8720292306047,"2436620"
"20","Allochrocebus lhoesti",1002,1,9,"Mammal","Primate",4700,0.10373444,"Omnivore","Eutherian",9.639999984576,"7416027"
"21","Allochrocebus preussi",1003,1,9,"Mammal","Primate",5250,0.096153846,"Omnivore","Eutherian",10.40000001664,"8238140"
"22","Alopex lagopus",254,1,2,"Mammal","Carnivora",3450,0.256,"Carnivore","Eutherian",3.90625,"2434532"
"23","Alouatta caraya",1004,1,1,"Mammal","Primate",5462.5,0.077160494,"Herbivore","Eutherian",12.9599999709696,"2436652"
"24","Alouatta palliata",103,1,1,"Mammal","Primate",7224,0.1120333334,"Herbivore","Eutherian",8.92591490096643,"2436649"
"25","Alouatta seniculus",1041,1,1,"Mammal","Primate",6341.6,0.1005,"Herbivore","Eutherian",9.9502487562189,"2436648"
"26","Ammospermophilus harrisii",1228,1,9,"Mammal","Rodentia",126,0.235849057,"Omnivore","Eutherian",4.2399999928768,"2437568"
"27","Ammospermophilus leucurus",1229,1,9,"Mammal","Rodentia",105,0.223214286,"Omnivore","Eutherian",4.4799999942656,"2437570"
"28","Ammotragus lervia",1053,1,1,"Mammal","Artiodactyla",88150,0.1856036865,"Herbivore","Eutherian",5.38782401824761,"2441005"
"29","Anoura geoffroyi",628,1,2,"Mammal","Chiroptera",15.2,0.25,"Carnivore","Eutherian",4,"5963041"
"30","Antechinomys laniger",716,1,2,"Mammal","Dasyuromorphia",24,0.714285714,"Carnivore","Marsupial",1.40000000056,"2435419"
"31","Antechinus agilis",717,1,2,"Mammal","Dasyuromorphia",18,0.531914894,"Carnivore","Marsupial",1.8799999986464,"2435369"
"32","Antechinus bellus",718,1,2,"Mammal","Dasyuromorphia",34,0.735294118,"Carnivore","Marsupial",1.3599999993472,"2435372"
"33","Antechinus flavipes",23910,1,2,"Mammal","Dasyuromorphia",45,1.801008547,"Carnivore","Marsupial",0.555244449930975,"2435366"
"34","Antechinus stuartii",24010,1,2,"Mammal","Dasyuromorphia",27.5,1.73932098766667,"Carnivore","Marsupial",0.5749370053549,"2435370"
"35","Antechinus swainsonii",725,1,2,"Mammal","Dasyuromorphia",41,0.757575758,"Carnivore","Marsupial",1.3199999992608,"2435377"
"36","Antidorcas marsupialis",106,1,1,"Mammal","Artiodactyla",39000,0.126631313,"Herbivore","Eutherian",7.89694094066607,"2441064"
