"","Species","X","Plot","Plot2","Major_taxa","Order","Mass_g","CombAll","CombPlot2","CombOrder","CombSpecies","Density_Nm2","Trophic","Group","GBIF_ID"
"1","Acinonyx jubatus",54,1,2,"Mammal","Carnivora",43200,1.09341439211199e-06,1.01761504465906e-06,1.14960254352359e-06,1.09341439211199e-06,2.18234285714286e-08,"Carnivore","Eutherian","2435270"
"2","Acomys subspinosus",2391,1,9,"Mammal","Rodentia",22,0.00161000000115,0.000680179826527512,0.000702210496655412,0.00161000000115,0.00345,"Omnivore","Eutherian","2438258"
"3","Adenota kob",1,1,1,"Mammal","Artiodactyla",83400,0.000786975802827803,0.000574504539007121,0.000786975802827803,NA,7.76e-06,"Herbivore","Eutherian","9541601"
"4","Aepyceros melampus",73,1,1,"Mammal","Artiodactyla",44200,0.000561832466894918,0.000416179826045821,0.000561832466894918,NA,8.91331523809524e-06,"Herbivore","Eutherian","2441144"
"5","Aethomys hindei",2392,1,1,"Mammal","Rodentia",146,0.00115446939390642,0.00117322818551779,0.00115446939390642,NA,0.00159,"Herbivore","Eutherian","2438169"
"6","Aethomys namaquensis",74,1,1,"Mammal","Rodentia",44.5,0.000583720118721963,0.000556341058601458,0.000583720118721963,NA,0.00178635,"Herbivore","Eutherian","2438172"
"7","Agouti paca",75,1,1,"Mammal","Rodentia",8213.5,0.00028591206345935,0.000361195237914803,0.00028591206345935,NA,2.625e-05,"Herbivore","Eutherian","2437587"
"8","Ailuropoda melanoleuca",1368,1,1,"Mammal","Carnivora",118000,1.36795806062381e-05,1.15248928912201e-05,1.36795806062381e-05,NA,1.21e-07,"Herbivore","Eutherian","2433399"
"9","Akodon azarae",2397,1,9,"Mammal","Rodentia",25,0.00192666666474,0.00185552100019067,0.0019229808694748,0.00192666666474,0.00867,"Omnivore","Eutherian","2437878"
"10","Akodon longipilis",2398,1,9,"Mammal","Rodentia",51.4,0.00137341548188722,0.00129688705570624,0.00137341548188722,NA,0.003815,"Omnivore","Eutherian","2437907"
"11","Akodon olivaceus",2399,1,9,"Mammal","Rodentia",29.1,0.00089064384055825,0.000855492860632473,0.00089064384055825,NA,0.003626,"Omnivore","Eutherian","2437914"
"12","Akodon spp.",2400,1,9,"Mammal","Rodentia",40,6.08351369796125e-05,5.78791042114507e-05,6.08351369796125e-05,NA,2e-04,"Omnivore","Eutherian","7791043"
"13","Akodon urichi",2401,1,9,"Mammal","Rodentia",45,6.58459374876189e-05,6.24254555617249e-05,6.58459374876189e-05,NA,2e-04,"Omnivore","Eutherian","2437894"
"14","Alcelaphus buselaphus",76,1,1,"Mammal","Artiodactyla",126178.571428571,0.000119579908067584,8.64678081727112e-05,0.000119579908067584,NA,8.64716428571429e-07,"Herbivore","Eutherian","5220185"
"15","Alces alces",77,1,1,"Mammal","Artiodactyla",324673.076923077,0.000139104246134615,9.63086426465752e-05,0.000136116139200785,0.000139104246134615,4.84942307692308e-07,"Herbivore","Eutherian","2440940"
