"","Species","Mass_g","litter_or_clutch_size_n","litters_or_clutches_per_y","longevity_y","female_maturity_d","gestation_d","weaning_d","Binomial","GBIF_ID"
"1","Abditomys latidens",268.09,-999,-999,-999,-999,-999,-999,"Abditomys_latidens","2438327"
"2","Abeomelomys sevia",57.89,1,-999,-999,-999,-999,-999,"Abeomelomys_sevia","4264979"
"3","Abrawayaomys ruschii",62.99,-999,-999,-999,-999,-999,-999,"Abrawayaomys_ruschii","2438820"
"4","Abrocoma bennettii",265.5,3,2,2.3,-999,-999,-999,"Abrocoma_bennettii","2439416"
"5","Abrocoma boliviensis",158,-999,-999,-999,-999,-999,-999,"Abrocoma_boliviensis","2439414"
"6","Abrocoma budini",221.82,1.995,-999,1.083333333,-999,112.26904,-999,"Abrocoma_budini","4264779"
"7","Abrocoma cinerea",221.82,1.995,-999,1.083333333,-999,112.26904,-999,"Abrocoma_cinerea","2439415"
"8","Abrocoma famatina",221.82,1.995,-999,1.083333333,-999,112.26904,-999,"Abrocoma_famatina","4264782"
"9","Abrocoma shistacea",221.82,1.995,-999,1.083333333,-999,112.26904,-999,"Abrocoma_shistacea","4264778"
"10","Abrocoma vaccarum",221.82,1.995,-999,1.083333333,-999,112.26904,-999,"Abrocoma_vaccarum","4264781"
"11","Abrothrix andinus",34.65,-999,-999,-999,-999,-999,-999,"Abrothrix_andinus","4265099"
"12","Abrothrix illuteus",47.79,-999,-999,-999,-999,-999,-999,"Abrothrix_illuteus","4265093"
"13","Abrothrix jelskii",34.5,-999,-999,-999,-999,-999,-999,"Abrothrix_jelskii","4265098"
"14","Abrothrix lanosus",25.915,-999,-999,-999,-999,-999,-999,"Abrothrix_lanosus","4265095"
"15","Abrothrix longipilis",185,4.845,4,-999,63.00252,21.90196,-999,"Abrothrix_longipilis","4265092"
"16","Abrothrix markhami",27,5.42,2.25,1,191.716,-999,-999,"Abrothrix_markhami","4265097"
"17","Abrothrix olivaceus",27,5.42,2.25,1,191.716,-999,-999,"Abrothrix_olivaceus","4265094"
"18","Abrothrix sanborni",24.7,-999,-999,-999,-999,-999,-999,"Abrothrix_sanborni","4265091"
"19","Acerodon celebensis",384.84,0.98,-999,-999,-999,-999,-999,"Acerodon_celebensis","5218704"
"20","Acerodon humilis",352.43,-999,-999,-999,-999,-999,-999,"Acerodon_humilis","5218706"
"21","Acerodon jubatus",1087.04,1,1,-999,-999,-999,-999,"Acerodon_jubatus","5218703"
"22","Acerodon leucotis",352.07,-999,-999,-999,-999,-999,-999,"Acerodon_leucotis","5218707"
"23","Acerodon mackloti",467.93,0.98,-999,-999,-999,-999,-999,"Acerodon_mackloti","5218702"
"24","Acinonyx jubatus",50577.92,3.04,0.7,19,598.985,90.12,107,"Acinonyx_jubatus","2435270"
"25","Acomys airensis",45.2,2.47,3.5,5.45,58,38,14,"Acomys_airensis","4264831"
"26","Acomys cahirinus",45.2,2.47,3.5,5.45,58,38,14,"Acomys_cahirinus","9800308"
"27","Acomys chudeaui",45.2,2.47,3.5,5.45,58,38,14,"Acomys_chudeaui","4264829"
"28","Acomys cineraceus",43.6,2.47,3.5,5,58,38,14,"Acomys_cineraceus","4264827"
"29","Acomys dimidiatus",45.2,2.47,3.5,5.45,58,38,14,"Acomys_dimidiatus","4264830"
"30","Acomys ignitus",45.2,2.47,3.5,5.45,58,38,14,"Acomys_ignitus","2438263"
"31","Acomys johannis",43.6,2.47,3.5,5,58,38,14,"Acomys_johannis","4264828"
"32","Acomys kempi",43.6,2.47,3.5,5.45,58,38,14,"Acomys_kempi","2438255"
"33","Acomys louisae",27.085,-999,-999,-999,-999,-999,-999,"Acomys_louisae","2438260"
"34","Acomys minous",45.2,2.47,3.5,5,58,38,14,"Acomys_minous","2438264"
"35","Acomys mullah",45.2,2.47,3.5,5.45,58,38,14,"Acomys_mullah","2438256"
"36","Acomys nesiotes",45.2,2.47,3.5,5.45,58,38,14,"Acomys_nesiotes","2438261"
"37","Acomys percivali",21.99,-999,-999,-999,-999,38.65372,-999,"Acomys_percivali","2438265"
"38","Acomys russatus",54.915,2.5,-999,4.4125,91.308,34.39268,-999,"Acomys_russatus","2438257"
"39","Acomys seurati",45.2,2.47,3.5,5.45,58,38,14,"Acomys_seurati","4264826"
"40","Acomys spinosissimus",27.01,2.71,-999,-999,-999,-999,-999,"Acomys_spinosissimus","2438266"
"41","Acomys subspinosus",32.25,-999,-999,-999,-999,-999,-999,"Acomys_subspinosus","2438258"
"42","Acomys wilsoni",20.96,2.29,3.5,5.5875,-999,38.82686,-999,"Acomys_wilsoni","2438262"
"43","Aconaemys fuscus",120.975,3.23,-999,-999,-999,-999,-999,"Aconaemys_fuscus","2439653"
"44","Aconaemys porteri",120.975,3.23,-999,-999,-999,-999,-999,"Aconaemys_porteri","4265002"
"45","Aconaemys sagei",96.49,-999,-999,-999,-999,-999,-999,"Aconaemys_sagei","2439654"
"46","Acrobates pygmaeus",13,3,2,7.966666667,240,-999,99,"Acrobates_pygmaeus","5219960"
"47","Addax nasomaculatus",94288.68,1,1,25.685,947.49486,276,198,"Addax_nasomaculatus","2441101"
"48","Aeorestes cinereus",26.03,2,1,2.420833333,-999,56,34,"Lasiurus_cinereus","11138256"
"49","Aepeomys lugens",37,-999,-999,-999,-999,-999,-999,"Aepeomys_lugens","2438733"
"50","Aepyceros melampus",52500,1,1,17.75,477.485,196.74,167,"Aepyceros_melampus","2441144"
"51","Aepyprymnus rufescens",2820,1.015,3,8,339.205,22.9,162.535,"Aepyprymnus_rufescens","2440030"
"52","Aeromys tephromelas",1187,1.035,-999,-999,-999,-999,-999,"Aeromys_tephromelas","2437384"
"53","Aeromys thomasi",1430.19,-999,-999,-999,-999,-999,-999,"Aeromys_thomasi","2437383"
"54","Aethalops aequalis",13.9,0.995,-999,-999,-999,152.2,-999,"Aethalops_aequalis","4265673"
"55","Aethalops alecto",15,0.99,-999,-999,-999,-999,-999,"Aethalops_alecto","2432974"
"56","Aethomys chrysophilus",79.7,3.345,-999,0.75,105.39686,25.71594,27.35364,"Aethomys_chrysophilus","2438176"
"57","Aethomys hindei",98.495,2.9,-999,1.745833333,96.05,25.71594,26.23966,"Aethomys_hindei","2438169"
"58","Aethomys ineptus",80.85,3.345,-999,0.75,105.39686,25.71594,27.35364,"Aethomys_ineptus","4264924"
"59","Aethomys kaiseri",98.495,2.9,-999,1.745833333,96.05,25.71594,26.23966,"Aethomys_kaiseri","2438175"
"60","Aethomys thomasi",98.495,2.9,-999,1.745833333,96.05,25.71594,26.23966,"Aethomys_thomasi","2438174"
"61","Ailuropoda melanoleuca",117500,1.54,0.7,32,2351.48536,131.17916,182,"Ailuropoda_melanoleuca","2433399"
"62","Ailurops melanotis",7000,1.5,1.5,5.904166667,-999,-999,243.52,"Ailurops_melanotis","5219995"
"63","Ailurops ursinus",7000,1.5,1.5,5.904166667,-999,-999,243.52,"Ailurops_ursinus","5219990"
"64","Ailurus fulgens",4747.54,2,1,17.5,571.90318,123.4374,136.935,"Ailurus_fulgens","5219446"
"65","Akodon aerosus",54.995,5,3.6,-999,82.1772,-999,-999,"Akodon_aerosus","2437892"
"66","Akodon affinis",24.89,-999,-999,-999,-999,-999,-999,"Akodon_affinis","2437908"
"67","Akodon albiventer",28.475,-999,-999,-999,-999,-999,-999,"Akodon_albiventer","2437895"
"68","Akodon aliquantulus",26.725,4.18,-999,-999,-999,-999,-999,"Akodon_aliquantulus","4265085"
"69","Akodon azarae",24,4.32,1.125,0.833333333,63.80588,23.52222,14.67682,"Akodon_azarae","2437878"
"70","Akodon bogotensis",12.99,-999,-999,-999,-999,-999,-999,"Akodon_bogotensis","2437911"
"71","Akodon boliviensis",26.725,4.18,-999,-999,-999,-999,-999,"Akodon_boliviensis","2437897"
"72","Akodon budini",26.9,-999,-999,-999,-999,-999,-999,"Akodon_budini","2437880"
"73","Akodon cursor",39.77,3,-999,-999,-999,-999,-999,"Akodon_cursor","2437913"
"74","Akodon dayi",37.3,3,-999,-999,-999,-999,-999,"Akodon_dayi","2437899"
"75","Akodon dolores",45,3.89,-999,-999,-999,-999,-999,"Akodon_dolores","2437882"
"76","Akodon fumeus",26.54,-999,-999,-999,-999,-999,-999,"Akodon_fumeus","2437915"
"77","Akodon iniscatus",28.7,-999,-999,-999,-999,-999,-999,"Akodon_iniscatus","2437886"
"78","Akodon juninensis",38.99,-999,-999,-999,-999,-999,-999,"Akodon_juninensis","2437918"
"79","Akodon kofordi",29.49,-999,-999,-999,-999,-999,-999,"Akodon_kofordi","2437888"
"80","Akodon latebricola",38.99,-999,-999,-999,-999,-999,-999,"Akodon_latebricola","2437905"
"81","Akodon lindberghi",26.4,-999,-999,-999,-999,-999,-999,"Akodon_lindberghi","2437890"
"82","Akodon lutescens",20.69,-999,-999,-999,-999,-999,-999,"Akodon_lutescens","4265087"
"83","Akodon mimus",23.99,-999,-999,-999,-999,-999,-999,"Akodon_mimus","2437896"
"84","Akodon molinae",35.15,3.77,3.9,-999,28.07,23.21786,26.23966,"Akodon_molinae","2437879"
"85","Akodon mollis",30.39,-999,-999,-999,-999,-999,-999,"Akodon_mollis","2437912"
"86","Akodon montensis",39.7,3,-999,-999,-999,-999,-999,"Akodon_montensis","4265083"
"87","Akodon mystax",28.3,-999,-999,-999,-999,-999,-999,"Akodon_mystax","4265089"
"88","Akodon neocenus",40,3,-999,-999,-999,-999,-999,"Akodon_neocenus","2437898"
"89","Akodon oenos",38.65,3,-999,-999,-999,-999,-999,"Akodon_oenos","4265084"
"90","Akodon orophilus",34.69,-999,-999,-999,-999,-999,-999,"Akodon_orophilus","2437883"
"91","Akodon paranaensis",28.3,-999,-999,-999,-999,-999,-999,"Akodon_paranaensis","4265088"
"92","Akodon pervalens",38.99,3,-999,-999,-999,-999,-999,"Akodon_pervalens","4265086"
"93","Akodon reigi",28.3,-999,-999,-999,-999,-999,-999,"Akodon_reigi","4265081"
"94","Akodon sanctipaulensis",27.7,-999,-999,-999,-999,-999,-999,"Akodon_sanctipaulensis","2437885"
"95","Akodon serrensis",28.3,-999,-999,-999,-999,-999,-999,"Akodon_serrensis","2437917"
"96","Akodon siberiae",34.6,-999,-999,-999,-999,-999,-999,"Akodon_siberiae","2437902"
"97","Akodon simulator",40,3,-999,-999,-999,-999,-999,"Akodon_simulator","2437887"
"98","Akodon spegazzinii",27.5,4.18,-999,-999,-999,-999,-999,"Akodon_spegazzinii","2437919"
"99","Akodon subfuscus",27.5,4.18,-999,-999,-999,-999,-999,"Akodon_subfuscus","2437904"
"100","Akodon surdus",38.99,-999,-999,-999,-999,-999,-999,"Akodon_surdus","2437889"
"101","Akodon sylvanus",38.99,3,-999,-999,-999,-999,-999,"Akodon_sylvanus","2437906"
"102","Akodon toba",40,3,-999,-999,-999,-999,-999,"Akodon_toba","2437891"
"103","Akodon torques",34.69,-999,-999,-999,-999,-999,-999,"Akodon_torques","2437921"
"104","Akodon varius",38.65,3,-999,-999,-999,-999,-999,"Akodon_varius","2437922"
"105","Alcelaphus buselaphus",159000,1,1.065,20,730,242.66,193,"Alcelaphus_buselaphus","5220185"
"106","Alcelaphus caama",159968.93,1,1.065,20,730,242.66,193,"Alcelaphus_caama","5706330"
"107","Alcelaphus lichtensteinii",160847.83,0.99,1.1,2.908333333,550.45944,236.59168,-999,"Alcelaphus_lichtensteinii","5706335"
"108","Alces alces",351000,1.29,1.235,27,711.59368,241.9721625,104.015,"Alces_alces","2440940"
"109","Alces americanus",368500,1.27,1,26,689.89684,241.978125,108.03,"Alces_americanus","4262283"
"110","Alionycteris paucidentata",16.24,-999,-999,-999,-999,-999,-999,"Alionycteris_paucidentata","2432970"
"111","Allactaga elater",58.7,4.5,2,5.179166667,142,-999,33,"Allactaga_elater","2439489"
"112","Allactaga euphratica",232,5,-999,4.2,-999,-999,-999,"Allactaga_euphratica","2439484"
"113","Allactaga major",350,3.745,-999,7.283333333,377.57,-999,45.36,"Allactaga_major","2439483"
"114","Allactaga sibirica",117.5,3.44,1,4.495833333,-999,-999,-999,"Allactaga_sibirica","2439490"
"115","Allactaga tetradactyla",52,-999,-999,2.575,-999,-999,-999,"Allactaga_tetradactyla","2439486"
"116","Allactaga vinogradovi",58.7,4.5,2,5.179166667,142,-999,33,"Allactaga_vinogradovi","2439482"
"117","Allactaga williamsi",232,5,-999,4.2,-999,-999,-999,"Allactaga_williamsi","4262923"
"118","Allenopithecus nigroviridis",4690,1,-999,23,-999,-999,106.15,"Allenopithecus_nigroviridis","2436620"
"119","Allocebus trichotis",78.09,1,1,8.983333333,-999,-999,-999,"Allocebus_trichotis","2436445"
"120","Allocricetulus curtatus",30.7,5.19,2,2.408333333,-999,13.45682,24.5,"Allocricetulus_curtatus","2439189"
"121","Alouatta belzebul",6157.91,-999,-999,35.18333333,-999,-999,-999,"Alouatta_belzebul","2436655"
"122","Alouatta caraya",5462.5,1,1,26.32916667,1215.19918,187,195.19956,"Alouatta_caraya","2436652"
"123","Alouatta coibensis",5659.14,1,0.6,20,1287.4428,186,433,"Alouatta_coibensis","2436650"
"124","Alouatta guariba",5188.33,-999,-999,13.80833333,-999,-999,-999,"Alouatta_guariba","7262055"
"125","Alouatta macconnelli",6398.31,1.2,0.815,25,1672.76256,190,372,"Alouatta_macconnelli","7913455"
"126","Alouatta nigerrima",6157.91,-999,-999,35.18333333,-999,-999,-999,"Alouatta_nigerrima","4267236"
"127","Alouatta palliata",5659.14,1,0.6,22,1287.4428,186,433,"Alouatta_palliata","2436649"
"128","Alouatta pigra",9386.03,1.005,-999,20,-999,187.76814,-999,"Alouatta_pigra","2436653"
"129","Alouatta sara",6470.755,1.2,0.815,25,1672.76256,190,372,"Alouatta_sara","2436651"
"130","Alouatta seniculus",6398.31,1.2,0.815,25,1672.76256,190,372,"Alouatta_seniculus","2436648"
"131","Alticola argentatus",37.69,4.435,3,3.241666667,-999,-999,-999,"Alticola_argentatus","2438712"
"132","Alticola montosa",36,4.87,10,-999,-999,-999,-999,"Alticola_montosa","2438721"
"133","Alticola olchonensis",37.69,4.435,3,3.241666667,-999,-999,-999,"Alticola_olchonensis","4265079"
"134","Alticola roylei",36,4.87,10,-999,-999,-999,-999,"Alticola_roylei","2438714"
"135","Alticola semicanus",36,4.87,10,3.8125,-999,-999,-999,"Alticola_semicanus","2438718"
"136","Alticola stoliczkanus",30.14,7.77,-999,-999,-999,-999,-999,"Alticola_stoliczkanus","2438722"
"137","Alticola strelzowi",49.995,7.3,2.225,2.741666667,-999,20.62106,16.5,"Alticola_strelzowi","2438719"
"138","Amblysomus corriae",64.8,1.93,2,1,-999,-999,-999,"Amblysomus_corriae","5218448"
"139","Amblysomus hottentotus",64.8,1.93,2,1,-999,-999,-999,"Amblysomus_hottentotus","5218439"
"140","Amblysomus marleyi",64.8,1.93,2,1,-999,-999,-999,"Amblysomus_marleyi","5218446"
"141","Amblysomus robustus",64.8,1.93,2,1,-999,-999,-999,"Amblysomus_robustus","5218438"
"142","Amblysomus septentrionalis",64.8,1.93,2,1,-999,-999,-999,"Amblysomus_septentrionalis","5218447"
"143","Ametrida centurio",11.305,1,-999,-999,-999,-999,-999,"Ametrida_centurio","2433235"
"144","Ammodillus imbellis",49.99,-999,-999,-999,-999,-999,-999,"Ammodillus_imbellis","2438331"
"145","Ammodorcas clarkei",28274.905,1,-999,2.620833333,-999,203.4824,-999,"Ammodorcas_clarkei","2441128"
"146","Ammospermophilus harrisii",126,6.66,1,10.58333333,319,29.35646,50,"Ammospermophilus_harrisii","2437568"
"147","Ammospermophilus insularis",101.99,-999,-999,-999,-999,-999,-999,"Ammospermophilus_insularis","2437572"
"148","Ammospermophilus interpres",111.365,9.5,1.25,1.666666667,-999,-999,-999,"Ammospermophilus_interpres","2437571"
"149","Ammospermophilus leucurus",96.75,8,1.315,5.833333333,365.232,29.19,65.415,"Ammospermophilus_leucurus","2437570"
"150","Ammospermophilus nelsoni",157.46,8.9,1,5.5,377.57,26,29.915,"Ammospermophilus_nelsoni","2437569"
"151","Ammotragus lervia",92500,1.22,2,21,394.09602,151.80744,121.872,"Ammotragus_lervia","2441005"
"152","Amorphochilus schnablii",4.15,0.995,1,-999,-999,-999,-999,"Amorphochilus_schnablii","2432771"
"153","Anathana ellioti",160,4.84,-999,-999,-999,-999,-999,"Anathana_ellioti","2436266"
"154","Andalgalomys olrogi",32.9,-999,-999,-999,-999,-999,-999,"Andalgalomys_olrogi","2438727"
"155","Andalgalomys pearsoni",25.4,-999,-999,-999,-999,-999,-999,"Andalgalomys_pearsoni","2438726"
"156","Andinomys edax",69.75,2.91,-999,-999,-999,-999,-999,"Andinomys_edax","2438956"
"157","Anisomys imitator",510.5,-999,-999,-999,-999,-999,-999,"Anisomys_imitator","2438052"
"158","Anomalurus beecrofti",434.035,0.99,-999,-999,-999,-999,-999,"Anomalurus_beecrofti","5219881"
"159","Anomalurus derbianus",770,1.17,2,-999,-999,-999,-999,"Anomalurus_derbianus","5219879"
"160","Anomalurus pelii",1650,2.5,2,-999,-999,-999,-999,"Anomalurus_pelii","5219882"
"161","Anomalurus pusillus",250,-999,-999,-999,-999,-999,-999,"Anomalurus_pusillus","5219880"
"162","Anonymomys mindorensis",56.21,-999,-999,-999,-999,-999,-999,"Anonymomys_mindorensis","2437876"
"163","Anotomys leander",66.39,0.97,-999,-999,-999,-999,-999,"Anotomys_leander","2438903"
"164","Anoura caudifer",11.155,0.995,-999,-999,-999,107.97,-999,"Anoura_caudifer","5963040"
"165","Anoura cultrata",17.39,1.22,-999,-999,-999,-999,-999,"Anoura_cultrata","5963042"
"166","Anoura geoffroyi",15.2,1,1,10,-999,121.76,62.5,"Anoura_geoffroyi","5963041"
"167","Anoura latidens",15.06,-999,-999,-999,-999,-999,-999,"Anoura_latidens","5963038"
"168","Anourosorex assamensis",20,2.82,-999,-999,-999,-999,-999,"Anourosorex_assamensis","2435783"
"169","Anourosorex schmidi",20,2.82,-999,-999,-999,-999,-999,"Anourosorex_schmidi","2435782"
"170","Anourosorex squamipes",20,2.82,-999,-999,-999,-999,-999,"Anourosorex_squamipes","2435780"
"171","Anourosorex yamashinai",20,2.82,-999,-999,-999,-999,-999,"Anourosorex_yamashinai","2435781"
"172","Antechinomys laniger",25.8,6,1.5,3.15,350.06,12,90.62,"Antechinomys_laniger","2435419"
"173","Antechinus agilis",26.25,7.5,1,3,317.195,27.575,90,"Antechinus_agilis","2435369"
"174","Antechinus bellus",36.365,10.08,1,2.15,327.2,30,96,"Antechinus_bellus","2435372"
"175","Antechinus flavipes",44.665,10,1,2.3,339.79,30,92.5,"Antechinus_flavipes","2435366"
"176","Antechinus godmani",75.74,6,1,1,304.4,30,125.84,"Antechinus_godmani","2435376"
"177","Antechinus leo",70.09,9.095,1,1.5,304.4,30.99,100,"Antechinus_leo","2435371"
"178","Antechinus minimus",52.56,7.19,1,1.5,304.4,29.27,90,"Antechinus_minimus","2435375"
"179","Antechinus stuartii",27.85,6.945,1,2.5,294.7,28.15,92.5,"Antechinus_stuartii","2435370"
"180","Antechinus swainsonii",58.69,8.12,1,2,311.885,28.845,94.5,"Antechinus_swainsonii","2435377"
"181","Anthops ornatus",17.94,-999,-999,-999,-999,-999,-999,"Anthops_ornatus","2432610"
"182","Antidorcas marsupialis",33571.24,1,1.05,19.79583333,213.08,169.49,122.96144,"Antidorcas_marsupialis","2441064"
"183","Antilocapra americana",45375,1.89,1,12,540.84,247.44468,91,"Antilocapra_americana","2440902"
"184","Antilope cervicapra",37500,1,1.9,21.25,539.33834,167.699,60,"Antilope_cervicapra","2441065"
"185","Antrozous pallidus",22,2,-999,9.1,365,60.505,50,"Antrozous_pallidus","2432339"
"186","Aonyx capensis",21411.11,2.56,-999,14,368.231,63,53.1315,"Aonyx_capensis","2433900"
"187","Aonyx cinerea",3000,1.47,2,16,-999,63.00126,81,"Aonyx_cinerea","2433894"
"188","Aotus azarae",1230,1,1,22.2375,-999,-999,234,"Aotus_azarae","5707409"
"189","Aotus hershkovitzi",800,-999,-999,-999,-999,-999,-999,"Aotus_hershkovitzi","5219594"
"190","Aotus lemurinus",874,1,1,31.84166667,755.15,134.83148,76.09,"Aotus_lemurinus","5219591"
"191","Aotus miconax",800,-999,-999,-999,-999,-999,-999,"Aotus_miconax","5219592"
"192","Aotus nancymaae",791.03,1.02,-999,11.39166667,-999,-999,-999,"Aotus_nancymaae","5219589"
"193","Aotus nigriceps",1057,-999,-999,5.408333333,-999,-999,-999,"Aotus_nigriceps","5219595"
"194","Aotus trivirgatus",872.98,1.06,1.34,25.3,821,142,77,"Aotus_trivirgatus","5219590"
"195","Aotus vociferans",872.995,1.02,-999,22.07083333,-999,-999,-999,"Aotus_vociferans","5219597"
"196","Aplodontia rufa",706.8,2.8,1,6,770.7071,29.91364,55.8315,"Aplodontia_rufa","2439690"
"197","Apodemus agrarius",21.2,5.68,3.335,4,76.065,20.74978,26.78368,"Apodemus_agrarius","2437761"
"198","Apodemus alpicola",29.375,5.5,2.8,4.245833333,51.41406,25.9353,22,"Apodemus_alpicola","2437769"
"199","Apodemus argenteus",23.4,5.16,3.8,4.695833333,61,23.43572,20.69648,"Apodemus_argenteus","5219736"
"200","Apodemus chevrieri",21.2,5.68,3.335,4,76.065,20.74978,26.78368,"Apodemus_chevrieri","5219743"
"201","Apodemus draco",23.4,5.18,3.8,4.4,71,23.43572,20.69648,"Apodemus_draco","5219737"
"202","Apodemus epimelas",42.3,3.36,2,-999,-999,23.21786,26.78368,"Apodemus_epimelas","4264851"
"203","Apodemus flavicollis",29.375,5.5,2.8,4.245833333,51.41406,25.9353,22,"Apodemus_flavicollis","2437756"
"204","Apodemus gurkha",29.375,5.5,2.8,4.245833333,51.41406,25.9353,22,"Apodemus_gurkha","5219738"
"205","Apodemus latronum",29.4,5.22,2.8,4.491666667,51.41406,25.9353,22,"Apodemus_latronum","5219739"
"206","Apodemus mystacinus",42.3,3.36,2,-999,-999,23.21786,26.78368,"Apodemus_mystacinus","2437773"
"207","Apodemus pallipes",23.39,5.2,3.8,4.4,71,23.43572,20.69648,"Apodemus_pallipes","5706748"
"208","Apodemus peninsulae",29.4,4.7,2.8,4.4,51.41406,25.9353,22,"Apodemus_peninsulae","5219734"
"209","Apodemus ponticus",29.375,5.5,2.8,4.245833333,51.41406,25.9353,22,"Apodemus_ponticus","5219740"
"210","Apodemus rusiges",24.8,5.19,3.375,4.4,52,24.5,21.5,"Apodemus_rusiges","5219735"
"211","Apodemus semotus",23.6,5.17,3.8,4.4,71,23.43572,20.69648,"Apodemus_semotus","5219741"
"212","Apodemus speciosus",43.75,4.47,-999,5.3,-999,-999,-999,"Apodemus_speciosus","5219745"
"213","Apodemus sylvaticus",23.4,5.18,3.8,4.4,71,23.43572,20.69648,"Apodemus_sylvaticus","2437760"
"214","Apodemus uralensis",23.39,5.2,3.8,4.4,71,23.43572,20.69648,"Apodemus_uralensis","2437775"
"215","Apodemus witherbyi",20.63,-999,-999,-999,-999,-999,-999,"Apodemus_witherbyi","5706747"
"216","Apomys abrae",34.88,-999,-999,-999,-999,-999,-999,"Apomys_abrae","2438430"
"217","Apomys datae",34.88,-999,-999,-999,-999,-999,-999,"Apomys_datae","2438427"
"218","Apomys hylocetes",34.88,-999,-999,-999,-999,-999,-999,"Apomys_hylocetes","4264812"
"219","Apomys insignis",34.88,-999,-999,-999,-999,-999,-999,"Apomys_insignis","2438429"
"220","Apomys littoralis",30.95,-999,-999,-999,-999,-999,-999,"Apomys_littoralis","2438432"
"221","Apomys microdon",34.98,-999,-999,-999,-999,-999,-999,"Apomys_microdon","2438428"
"222","Apomys musculus",21.2,-999,-999,-999,-999,-999,-999,"Apomys_musculus","2438426"
"223","Apomys sacobianus",34.88,-999,-999,-999,-999,-999,-999,"Apomys_sacobianus","2438431"
"224","Aproteles bulmerae",623.91,1,1,-999,-999,-999,-999,"Aproteles_bulmerae","2432939"
"225","Arborimus albipes",23,2.765,-999,-999,-999,-999,-999,"Arborimus_albipes","2437933"
"226","Arborimus longicaudus",22.39,2.74,-999,0.166666667,-999,31.5557,30.61518,"Arborimus_longicaudus","2437931"
"227","Arborimus pomo",34.245,1.75,-999,-999,-999,32.33,35.29,"Arborimus_pomo","2437932"
