"","Species","X","Plot","Plot2","Major_taxa","Order","Mass_g","Metabolism_W","Trophic","Group","Mass_Spec_Meta_Watt","Inverse_Mass_Spec_Meta_Watt","GBIF_ID"
"1","Abrothrix andinus",594,1,1,"Mammal","Rodentia",34.6,0.361111111,"Herbivore","Eutherian",0.010436737,95.81538464,"4265099"
"2","Abrothrix longipilis",595,1,1,"Mammal","Rodentia",42.3,0.322222222,"Herbivore","Eutherian",0.007617547,131.2758622,"4265092"
"3","Abrothrix olivaceus",596,1,1,"Mammal","Rodentia",27,0.275,"Herbivore","Eutherian",0.010185185,98.18181818,"4265094"
"4","Acinonyx jubatus",16,1,2,"Mammal","Carnivora",37900,50.10277778,"Carnivore","Eutherian",0.001321973,756.4450851,"2435270"
"5","Acomys cahirinus",1763,1,9,"Mammal","Rodentia",42,0.258,"Omnivore","Eutherian",0.006142857,162.7906977,"9800308"
"6","Acomys russatus",18,1,9,"Mammal","Rodentia",51.1,0.227777778,"Omnivore","Eutherian",0.004457491,224.3414632,"2438257"
"7","Acomys spinosissimus",601,1,9,"Mammal","Rodentia",27,0.244444444,"Omnivore","Eutherian",0.009053498,110.4545457,"2438266"
"8","Acomys subspinosus",602,1,9,"Mammal","Rodentia",32.3,0.466666667,"Omnivore","Eutherian",0.014447884,69.21428566,"2438258"
"9","Aconaemys fuscus",603,1,1,"Mammal","Rodentia",112,0.675,"Herbivore","Eutherian",0.006026786,165.9259259,"2439653"
"10","Acrobates pygmaeus",20,1,1,"Mammal","Diprotodontia",14,0.083333333,"Herbivore","Marsupial",0.005952381,168.0000007,"5219960"
"11","Aeorestes cinereus",222,1,2,"Mammal","Chiroptera",19.9,0.091666667,"Carnivore","Eutherian",0.004606365,217.0909083,"11138256"
"12","Aepyprymnus rufescens",27,1,1,"Mammal","Diprotodontia",2820,5.977777778,"Herbivore","Marsupial",0.002119779,471.7472119,"2440030"
"13","Ailurus fulgens",28,1,2,"Mammal","Carnivora",5740,4.898,"Carnivore","Eutherian",0.00085331,1171.906901,"5219446"
"14","Akodon azarae",604,1,9,"Mammal","Rodentia",23.5,0.222222222,"Omnivore","Eutherian",0.009456265,105.7500001,"2437878"
"15","Alces alces",22,1,1,"Mammal","Artiodactyla",325000,286.847,"Herbivore","Eutherian",0.000882606,1133.008189,"2440940"
"16","Alces americanus",23,1,1,"Mammal","Artiodactyla",350000,318.4316358,"Herbivore","Eutherian",0.000909805,1099.137022,"4262283"
"17","Alouatta palliata",544,1,1,"Mammal","Primate",4670,11.464,"Herbivore","Eutherian",0.002454818,407.3621773,"2436649"
"18","Alticola argentatus",3810,1,9,"Mammal","Rodentia",37.7,0.675,"Omnivore","Eutherian",0.017904509,55.85185185,"2438712"
"19","Amblysomus hottentotus",1,1,2,"Mammal","Afrosoricida",70,0.472222222,"Carnivore","Eutherian",0.006746032,148.2352942,"5218439"
"20","Ammospermophilus leucurus",42,1,9,"Mammal","Rodentia",94.1,0.511,"Omnivore","Eutherian",0.005430393,184.148728,"2437570"
"21","Anoura caudifer",182,1,2,"Mammal","Chiroptera",11.3,0.158333333,"Carnivore","Eutherian",0.014011799,71.3684212,"5963040"
"22","Anoura latidens",183,1,2,"Mammal","Chiroptera",13.6,0.205555556,"Carnivore","Eutherian",0.015114379,66.16216202,"5963038"
"23","Antechinomys laniger",51,1,2,"Mammal","Dasyuromorphia",24.2,0.133333333,"Carnivore","Marsupial",0.005509642,181.5000005,"2435419"
"24","Antechinus flavipes",52,1,2,"Mammal","Dasyuromorphia",46.5,0.252,"Carnivore","Marsupial",0.005419355,184.5238095,"2435366"
"25","Antechinus stuartii",53,1,2,"Mammal","Dasyuromorphia",25,0.189,"Carnivore","Marsupial",0.00756,132.2751323,"2435370"
"26","Antechinus swainsonii",54,1,2,"Mammal","Dasyuromorphia",66.9,0.351,"Carnivore","Marsupial",0.005246637,190.5982906,"2435377"
"27","Antilocapra americana",5710,1,1,"Mammal","Artiodactyla",34779.3,50.973,"Herbivore","Eutherian",0.001465613,682.3082809,"2440902"
"28","Antrozous pallidus",184,1,2,"Mammal","Chiroptera",22,0.104,"Carnivore","Eutherian",0.004727273,211.5384615,"2432339"
"29","Aotus trivirgatus",59,1,9,"Mammal","Primate",914.5,2.499,"Omnivore","Eutherian",0.002732641,365.9463786,"5219590"
"30","Aplodontia rufa",60,1,1,"Mammal","Rodentia",630,1.547222222,"Herbivore","Eutherian",0.002455908,407.1813286,"2439690"
"31","Apodemus agrarius",611,1,9,"Mammal","Rodentia",21.2,0.373,"Omnivore","Eutherian",0.01759434,56.83646113,"2437761"
"32","Apodemus flavicollis",612,1,9,"Mammal","Rodentia",28.3,0.365,"Omnivore","Eutherian",0.012897527,77.53424658,"2437756"
"33","Apodemus mystacinus",613,1,9,"Mammal","Rodentia",40.4,0.313888889,"Omnivore","Eutherian",0.007769527,128.7079646,"2437773"
"34","Apodemus sylvaticus",61,1,9,"Mammal","Rodentia",23.9,0.241666667,"Omnivore","Eutherian",0.010111576,98.89655159,"2437760"
"35","Apodemus witherbyi",616,1,9,"Mammal","Rodentia",20.5,0.277777778,"Omnivore","Eutherian",0.013550136,73.79999994,"5706747"
"36","Arborimus pomo",617,1,1,"Mammal","Rodentia",21.8,0.327777778,"Herbivore","Eutherian",0.015035678,66.50847453,"2437932"
"37","Arctictis binturong",67,1,2,"Mammal","Carnivora",14280,6.291666667,"Carnivore","Eutherian",0.000440593,2269.668874,"2434615"
"38","Arctocebus calabarensis",68,1,9,"Mammal","Primate",206,0.731,"Omnivore","Eutherian",0.003548544,281.8057456,"2436632"
"39","Arctogalidia trivirgata",69,1,2,"Mammal","Carnivora",2010,3.083333333,"Carnivore","Eutherian",0.001533997,651.891892,"2434742"
"40","Artibeus concolor",185,1,2,"Mammal","Chiroptera",19.7,0.183333333,"Carnivore","Eutherian",0.009306261,107.4545456,"2433274"
"41","Artibeus fimbriatus",186,1,2,"Mammal","Chiroptera",63.9,0.436111111,"Carnivore","Eutherian",0.0068249,146.522293,"2433268"
"42","Artibeus jamaicensis",7412,1,2,"Mammal","Chiroptera",45.2,0.316666667,"Carnivore","Eutherian",0.0070059,142.736842,"2433272"
"43","Artibeus lituratus",75,1,2,"Mammal","Chiroptera",69.7,0.483333333,"Carnivore","Eutherian",0.006934481,144.2068967,"2433270"
"44","Arvicola amphibius",76,1,9,"Mammal","Rodentia",94.7,0.613,"Omnivore","Eutherian",0.006473073,154.4861338,"4265185"
"45","Aselliscus tricuspidatus",191,1,2,"Mammal","Chiroptera",4.2,0.038888889,"Carnivore","Eutherian",0.009259259,107.9999997,"2432599"
"46","Atelerix albiventris",83,1,9,"Mammal","Erinaceomorpha",450,0.827777778,"Omnivore","Eutherian",0.001839506,543.6241609,"2437140"
"47","Auliscomys boliviensis",620,1,1,"Mammal","Rodentia",76.8,0.616666667,"Herbivore","Eutherian",0.008029514,124.5405405,"2438834"
"48","Baiomys taylori",89,1,1,"Mammal","Rodentia",7.3,0.080555556,"Herbivore","Eutherian",0.011035008,90.62068916,"2438866"
"49","Bassariscus sumichrasti",931,1,2,"Mammal","Carnivora",1280,3.537,"Carnivore","Eutherian",0.002763281,361.8886062,"2433551"
"50","Bathyergus janetta",623,1,1,"Mammal","Rodentia",406,1.222222222,"Herbivore","Eutherian",0.0030104,332.1818182,"2437223"
"51","Bathyergus suillus",624,1,1,"Mammal","Rodentia",712,1.905555556,"Herbivore","Eutherian",0.002676342,373.6443148,"2437222"
"52","Bettongia gaimardi",101,1,1,"Mammal","Diprotodontia",1385,3.577777778,"Herbivore","Marsupial",0.002583233,387.1118012,"2440025"
"53","Bettongia penicillata",1022,1,1,"Mammal","Diprotodontia",1070,3.075,"Herbivore","Marsupial",0.002873832,347.9674797,"2440026"
"54","Blarina brevicauda",103,1,2,"Mammal","Eulipotyphla",21,0.291666667,"Carnivore","Eutherian",0.013888889,71.99999992,"2435862"
"55","Blarina carolinensis",426,1,2,"Mammal","Eulipotyphla",10.2,0.186111111,"Carnivore","Eutherian",0.018246187,54.80597018,"2435875"
"56","Bos taurus",26,1,1,"Mammal","Artiodactyla",347000,306.77,"Herbivore","Eutherian",0.000884063,1131.140594,"2441022"
"57","Brachylagus idahoensis",480,1,1,"Mammal","Lagomorpha",432,2.145,"Herbivore","Eutherian",0.004965278,201.3986014,"2436688"
"58","Bradypus variegatus",1030,1,9,"Mammal","Xenarthra",3790,3.827777778,"Omnivore","Eutherian",0.001009968,990.130624,"2436353"
"59","Burramys parvus",111,1,1,"Mammal","Diprotodontia",44.3,0.205,"Herbivore","Marsupial",0.00462754,216.097561,"2440237"
"60","Cabassous centralis",113,1,9,"Mammal","Xenarthra",3810,4.463888889,"Omnivore","Marsupial",0.001171624,853.5158681,"2440806"
"61","Callimico goeldii",549,1,9,"Mammal","Primate",557,1.552777778,"Omnivore","Eutherian",0.002787752,358.7119856,"2436464"
"62","Callithrix jacchus",129,1,9,"Mammal","Primate",190,0.848,"Omnivore","Eutherian",0.004463158,224.0566038,"5219542"
"63","Callithrix pygmaea",552,1,9,"Mammal","Primate",152.5,0.547222222,"Omnivore","Eutherian",0.003588342,278.6802032,"5219535"
"64","Callospermophilus lateralis",625,1,9,"Mammal","Rodentia",249.6,0.967,"Omnivore","Eutherian",0.003874199,258.1178904,"7593288"
"65","Callospermophilus saturatus",626,1,9,"Mammal","Rodentia",256.6,0.849,"Omnivore","Eutherian",0.003308652,302.237927,"8102496"
"66","Calomys callosus",627,1,9,"Mammal","Rodentia",48,0.397222222,"Omnivore","Eutherian",0.008275463,120.8391609,"2437950"
"67","Calomys lepidus",628,1,9,"Mammal","Rodentia",16,0.161111111,"Omnivore","Eutherian",0.010069444,99.3103449,"2437955"
